X,Y
527,280
530,280
531,281
531,281
532,282
532,282
532,282
533,283
534,283
533,283
532,283
532,284
529,284
529,284
526,284
526,284
523,284
523,284
269,136
273,134
284,139
280,138
280,138
279,138
244,152
244,149
245,150
248,151
249,151
243,149
243,149
248,150
248,150
601,326
522,306
541,306
539,303
543,303
531,299
546,294
530,298
537,299
562,303
584,305
604,301
618,300
630,299
640,298
648,297
655,296
714,293
717,293
717,292
715,292
719,293
719,293
724,294
728,295
724,294
722,294
719,294
717,293
713,293
714,293
712,292
708,292
701,290
694,289
691,288
688,288
683,287
481,300
482,299
512,309
505,309
492,307
487,306
483,305
482,305
484,306
483,306
484,305
487,304
484,302
482,299
479,297
477,295
480,293
482,292
484,291
486,289
489,288
492,287
494,286
496,284
498,283
500,282
503,280
504,279
507,277
510,276
513,275
517,274
516,273
519,272
522,272
525,272
528,272
532,272
535,273
538,274
540,274
542,275
544,276
546,277
547,278
549,279
549,279
550,280
551,281
551,282
555,284
553,284
553,285
552,286
556,287
560,289
560,289
560,290
560,290
560,290
560,291
560,291
560,291
559,291
559,291
559,291
729,312
732,313
742,318
739,317
743,318
740,319
725,327
725,314
720,315
728,317
732,318
736,319
738,320
738,321
741,322
742,322
743,323
745,324
747,324
748,325
745,325
746,325
576,236
579,246
571,240
578,240
593,243
602,245
577,243
588,247
592,247
591,246
590,245
590,245
590,244
582,243
582,243
584,243
585,243
586,244
586,244
586,244
1202,446
1200,456
1196,459
1197,455
1195,453
1187,451
1136,438
1140,437
1119,448
1132,444
1138,442
1142,441
1142,441
1142,441
1142,441
1137,443
1138,443
1138,443
1138,443
1138,443
1138,443
1138,443
1138,443
1139,442
1139,442
1139,442
1138,442
1138,442
1139,442
1139,441
1139,441
1138,441
1141,440
1142,439
1142,439
1140,439
1139,439
1140,439
1140,439
1141,438
1470,374
1472,369
1472,367
1470,369
1470,369
1469,368
1438,365
1439,367
1440,365
1442,361
1441,362
1441,362
1442,360
1442,359
1440,361
1440,362
1439,362
1439,362
1439,362
1438,363
1438,364
1439,365
1439,366
1439,367
1440,368
1440,369
1441,371
1441,372
1442,373
1443,374
1444,375
1445,376
1446,378
1447,379
1448,381
1698,183
1665,180
1672,175
1668,175
1669,174
1661,176
1702,162
1680,169
1685,167
1680,168
1684,167
1675,170
1677,169
1676,170
1679,169
1679,169
1681,169
1681,169
1681,169
1681,169
1685,168
1689,168
1686,169
1686,169
1686,169
1687,170
1687,171
1169,539
1175,532
1175,535
1168,540
1173,533
1175,530
1153,466
1150,463
1149,460
1150,459
1150,458
1152,455
1152,454
1153,453
1153,452
1153,452
1153,451
1152,451
1151,451
1148,452
1148,451
1148,451
1148,451
1148,450
1148,449
1146,450
1146,449
1147,448
1147,447
1147,446
1147,446
1147,445
1148,444
1150,442
1152,440
1151,439
940,387
939,385
948,385
947,386
941,387
941,387
946,382
945,387
949,386
942,390
940,388
941,386
942,384
943,383
943,381
941,381
941,379
940,379
938,378
942,377
942,377
1176,570
1189,574
1181,574
1186,575
1183,574
1186,574
1235,615
1233,623
1226,625
1226,625
1223,625
1226,623
1227,622
1222,623
1222,622
1222,622
1222,622
1219,623
1216,624
1216,625
1217,625
1217,625
1218,625
1219,625
1221,625
1222,625
1223,626
1223,626
1224,627
1224,627
1224,628
1226,628
1227,629
1227,629
1228,630
1230,631
1419,820
1417,812
1420,811
1428,811
1424,810
1423,810
1429,815
1424,816
1428,816
1427,816
1424,816
1423,817
1424,816
1423,816
1423,816
1424,815
1426,815
1423,815
1423,816
1420,817
1419,817
1419,818
1417,819
1417,819
1414,819
1414,819
1413,819
1412,819
1413,818
1412,817
1411,817
1410,816
1408,814
1406,812
1406,809
1404,807
1402,805
1397,799
1236,589
1246,581
1240,588
1240,589
1243,588
1244,588
1256,581
1236,588
1238,588
1245,586
1258,582
1265,580
1261,578
1258,572
1248,568
1241,563
1233,561
1228,560
1229,556
1230,553
1231,551
1232,549
1235,546
1238,544
1243,541
1246,540
1248,539
1252,538
1255,537
1258,536
1261,535
1264,534
1267,533
1270,532
1273,530
1276,529
1278,527
1281,526
1283,525
1286,525
1288,525
1291,524
1293,523
1293,523
1294,523
1295,522
1296,521
1296,520
1297,519
1296,519
1296,518
1296,517
1295,516
1295,515
1294,515
1294,514
1293,513
1293,512
1054,506
1051,506
1049,507
1047,507
1045,508
1045,508
1043,499
1039,495
1045,493
1046,494
1043,494
1042,495
1050,493
1056,491
1056,491
1054,490
1053,490
1052,489
1051,489
1051,488
1050,488
1050,488
1050,488
1050,488
1050,488
1053,487
1053,486
1055,485
1060,482
1060,482
1062,481
1065,480
1065,480
1068,478
1071,477
1072,477
1073,476
1076,475
1079,474
1083,472
1087,470
1091,468
1096,466
1102,462
1108,459
1115,454
1119,451
1123,448
1128,444
1132,440
1135,437
1139,433
1143,429
1144,425
1148,421
1150,417
1152,413
1155,409
1156,406
1157,403
1159,399
451,457
470,371
507,334
513,323
514,316
532,304
567,246
565,247
581,239
584,237
594,233
596,232
594,232
593,233
592,234
593,234
593,234
594,234
594,235
595,235
596,235
595,236
594,236
594,236
595,237
595,237
596,237
596,238
596,238
596,238
598,239
598,240
597,241
319,586
317,589
319,589
320,589
321,589
321,590
322,603
322,602
324,599
324,597
327,595
328,593
627,538
629,538
638,540
634,542
636,542
623,543
724,530
1265,536
1301,547
1334,554
1355,557
1379,564
1548,578
1502,597
1511,593
