timepresentation,posx,posy,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,portada.started,image_5.started,text_6.started,portada.stopped,instructions.started,text_5.started,key_resp_5.started,instructions.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Ronda_1.started,text_7.started,key_resp.started,Ronda_1.stopped,key_resp.keys,key_resp.rt,key_resp.duration,control.started,MAR1.started,resp_control_r1.started,image.started,control.stopped,resp_control_r1.keys,resp_control_r1.rt,resp_control_r1.duration,Ronda_2.started,text_8.started,musica_instrumental.started,key_resp_2.started,text_8.stopped,Ronda_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,music.started,MAR2.started,resp_music_r1.started,image_2.started,music.stopped,resp_music_r1.keys,resp_music_r1.rt,resp_music_r1.duration,Ronda_3.started,text_9.started,Ronda_3.stopped,music_words.started,MAR3.started,participant,Edad,Sexo,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.003436200087890029,0.026764800073578954,0.026764800073578954,3.0158621999435127,3.01587720005773,3.032220199937001,6.014806699939072,8.06267510005273,space,2.03676569997333,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150085,179403,Hombre,2025-05-06_13h29.32.311,tarea_iceberg,2023.2.3,60.94186881989318,2025-05-06 13h29.47.137466 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.062698599882424,8.080778300063685,8.080778300063685,9.39566390006803,space,1.3073294998612255,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150085,179403,Hombre,2025-05-06_13h29.32.311,tarea_iceberg,2023.2.3,60.94186881989318,2025-05-06 13h29.47.137466 +0200,
13,0,0.05,0,0,0,0,,,,,,,,,9.424385000020266,,,,,,,,,,,,,,,,,,,,9.411402700003237,9.424385000020266,22.40265389997512,22.40265389997512,22.82055200007744,space,0.4016688000410795,None,,,,,,,,,,,,,,,,,,,,,,,150085,179403,Hombre,2025-05-06_13h29.32.311,tarea_iceberg,2023.2.3,60.94186881989318,2025-05-06 13h29.47.137466 +0200,
6,0.7,0.05,0,1,1,1,,,,,,,,,22.83588970010169,,,,,,,,,,,,,,,,,,,,22.820957700023428,22.83588970010169,28.831508399918675,28.831508399918675,29.232081099878997,space,0.3887821000535041,None,,,,,,,,,,,,,,,,,,,,,,,150085,179403,Hombre,2025-05-06_13h29.32.311,tarea_iceberg,2023.2.3,60.94186881989318,2025-05-06 13h29.47.137466 +0200,
12,0.5,0.05,0,2,2,2,,,,,,,,,29.24813780002296,,,,,,,,,,,,,,,,,,,,29.232377799926326,29.24813780002296,41.24037840007804,41.24037840007804,41.60754549992271,space,0.3562376000918448,None,,,,,,,,,,,,,,,,,,,,,,,150085,179403,Hombre,2025-05-06_13h29.32.311,tarea_iceberg,2023.2.3,60.94186881989318,2025-05-06 13h29.47.137466 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.60777179989964,41.71671950002201,0.10504850000143051,41.71671950002201,43.722762200050056,44.74051359994337,space,3.0071380001027137,None,,,,,,,,,,,,,,150085,179403,Hombre,2025-05-06_13h29.32.311,tarea_iceberg,2023.2.3,60.94186881989318,2025-05-06 13h29.47.137466 +0200,
13,0,0.05,,,,,0,0,0,0,,,,,44.76513439998962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.754197699949145,44.76513439998962,57.746966999955475,57.746966999955475,58.46427539992146,space,0.7134791000280529,None,,,,,,150085,179403,Hombre,2025-05-06_13h29.32.311,tarea_iceberg,2023.2.3,60.94186881989318,2025-05-06 13h29.47.137466 +0200,
6,0.7,0.05,,,,,0,1,1,1,,,,,58.47957960003987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.46467850008048,58.47957960003987,64.47625890001655,64.47625890001655,64.86006149998866,space,0.37691739993169904,None,,,,,,150085,179403,Hombre,2025-05-06_13h29.32.311,tarea_iceberg,2023.2.3,60.94186881989318,2025-05-06 13h29.47.137466 +0200,
12,0.5,0.05,,,,,0,2,2,2,,,,,64.87557810009457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.86035880004056,64.87557810009457,76.86784500000067,76.86784500000067,77.26818810007535,space,0.3916816001292318,None,,,,,,150085,179403,Hombre,2025-05-06_13h29.32.311,tarea_iceberg,2023.2.3,60.94186881989318,2025-05-06 13h29.47.137466 +0200,
,,,,,,,,,,,,,,,79.31085009989329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.26844740007073,77.3004709999077,79.28374379989691,79.29810180002823,79.31085009989329,,,,,,,,,
