timepresentation,posx,posy,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,ronda1,ronda2,ronda3,ronda4,portada.started,image_5.started,text_6.started,portada.stopped,instructions.started,text_5.started,key_resp_5.started,instructions.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Ronda_1.started,text_7.started,text_7.stopped,Ronda_1.stopped,control.started,control.stopped,resp_control_r1.keys,music.started,MAR2.started,image_2.started,resp_music_r1.started,music.stopped,resp_music_r1.keys,resp_music_r1.rt,resp_music_r1.duration,participant,Edad,Sexo,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,music,control,music_video,music_words,0.0031359000131487846,0.020872999913990498,0.020872999913990498,3.006352299824357,3.006368399830535,3.023128899978474,6.005804599961266,9.436705000000075,space,3.4284198000095785,None,,,,,,,,,,,,,,,,230873,227233,Hombre,2025-05-06_12h50.00.819,tarea_iceberg,2023.2.3,59.9918890627742,2025-05-06 12h50.34.455932 +0200,
6,0.1,0.05,0,0,0,0,,,,,11.576988499844447,,,,,,,,,,,,,,,,,9.436736699892208,9.451940699946135,11.576988499844447,11.435304699931294,11.492897099815309,11.499670599820092,None,,,,,,,,,230873,227233,Hombre,2025-05-06_12h50.00.819,tarea_iceberg,2023.2.3,59.9918890627742,2025-05-06 12h50.34.455932 +0200,
8,-0.2,0.05,0,1,1,1,,,,,11.576988499844447,,,,,,,,,,,,,,,,,,,,,11.500662199920043,11.50570649979636,None,,,,,,,,,230873,227233,Hombre,2025-05-06_12h50.00.819,tarea_iceberg,2023.2.3,59.9918890627742,2025-05-06 12h50.34.455932 +0200,
12,-0.4,0.05,0,2,2,2,,,,,11.576988499844447,,,,,,,,,,,,,,,,,,,,,11.505887399893254,11.510520099895075,None,,,,,,,,,230873,227233,Hombre,2025-05-06_12h50.00.819,tarea_iceberg,2023.2.3,59.9918890627742,2025-05-06 12h50.34.455932 +0200,
10,0.1,0.05,0,3,3,3,,,,,11.576988499844447,,,,,,,,,,,,,,,,,,,,,11.510688799899071,11.515789299970493,None,,,,,,,,,230873,227233,Hombre,2025-05-06_12h50.00.819,tarea_iceberg,2023.2.3,59.9918890627742,2025-05-06 12h50.34.455932 +0200,
3,-0.2,0.05,0,4,4,4,,,,,11.576988499844447,,,,,,,,,,,,,,,,,,,,,11.515969099942595,11.520683899987489,None,,,,,,,,,230873,227233,Hombre,2025-05-06_12h50.00.819,tarea_iceberg,2023.2.3,59.9918890627742,2025-05-06 12h50.34.455932 +0200,
9,-0.4,0.05,0,5,5,5,,,,,11.576988499844447,,,,,,,,,,,,,,,,,,,,,11.520861399825662,11.525604199850932,None,,,,,,,,,230873,227233,Hombre,2025-05-06_12h50.00.819,tarea_iceberg,2023.2.3,59.9918890627742,2025-05-06 12h50.34.455932 +0200,
10,0.6,0.05,0,6,6,6,,,,,11.576988499844447,,,,,,,,,,,,,,,,,,,,,11.525802799966186,11.530682099983096,None,,,,,,,,,230873,227233,Hombre,2025-05-06_12h50.00.819,tarea_iceberg,2023.2.3,59.9918890627742,2025-05-06 12h50.34.455932 +0200,
14,0.5,0.05,0,7,7,7,,,,,11.576988499844447,,,,,,,,,,,,,,,,,,,,,11.530914800008759,11.536026599816978,None,,,,,,,,,230873,227233,Hombre,2025-05-06_12h50.00.819,tarea_iceberg,2023.2.3,59.9918890627742,2025-05-06 12h50.34.455932 +0200,
11,0.1,0.05,0,8,8,8,,,,,11.576988499844447,,,,,,,,,,,,,,,,,,,,,11.536239299923182,11.541301899822429,None,,,,,,,,,230873,227233,Hombre,2025-05-06_12h50.00.819,tarea_iceberg,2023.2.3,59.9918890627742,2025-05-06 12h50.34.455932 +0200,
3,-0.4,0.05,0,9,9,9,,,,,11.576988499844447,,,,,,,,,,,,,,,,,,,,,11.541499099927023,11.546274299966171,None,,,,,,,,,230873,227233,Hombre,2025-05-06_12h50.00.819,tarea_iceberg,2023.2.3,59.9918890627742,2025-05-06 12h50.34.455932 +0200,
6,0.1,0.05,,,,,0,0,0,0,11.576988499844447,,,,,,,,,,,,,,,,,,,,,,,,11.559965799795464,11.576988499844447,17.54793559992686,17.54793559992686,30.556455299956724,space,13.005857900017872,None,230873,227233,Hombre,2025-05-06_12h50.00.819,tarea_iceberg,2023.2.3,59.9918890627742,2025-05-06 12h50.34.455932 +0200,
,,,,,,,,,,,30.57196729979478,,,,,,,,,,,,,,,,,,,,,,,,30.556829700013623,30.57196729979478,38.56790499994531,38.56790499994531,,,,,,,,,,,,,
