timepresentation,posx,posy,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,portada.started,image_5.started,text_6.started,portada.stopped,instructions.started,text_5.started,key_resp_5.started,instructions.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Ronda1.started,text_7.started,key_resp.started,Ronda1.stopped,key_resp.keys,key_resp.rt,key_resp.duration,control.started,MAR1.started,resp_control.started,image.started,control.stopped,resp_control.keys,resp_control.rt,resp_control.duration,Ronda2.started,text_8.started,musica_instrumental.started,key_resp_2.started,Ronda2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instrumental.started,MAR2.started,resp_inst.started,image_2.started,instrumental.stopped,resp_inst.keys,resp_inst.rt,resp_inst.duration,Ronda3.started,text_9.started,musica_letra.started,key_resp_3.started,Ronda3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,lyrics.started,MAR3.started,participant,Edad,Sexo,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.0028122998774051666,0.020422799978405237,0.020422799978405237,3.0007197000086308,3.0007464999798685,3.0172395000699908,6.014081599889323,7.364479999989271,space,1.3455175999552011,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,484138,916184,Hombre,2025-05-06_13h51.40.919,tarea_iceberg,2023.2.3,60.140934316426524,2025-05-06 13h51.49.080449 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.364503500051796,7.379670799942687,7.379670799942687,9.51303240004927,space,2.1218734001740813,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,484138,916184,Hombre,2025-05-06_13h51.40.919,tarea_iceberg,2023.2.3,60.140934316426524,2025-05-06 13h51.49.080449 +0200,
12,-0.1,0.05,0,0,0,0,,,,,,,,,9.539895399939269,,,,,,,,,,,,,,,,,,,,9.527672099880874,9.539895399939269,21.52064869995229,21.52064869995229,21.873645900050178,space,0.3517938000150025,None,,,,,,,,,,,,,,,,,,,,,,,,,,,484138,916184,Hombre,2025-05-06_13h51.40.919,tarea_iceberg,2023.2.3,60.140934316426524,2025-05-06 13h51.49.080449 +0200,
4,-0.6,0.05,0,1,1,1,,,,,,,,,21.888735699933022,,,,,,,,,,,,,,,,,,,,21.874109100084752,21.888735699933022,25.88494289992377,25.88494289992377,26.252353799995035,space,0.35397609998472035,None,,,,,,,,,,,,,,,,,,,,,,,,,,,484138,916184,Hombre,2025-05-06_13h51.40.919,tarea_iceberg,2023.2.3,60.140934316426524,2025-05-06 13h51.49.080449 +0200,
10,0.7,0.05,0,2,2,2,,,,,,,,,26.26847240002826,,,,,,,,,,,,,,,,,,,,26.252678700024262,26.26847240002826,36.261686499929056,36.261686499929056,36.59565889998339,space,0.32843080000020564,None,,,,,,,,,,,,,,,,,,,,,,,,,,,484138,916184,Hombre,2025-05-06_13h51.40.919,tarea_iceberg,2023.2.3,60.140934316426524,2025-05-06 13h51.49.080449 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.59595059999265,36.70673820003867,0.10543319978751242,36.70673820003867,40.37793030007742,space,3.6592669000383466,None,,,,,,,,,,,,,,,,,,,484138,916184,Hombre,2025-05-06_13h51.40.919,tarea_iceberg,2023.2.3,60.140934316426524,2025-05-06 13h51.49.080449 +0200,
12,-0.1,0.05,,,,,0,0,0,0,,,,,40.404379799962044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.39179469994269,40.404379799962044,52.385242599993944,52.385242599993944,52.736692799953744,space,0.34956680005416274,None,,,,,,,,,,,484138,916184,Hombre,2025-05-06_13h51.40.919,tarea_iceberg,2023.2.3,60.140934316426524,2025-05-06 13h51.49.080449 +0200,
4,-0.6,0.05,,,,,0,1,1,1,,,,,52.75261559989303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.7370901000686,52.75261559989303,56.748206499964,56.748206499964,57.06701259990223,space,0.3157118000090122,None,,,,,,,,,,,484138,916184,Hombre,2025-05-06_13h51.40.919,tarea_iceberg,2023.2.3,60.140934316426524,2025-05-06 13h51.49.080449 +0200,
10,0.7,0.05,,,,,0,2,2,2,,,,,57.081779999891296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.06733629992232,57.081779999891296,67.07547349995002,67.07547349995002,67.37719039991498,space,0.2907966999337077,None,,,,,,,,,,,484138,916184,Hombre,2025-05-06_13h51.40.919,tarea_iceberg,2023.2.3,60.140934316426524,2025-05-06 13h51.49.080449 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.37744270008989,67.50132000003941,67.50891377995721,67.50132000003941,70.87482600007206,space,3.360357200028375,None,,,484138,916184,Hombre,2025-05-06_13h51.40.919,tarea_iceberg,2023.2.3,60.140934316426524,2025-05-06 13h51.49.080449 +0200,
,,,,,,,,,,,,,,,70.90035189990886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.88877429999411,70.90035189990886,,,,,,,,,
