timepresentation,posx,posy,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,trials_9.thisRepN,trials_9.thisTrialN,trials_9.thisN,trials_9.thisIndex,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,trials_11.thisRepN,trials_11.thisTrialN,trials_11.thisN,trials_11.thisIndex,trials_12.thisRepN,trials_12.thisTrialN,trials_12.thisN,trials_12.thisIndex,trials_13.thisRepN,trials_13.thisTrialN,trials_13.thisN,trials_13.thisIndex,trials_14.thisRepN,trials_14.thisTrialN,trials_14.thisN,trials_14.thisIndex,trials_15.thisRepN,trials_15.thisTrialN,trials_15.thisN,trials_15.thisIndex,trials_16.thisRepN,trials_16.thisTrialN,trials_16.thisN,trials_16.thisIndex,thisRow.t,notes,ronda1,ronda2,ronda3,ronda4,portada.started,image_5.started,text_6.started,portada.stopped,instructions.started,text_5.started,key_resp_5.started,instructions.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Ronda_1.started,text_7.started,Ronda_1.stopped,control.started,control.stopped,resp_control_r1.keys,music.started,music.stopped,resp_music_r1.keys,music_words.started,image_3.started,resp_musicw_r1.started,music_words.stopped,resp_musicw_r1.keys,resp_musicw_r1.rt,resp_musicw_r1.duration,music_video.started,music_video.stopped,resp_musicv_r1.keys,Ronda_2.started,text_8.started,Ronda_2.stopped,control2.started,control2.stopped,resp_control_r2.keys,music2.started,image_7.started,resp_music_r2.started,music2.stopped,resp_music_r2.keys,resp_music_r2.rt,resp_music_r2.duration,music_words2.started,music_words2.stopped,resp_musicw_r2.keys,music_video2.started,music_video2.stopped,resp_musicv_r2.keys,Ronda_3.started,text_9.started,Ronda_3.stopped,control3.started,control3.stopped,resp_control_r3.keys,music3.started,music3.stopped,resp_music_r3.keys,music_words3.started,music_words3.stopped,resp_musicw_r3.keys,music_video3.started,image_13.started,resp_musicv_r3.started,music_video3.stopped,resp_musicv_r3.keys,resp_musicv_r3.rt,resp_musicv_r3.duration,Ronda_4.started,text_10.started,Ronda_4.stopped,control4.started,image_14.started,resp_control_r4.started,control4.stopped,resp_control_r4.keys,resp_control_r4.rt,resp_control_r4.duration,music4.started,music4.stopped,resp_music_r4.keys,music_words4.started,music_words4.stopped,resp_musicw_r4.keys,music_video4.started,music_video4.stopped,resp_musicv_r4.keys,final.started,text_4.started,final.stopped,participant,Edad,Sexo,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,music_words,music,music_video,control,0.004121999954804778,0.03449960006400943,0.03449960006400943,3.0126098999753594,3.012623199960217,3.0293960000853986,6.010789700085297,7.294683099957183,space,1.2709574000909925,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davidb,264706,Hombre,2025-05-06_09h39.12.361,tarea_iceberg,2023.2.3,60.155550215669095,2025-05-06 09h40.01.248126 +0200,
8,0.2,0.05,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.842542400117964,,,,,,,,,,,,,,,,,7.294724999926984,7.310482500120997,9.309056099969894,9.433330999920145,9.455196500057355,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davidb,264706,Hombre,2025-05-06_09h39.12.361,tarea_iceberg,2023.2.3,60.155550215669095,2025-05-06 09h40.01.248126 +0200,
11,-0.6,0.05,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.842542400117964,,,,,,,,,,,,,,,,,,,,9.455800499999896,9.467316800029948,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davidb,264706,Hombre,2025-05-06_09h39.12.361,tarea_iceberg,2023.2.3,60.155550215669095,2025-05-06 09h40.01.248126 +0200,
12,-0.3,0.05,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.842542400117964,,,,,,,,,,,,,,,,,,,,9.467743700137362,9.478673700010404,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davidb,264706,Hombre,2025-05-06_09h39.12.361,tarea_iceberg,2023.2.3,60.155550215669095,2025-05-06 09h40.01.248126 +0200,
5,-0.2,0.05,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.842542400117964,,,,,,,,,,,,,,,,,,,,9.47912469995208,9.487631800118834,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davidb,264706,Hombre,2025-05-06_09h39.12.361,tarea_iceberg,2023.2.3,60.155550215669095,2025-05-06 09h40.01.248126 +0200,
4,0.6,0.05,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.842542400117964,,,,,,,,,,,,,,,,,,,,9.488000000128523,9.496104000136256,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davidb,264706,Hombre,2025-05-06_09h39.12.361,tarea_iceberg,2023.2.3,60.155550215669095,2025-05-06 09h40.01.248126 +0200,
13,-0.1,0.05,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.842542400117964,,,,,,,,,,,,,,,,,,,,9.496426300145686,9.50438109994866,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davidb,264706,Hombre,2025-05-06_09h39.12.361,tarea_iceberg,2023.2.3,60.155550215669095,2025-05-06 09h40.01.248126 +0200,
5,-0.3,0.05,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.842542400117964,,,,,,,,,,,,,,,,,,,,9.504836099920794,9.513305200031027,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davidb,264706,Hombre,2025-05-06_09h39.12.361,tarea_iceberg,2023.2.3,60.155550215669095,2025-05-06 09h40.01.248126 +0200,
10,0.4,0.05,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.842542400117964,,,,,,,,,,,,,,,,,,,,9.51364429993555,9.521486100042239,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davidb,264706,Hombre,2025-05-06_09h39.12.361,tarea_iceberg,2023.2.3,60.155550215669095,2025-05-06 09h40.01.248126 +0200,
11,0.4,0.05,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.842542400117964,,,,,,,,,,,,,,,,,,,,9.521932099945843,9.532273000106215,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davidb,264706,Hombre,2025-05-06_09h39.12.361,tarea_iceberg,2023.2.3,60.155550215669095,2025-05-06 09h40.01.248126 +0200,
