time,event
6.9999368861317635e-06,start_relax1
3.0468632000265643,start_trial1
11.334977300022729,keypress_trial1
16.714657100033946,estimatedtimeclick_trial1
18.23238569998648,start_relax2
22.984323299955577,start_trial2
30.12296469998546,keypress_trial2
33.10461299994495,estimatedtimeclick_trial2
34.62164040002972,start_relax3
39.33009950001724,start_trial3
43.94739159999881,keypress_trial3
46.99796960002277,estimatedtimeclick_trial3
48.513944900012575,start_relax4
52.96346769994125,start_trial4
59.47063589992467,keypress_trial4
62.75277919997461,estimatedtimeclick_trial4
64.26948609994724,start_relax5
68.61639989994,start_trial5
68.61640880000778,keypress_trial5
72.93012000003364,estimatedtimeclick_trial5
74.44634339993354,start_relax6
80.00645510002505,start_trial6
86.73709830001462,keypress_trial6
90.18566319998354,estimatedtimeclick_trial6
91.70168609998655,start_relax7
96.03401489998214,start_trial7
102.97676809993573,keypress_trial7
105.82600040000398,estimatedtimeclick_trial7
107.34317230002489,start_relax8
112.43887139996514,start_trial8
120.84853059996385,keypress_trial8
124.18270739994477,estimatedtimeclick_trial8
125.69764439994469,start_relax9
129.77431459992658,start_trial9
139.3202561000362,keypress_trial9
141.90454789996147,estimatedtimeclick_trial9
143.41982479998842,start_relax10
146.76256369997282,start_trial10
155.193622999941,keypress_trial10
158.14159140002448,estimatedtimeclick_trial10
159.65838309994433,start_relax11
163.2056472999975,start_trial11
170.90049299993552,keypress_trial11
173.9164645000128,estimatedtimeclick_trial11
175.43190900003538,start_relax12
179.16823529999238,start_trial12
