time_s,value,state
0.0043,-5495538,none
0.0076,2485615,none
0.0112,5884235,none
0.0150,-5531249,none
0.0193,-5523368,none
0.0236,-5500746,none
0.0294,2121270,none
0.0313,6925697,none
0.0353,-5533175,none
0.0394,-5524902,none
0.0439,-5504250,none
0.0478,1560411,none
0.0518,7616583,none
0.0559,-5537638,none
0.0601,-5529495,none
0.0640,-5508747,none
0.0683,57718,none
0.0721,7816833,none
0.0739,-,none
0.0784,5534402,none
0.0867,-5527354,none
0.0905,-5506539,none
0.0910,-690785,none
0.0989,8388607,none
0.1024,-5535124,none
0.1063,-5527466,none
0.1109,-5507719,none
0.1136,-2058658,none
0.1161,8388607,none
0.1205,-5534685,none
0.1271,-5529943,none
0.1299,-5510756,none
0.1329,-3104987,none
0.1357,8388607,none
0.1391,-5529860,none
0.1425,-5533881,none
0.1453,-5515940,none
0.1487,-3826902,none
0.1518,8388607,none
0.1586,-5531558,none
0.1587,-5535501,none
0.1649,-5519376,none
0.1716,-3915888,none
0.1768,8388607,none
0.1800,-5489043,none
0.1836,-5542462,none
0.1862,-5526957,none
0.1894,-5352013,none
0.1919,8388607,none
0.2012,-5481314,none
0.2046,-5545251,none
0.2046,-5530718,none
0.2068,-,none
0.2103,5448296,none
0.2137,8388607,none
0.2172,-5452813,none
0.2190,-5550159,none
0.2225,-5537000,none
0.2269,-5519171,none
0.2315,8388607,none
0.2342,-5217588,none
0.2394,-5555656,none
0.2444,-5543269,none
0.2466,-5526745,none
0.2505,8388607,none
0.2558,-4834227,none
0.2596,-5562190,none
0.2622,-5550450,none
0.2674,-5532491,none
0.2745,8388607,none
0.2750,-4748266,none
0.2795,-5563609,none
0.2876,-5552137,none
0.2969,-5534326,none
0.2983,8388607,none
0.2991,-3354801,none
0.3028,-5567451,none
0.3054,-5557675,none
0.3089,-5538230,none
0.3122,8388607,none
0.3184,-3404258,none
0.3185,-5566171,none
0.3276,-5556449,none
0.3294,-5535539,none
0.3324,8388607,none
0.3343,-9,none
0.3358,44602,none
0.3379,-55,none
0.3423,65973,none
0.3458,-5557352,none
0.3477,-5536759,none
0.3495,8388607,none
0.3537,-267749,none
0.3582,-5568385,none
0.3609,-5559373,none
0.3645,-5537740,none
0.3685,7942319,none
0.3753,574933,none
0.3778,-5568759,none
0.3827,-5560537,none
0.3849,-5536792,none
0.3895,7045131,none
0.3922,1600529,none
0.3980,-5569525,none
0.4027,-5561922,none
0.4047,-5539020,none
0.4098,6265607,none
0.4162,2033678,none
0.4181,-5570747,none
0.4251,-5562788,none
0.4276,-5539921,none
0.4342,5765535,none
0.4382,2349545,none
0.4413,-5570518,none
0.4432,-5562685,none
0.4488,-5538814,none
0.4530,4629664,none
0.4549,3070767,none
0.4568,-,none
0.4606,5569936,none
0.4635,-5561788,none
0.4676,-5538962,none
0.4692,36917,none
0.4727,07,none
0.5066,4013730,none
0.5349,-5569879,none
0.5377,-5561776,none
0.5421,-5538726,none
0.5459,2495776,none
0.5474,5499933,none
0.5486,-5569309,none
0.5497,-5562321,none
0.5505,-5539661,none
0.5538,2359120,none
0.5552,5229878,none
0.5613,-5568469,none
0.5623,-5559821,none
0.5654,-5538169,none
0.5689,1249391,none
0.5721,7133079,none
0.5746,-5567531,none
0.5747,-5559819,none
0.5798,-5538916,none
0.5832,528082,none
0.5855,8075116,none
0.5866,-5569168,none
0.5871,-5561758,none
0.5897,-5540819,none
0.5899,-634799,none
0.5927,8388607,none
0.5959,-5569058,none
0.6010,-5563185,none
0.6043,-5543106,none
0.6070,-1429753,none
0.6079,8388607,none
0.6108,-5568993,none
0.6128,-5563822,none
0.6155,-5544505,none
0.6172,-2400581,none
0.6199,8388607,none
0.6224,-5567785,none
0.6226,-5564680,none
0.6292,-5546426,none
0.6381,-3311661,none
0.6384,8388607,none
0.6385,-5561377,none
0.6498,-5564103,none
0.6690,-5546148,none
0.6865,-4327328,none
0.6996,8388607,none
0.7051,-5540561,none
0.7292,-5565479,none
0.7438,-5549161,none
0.7691,-5179303,none
0.7916,8388607,none
0.7923,-5537380,none
0.7929,-5564457,none
0.7965,-5548744,none
0.7987,-5521627,none
0.8002,8388607,none
0.8031,-5490047,none
0.8064,-5564073,none
0.8094,-5549488,none
0.8111,-5533700,none
0.8128,8388607,none
0.8153,-5436192,none
0.8154,-5562774,none
0.8169,-5550068,none
0.8192,-5534621,none
0.8195,8388607,none
0.8239,-5063267,none
0.8264,-5564251,none
0.8292,-5551300,none
0.8319,-5535195,none
0.8335,8388607,none
0.8346,-4655554,none
0.8373,-5562740,none
0.8396,-5551009,none
0.8416,-5533475,none
0.8433,8388607,none
0.8443,-2901221,none
0.8470,-5560966,none
0.8496,-5550089,none
0.8538,-5531624,none
0.8570,8388607,none
0.8615,-3188119,none
0.8646,-5560672,none
0.8661,-5550210,none
0.8668,-5531074,none
0.8669,8388607,none
0.8686,-1258262,none
0.8695,-5561025,none
0.8711,-5552189,none
0.8729,-5531223,none
0.8757,8388607,none
0.8792,-1104868,none
0.8814,-5559462,none
0.8831,-5550157,none
0.8842,-5528396,none
0.8843,8310019,none
0.8892,354106,none
0.8915,-5559795,none
0.8942,-5550267,none
0.8958,-5529004,none
0.8994,7795239,none
0.9006,669733,none
0.9036,-5560139,none
0.9084,-5551879,none
0.9085,-5529414,none
0.9101,6971591,none
0.9127,1467351,none
0.9157,-5561756,none
0.9178,-5553218,none
0.9190,-5531180,none
0.9191,5942031,none
0.9205,2358302,none
0.9219,-5561581,none
0.9220,-5553562,none
0.9594,-5530756,none
0.9595,4986011,none
0.9734,3234307,none
0.9781,-5562109,none
0.9851,-5554383,none
1.0068,-5531301,none
1.0164,3912327,none
1.0165,4081357,none
1.0239,-5560477,none
1.0387,-5552314,none
1.0536,-5529125,none
1.0569,2713452,none
1.0570,5039566,none
1.0733,-5559875,none
1.0896,-5552368,none
1.1193,-5529364,none
1.1244,2364205,none
1.1323,6026569,none
1.1533,-5559272,none
1.1710,-5551454,none
1.1730,-5529510,none
1.1904,1767931,none
1.1905,6658245,none
1.1938,-5556896,none
1.2086,-5549230,none
1.2227,-5527503,none
1.2227,651591,none
1.2355,6966159,none
1.2398,-5553684,none
1.2410,-5544567,none
1.2563,-5524374,none
1.2575,-140892,none
1.2595,8388607,none
1.2726,-5550402,none
1.2727,-5543400,none
1.2910,-5523112,none
1.2969,-1155234,none
1.3063,8388607,none
1.3128,-5548813,none
1.3226,-5544111,none
1.3360,-5523267,none
1.3461,-1655492,none
1.3511,8388607,none
1.3547,-5550149,none
1.3556,-5544278,none
1.3644,-5525359,none
1.3668,-2758217,none
1.3715,8388607,none
1.3737,-5545544,none
1.3740,-5542216,none
1.3744,-5524524,none
1.3875,-3713205,none
1.3892,8388607,none
1.3929,-5534535,none
1.3984,-5544105,none
1.3986,-5526903,none
1.4010,-4714422,none
1.4026,8388607,none
1.4087,-5509604,none
1.4163,-5545557,none
1.4198,-5530227,none
1.4272,-5439749,none
1.4287,8388607,none
1.4357,-5481148,none
1.4465,-5545067,none
1.4552,-5530582,none
1.4711,-5511330,none
1.4775,8388607,none
1.4779,-5430647,none
1.4930,-5544611,none
1.4966,-5531722,none
1.4968,-5516134,none
1.4998,8388607,none
1.5035,-5312190,none
1.5061,-5543030,none
1.5068,-5530538,none
1.5072,-5513557,none
1.5120,8388607,none
1.5167,-4987345,none
1.5188,-5542189,none
1.5230,-5530042,none
1.5241,-5513154,none
1.5245,8388607,none
1.5260,-4338053,none
1.5288,-5542690,none
1.5375,-5531020,none
1.5490,-5513493,none
1.5554,8388607,none
1.5571,-3228920,none
1.5582,-5541700,none
1.5651,-5531584,none
1.5693,-5512602,none
1.5788,8388607,none
1.5789,-3094909,none
1.5821,-5541224,none
1.5847,-5531124,none
1.5872,-5510664,none
1.5874,8388607,none
1.5969,-1627028,none
1.6038,-5539635,none
1.6078,-5531102,none
1.6084,-5510104,none
1.6115,8388607,none
1.6161,-1514294,none
1.6184,-5535597,none
1.6204,-5526314,none
1.6224,-5504485,none
1.6227,8015859,none
1.6264,274290,none
1.6265,-5533663,none
1.6280,-5524697,none
1.6324,-5502249,none
1.6333,7001007,none
1.6381,532111,none
1.6403,-5530534,none
1.6440,-5522224,none
1.6475,-5499132,none
1.6529,6412687,none
1.6575,1341133,none
1.6586,-5527447,none
1.6641,-5518978,none
1.6669,-5495878,none
1.6753,5177215,none
1.6837,3141148,none
1.6883,-5527304,none
1.7023,-5520121,none
1.7096,-5497849,none
1.7208,4566081,none
1.7283,3063960,none
1.7323,-5525624,none
1.7367,-5518040,none
1.7484,-5495236,none
1.7591,3838787,none
1.7625,3584327,none
1.7626,-5523074,none
1.7627,-5514906,none
1.7694,-5492222,none
1.7723,2724109,none
1.7723,4781386,none
1.7757,-5520788,none
1.7758,-5512389,none
1.7796,-5490750,none
1.7834,2368157,none
1.7871,5760431,none
1.7997,-5516494,none
1.8138,-5509358,none
1.8216,-5487045,none
1.8238,1510118,none
