repeat.thisRepN,repeat.thisTrialN,repeat.thisN,repeat.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,monkey_sound.started,monkey_sound.stopped,Bienvenida.started,Bienvenida.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,feedback_text.started,feedback_text.stopped,level_up_sound.started,level_up_sound.stopped,velo.started,velo.stopped,text.started,text.stopped,si.keys,si.rt,si.started,si.stopped,no.keys,no.started,no.stopped,no.rt,Adios.started,Adios.stopped,mean_speed,max_speed,number_trials,number_trials_correct,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,11.862766599981114,None,11.78409683975624,14.788029899995308,14.804178499965928,19.80926820001332,space,14.277033200021833,14.804178499965928,None,,,,,,,,,,,,,,,,,,,,,,,Ester,2022_Oct_12_2052,BananaMonkey,3.2.3,59.889671251144705,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ester,2022_Oct_12_2052,BananaMonkey,3.2.3,59.889671251144705,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ester,2022_Oct_12_2052,BananaMonkey,3.2.3,59.889671251144705,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ester,2022_Oct_12_2052,BananaMonkey,3.2.3,59.889671251144705,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ester,2022_Oct_12_2052,BananaMonkey,3.2.3,59.889671251144705,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ester,2022_Oct_12_2052,BananaMonkey,3.2.3,59.889671251144705,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ester,2022_Oct_12_2052,BananaMonkey,3.2.3,59.889671251144705,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ester,2022_Oct_12_2052,BananaMonkey,3.2.3,59.889671251144705,
0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ester,2022_Oct_12_2052,BananaMonkey,3.2.3,59.889671251144705,
0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ester,2022_Oct_12_2052,BananaMonkey,3.2.3,59.889671251144705,
0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ester,2022_Oct_12_2052,BananaMonkey,3.2.3,59.889671251144705,
0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ester,2022_Oct_12_2052,BananaMonkey,3.2.3,59.889671251144705,
0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ester,2022_Oct_12_2052,BananaMonkey,3.2.3,59.889671251144705,
