repeat.thisRepN,repeat.thisTrialN,repeat.thisN,repeat.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,monkey_sound.started,monkey_sound.stopped,Bienvenida.started,Bienvenida.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,feedback_text.started,feedback_text.stopped,level_up_sound.started,level_up_sound.stopped,text.started,text.stopped,si.keys,si.rt,si.started,si.stopped,no.keys,no.started,no.stopped,no.rt,Adios.started,Adios.stopped,mean_speed,max_speed,number_trials,number_trials_correct,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,10.26455680001527,None,10.19339321964653,None,13.199258500011638,18.204354399989825,space,6.16745379997883,13.199258500011638,None,,,,,,,,,,,,,,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
0,0,0,0,,,,,,,,,,,,,,,37.971886300016195,None,37.95814300999628,None,42.96308369998587,None,s,1.2755483000073582,42.96308369998587,None,None,42.96308369998587,None,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david,2022_Oct_12_2041,BananaMonkey,3.2.3,59.91672773246677,
