repeat.thisRepN,repeat.thisTrialN,repeat.thisN,repeat.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,monkey_sound.started,monkey_sound.stopped,Bienvenida.started,Bienvenida.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,feedback_text.started,feedback_text.stopped,level_up_sound.started,level_up_sound.stopped,velo.started,velo.stopped,text.started,text.stopped,si.keys,si.rt,si.started,si.stopped,no.keys,no.started,no.stopped,no.rt,Adios.started,Adios.stopped,mean_speed,max_speed,number_trials,number_trials_correct,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,9.729556400037836,None,9.65504781975178,12.660622299998067,12.676920900004916,17.68177399999695,space,6.549780300003476,12.676920900004916,None,,,,,,,,,,,,,,,,,,,,,,,monoo,2022_Oct_12_2047,BananaMonkey,3.2.3,59.85669109207111,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monoo,2022_Oct_12_2047,BananaMonkey,3.2.3,59.85669109207111,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monoo,2022_Oct_12_2047,BananaMonkey,3.2.3,59.85669109207111,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monoo,2022_Oct_12_2047,BananaMonkey,3.2.3,59.85669109207111,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monoo,2022_Oct_12_2047,BananaMonkey,3.2.3,59.85669109207111,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monoo,2022_Oct_12_2047,BananaMonkey,3.2.3,59.85669109207111,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monoo,2022_Oct_12_2047,BananaMonkey,3.2.3,59.85669109207111,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monoo,2022_Oct_12_2047,BananaMonkey,3.2.3,59.85669109207111,
0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monoo,2022_Oct_12_2047,BananaMonkey,3.2.3,59.85669109207111,
0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monoo,2022_Oct_12_2047,BananaMonkey,3.2.3,59.85669109207111,
0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monoo,2022_Oct_12_2047,BananaMonkey,3.2.3,59.85669109207111,
0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monoo,2022_Oct_12_2047,BananaMonkey,3.2.3,59.85669109207111,
0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monoo,2022_Oct_12_2047,BananaMonkey,3.2.3,59.85669109207111,
0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monoo,2022_Oct_12_2047,BananaMonkey,3.2.3,59.85669109207111,
0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monoo,2022_Oct_12_2047,BananaMonkey,3.2.3,59.85669109207111,
0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monoo,2022_Oct_12_2047,BananaMonkey,3.2.3,59.85669109207111,
0,0,0,0,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monoo,2022_Oct_12_2047,BananaMonkey,3.2.3,59.85669109207111,
0,0,0,0,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monoo,2022_Oct_12_2047,BananaMonkey,3.2.3,59.85669109207111,
0,0,0,0,17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monoo,2022_Oct_12_2047,BananaMonkey,3.2.3,59.85669109207111,
0,0,0,0,18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monoo,2022_Oct_12_2047,BananaMonkey,3.2.3,59.85669109207111,
0,0,0,0,19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monoo,2022_Oct_12_2047,BananaMonkey,3.2.3,59.85669109207111,
0,0,0,0,,,,,,,,,,,,,,,48.68261120002717,None,48.66306957003544,None,48.68261120002717,None,51.66629490000196,None,s,2.1280691999709234,51.66629490000196,None,None,51.66629490000196,None,,,,,,,,monoo,2022_Oct_12_2047,BananaMonkey,3.2.3,59.85669109207111,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monoo,2022_Oct_12_2047,BananaMonkey,3.2.3,59.85669109207111,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monoo,2022_Oct_12_2047,BananaMonkey,3.2.3,59.85669109207111,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monoo,2022_Oct_12_2047,BananaMonkey,3.2.3,59.85669109207111,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monoo,2022_Oct_12_2047,BananaMonkey,3.2.3,59.85669109207111,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monoo,2022_Oct_12_2047,BananaMonkey,3.2.3,59.85669109207111,
1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monoo,2022_Oct_12_2047,BananaMonkey,3.2.3,59.85669109207111,
1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monoo,2022_Oct_12_2047,BananaMonkey,3.2.3,59.85669109207111,
1,0,1,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monoo,2022_Oct_12_2047,BananaMonkey,3.2.3,59.85669109207111,
1,0,1,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monoo,2022_Oct_12_2047,BananaMonkey,3.2.3,59.85669109207111,
1,0,1,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monoo,2022_Oct_12_2047,BananaMonkey,3.2.3,59.85669109207111,
1,0,1,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monoo,2022_Oct_12_2047,BananaMonkey,3.2.3,59.85669109207111,
1,0,1,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monoo,2022_Oct_12_2047,BananaMonkey,3.2.3,59.85669109207111,
1,0,1,0,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monoo,2022_Oct_12_2047,BananaMonkey,3.2.3,59.85669109207111,
1,0,1,0,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monoo,2022_Oct_12_2047,BananaMonkey,3.2.3,59.85669109207111,
1,0,1,0,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monoo,2022_Oct_12_2047,BananaMonkey,3.2.3,59.85669109207111,
1,0,1,0,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monoo,2022_Oct_12_2047,BananaMonkey,3.2.3,59.85669109207111,
1,0,1,0,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monoo,2022_Oct_12_2047,BananaMonkey,3.2.3,59.85669109207111,
1,0,1,0,17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monoo,2022_Oct_12_2047,BananaMonkey,3.2.3,59.85669109207111,
1,0,1,0,18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monoo,2022_Oct_12_2047,BananaMonkey,3.2.3,59.85669109207111,
1,0,1,0,19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monoo,2022_Oct_12_2047,BananaMonkey,3.2.3,59.85669109207111,
1,0,1,0,,,,,,,,,,,,,,,74.17580280004768,None,74.17188747000765,None,74.17580280004768,None,77.1748840000364,None,s,0.6675291999708861,77.1748840000364,None,None,77.1748840000364,None,,,,,,,,monoo,2022_Oct_12_2047,BananaMonkey,3.2.3,59.85669109207111,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monoo,2022_Oct_12_2047,BananaMonkey,3.2.3,59.85669109207111,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monoo,2022_Oct_12_2047,BananaMonkey,3.2.3,59.85669109207111,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monoo,2022_Oct_12_2047,BananaMonkey,3.2.3,59.85669109207111,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monoo,2022_Oct_12_2047,BananaMonkey,3.2.3,59.85669109207111,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monoo,2022_Oct_12_2047,BananaMonkey,3.2.3,59.85669109207111,
2,0,2,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monoo,2022_Oct_12_2047,BananaMonkey,3.2.3,59.85669109207111,
2,0,2,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monoo,2022_Oct_12_2047,BananaMonkey,3.2.3,59.85669109207111,
2,0,2,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monoo,2022_Oct_12_2047,BananaMonkey,3.2.3,59.85669109207111,
2,0,2,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monoo,2022_Oct_12_2047,BananaMonkey,3.2.3,59.85669109207111,
2,0,2,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monoo,2022_Oct_12_2047,BananaMonkey,3.2.3,59.85669109207111,
2,0,2,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monoo,2022_Oct_12_2047,BananaMonkey,3.2.3,59.85669109207111,
2,0,2,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,monoo,2022_Oct_12_2047,BananaMonkey,3.2.3,59.85669109207111,
