trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,Bienvenida.started,Bienvenida.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Adios.started,Adios.stopped,Participant,date,expName,psychopyVersion,frameRate,
,,,,9.411994500027504,None,12.36420230002841,None,space,1.3325844999635592,12.36420230002841,None,,,ru,2022_Oct_12_1858,BananaMonkey,3.2.3,59.909907492546935,
0,0,0,0,,,,,,,,,,,ru,2022_Oct_12_1858,BananaMonkey,3.2.3,59.909907492546935,
1,0,1,0,,,,,,,,,,,ru,2022_Oct_12_1858,BananaMonkey,3.2.3,59.909907492546935,
2,0,2,0,,,,,,,,,,,ru,2022_Oct_12_1858,BananaMonkey,3.2.3,59.909907492546935,
3,0,3,0,,,,,,,,,,,ru,2022_Oct_12_1858,BananaMonkey,3.2.3,59.909907492546935,
4,0,4,0,,,,,,,,,,,ru,2022_Oct_12_1858,BananaMonkey,3.2.3,59.909907492546935,
5,0,5,0,,,,,,,,,,,ru,2022_Oct_12_1858,BananaMonkey,3.2.3,59.909907492546935,
6,0,6,0,,,,,,,,,,,ru,2022_Oct_12_1858,BananaMonkey,3.2.3,59.909907492546935,
7,0,7,0,,,,,,,,,,,ru,2022_Oct_12_1858,BananaMonkey,3.2.3,59.909907492546935,
8,0,8,0,,,,,,,,,,,ru,2022_Oct_12_1858,BananaMonkey,3.2.3,59.909907492546935,
9,0,9,0,,,,,,,,,,,ru,2022_Oct_12_1858,BananaMonkey,3.2.3,59.909907492546935,
10,0,10,0,,,,,,,,,,,ru,2022_Oct_12_1858,BananaMonkey,3.2.3,59.909907492546935,
11,0,11,0,,,,,,,,,,,ru,2022_Oct_12_1858,BananaMonkey,3.2.3,59.909907492546935,
12,0,12,0,,,,,,,,,,,ru,2022_Oct_12_1858,BananaMonkey,3.2.3,59.909907492546935,
13,0,13,0,,,,,,,,,,,ru,2022_Oct_12_1858,BananaMonkey,3.2.3,59.909907492546935,
14,0,14,0,,,,,,,,,,,ru,2022_Oct_12_1858,BananaMonkey,3.2.3,59.909907492546935,
15,0,15,0,,,,,,,,,,,ru,2022_Oct_12_1858,BananaMonkey,3.2.3,59.909907492546935,
16,0,16,0,,,,,,,,,,,ru,2022_Oct_12_1858,BananaMonkey,3.2.3,59.909907492546935,
17,0,17,0,,,,,,,,,,,ru,2022_Oct_12_1858,BananaMonkey,3.2.3,59.909907492546935,
18,0,18,0,,,,,,,,,,,ru,2022_Oct_12_1858,BananaMonkey,3.2.3,59.909907492546935,
19,0,19,0,,,,,,,,,,,ru,2022_Oct_12_1858,BananaMonkey,3.2.3,59.909907492546935,
,,,,,,,,,,,,63.14648880000459,None,,,,,,
