trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,Bienvenida.started,Bienvenida.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Adios.started,Adios.stopped,Participant,date,expName,psychopyVersion,frameRate,
,,,,9.871360300050583,None,12.828905300004408,None,space,0.796097899961751,12.828905300004408,None,,,uu,2022_Oct_12_1852,BananaMonkey,3.2.3,59.961384853336746,
0,0,0,0,,,,,,,,,,,uu,2022_Oct_12_1852,BananaMonkey,3.2.3,59.961384853336746,
1,0,1,0,,,,,,,,,,,uu,2022_Oct_12_1852,BananaMonkey,3.2.3,59.961384853336746,
2,0,2,0,,,,,,,,,,,uu,2022_Oct_12_1852,BananaMonkey,3.2.3,59.961384853336746,
3,0,3,0,,,,,,,,,,,uu,2022_Oct_12_1852,BananaMonkey,3.2.3,59.961384853336746,
4,0,4,0,,,,,,,,,,,uu,2022_Oct_12_1852,BananaMonkey,3.2.3,59.961384853336746,
5,0,5,0,,,,,,,,,,,uu,2022_Oct_12_1852,BananaMonkey,3.2.3,59.961384853336746,
6,0,6,0,,,,,,,,,,,uu,2022_Oct_12_1852,BananaMonkey,3.2.3,59.961384853336746,
7,0,7,0,,,,,,,,,,,uu,2022_Oct_12_1852,BananaMonkey,3.2.3,59.961384853336746,
8,0,8,0,,,,,,,,,,,uu,2022_Oct_12_1852,BananaMonkey,3.2.3,59.961384853336746,
9,0,9,0,,,,,,,,,,,uu,2022_Oct_12_1852,BananaMonkey,3.2.3,59.961384853336746,
,,,,,,,,,,,,26.80948720005108,None,,,,,,
