repeat.thisRepN,repeat.thisTrialN,repeat.thisN,repeat.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,monkey_sound.started,monkey_sound.stopped,Bienvenida.started,Bienvenida.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,feedback_text.started,feedback_text.stopped,level_up_sound.started,level_up_sound.stopped,velo.started,velo.stopped,text.started,text.stopped,si.keys,si.rt,si.started,si.stopped,no.keys,no.started,no.stopped,no.rt,Adios.started,Adios.stopped,mean_speed,max_speed,number_trials,number_trials_correct,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,12.023458499999833,None,11.9335214999679,None,14.945829800002684,None,space,3.5327087999976357,14.945829800002684,None,,,,,,,,,,,,,,,,,,,,,,,daniel,2022_Oct_14_0947,BananaMonkey,3.2.3,60.008953335026334,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daniel,2022_Oct_14_0947,BananaMonkey,3.2.3,60.008953335026334,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daniel,2022_Oct_14_0947,BananaMonkey,3.2.3,60.008953335026334,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daniel,2022_Oct_14_0947,BananaMonkey,3.2.3,60.008953335026334,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daniel,2022_Oct_14_0947,BananaMonkey,3.2.3,60.008953335026334,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daniel,2022_Oct_14_0947,BananaMonkey,3.2.3,60.008953335026334,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daniel,2022_Oct_14_0947,BananaMonkey,3.2.3,60.008953335026334,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daniel,2022_Oct_14_0947,BananaMonkey,3.2.3,60.008953335026334,
0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daniel,2022_Oct_14_0947,BananaMonkey,3.2.3,60.008953335026334,
0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daniel,2022_Oct_14_0947,BananaMonkey,3.2.3,60.008953335026334,
0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daniel,2022_Oct_14_0947,BananaMonkey,3.2.3,60.008953335026334,
0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daniel,2022_Oct_14_0947,BananaMonkey,3.2.3,60.008953335026334,
0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daniel,2022_Oct_14_0947,BananaMonkey,3.2.3,60.008953335026334,
0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daniel,2022_Oct_14_0947,BananaMonkey,3.2.3,60.008953335026334,
0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daniel,2022_Oct_14_0947,BananaMonkey,3.2.3,60.008953335026334,
0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daniel,2022_Oct_14_0947,BananaMonkey,3.2.3,60.008953335026334,
0,0,0,0,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daniel,2022_Oct_14_0947,BananaMonkey,3.2.3,60.008953335026334,
0,0,0,0,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daniel,2022_Oct_14_0947,BananaMonkey,3.2.3,60.008953335026334,
0,0,0,0,17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daniel,2022_Oct_14_0947,BananaMonkey,3.2.3,60.008953335026334,
0,0,0,0,18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daniel,2022_Oct_14_0947,BananaMonkey,3.2.3,60.008953335026334,
