trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,Bienvenida.started,Bienvenida.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Adios.started,Adios.stopped,Participant,date,expName,psychopyVersion,frameRate,
,,,,18.12427619996015,None,21.077864999999292,None,space,1.7235608999617398,21.077864999999292,None,,,jeje,2022_Oct_12_1854,BananaMonkey,3.2.3,59.83931945498595,
0,0,0,0,,,,,,,,,,,jeje,2022_Oct_12_1854,BananaMonkey,3.2.3,59.83931945498595,
1,0,1,0,,,,,,,,,,,jeje,2022_Oct_12_1854,BananaMonkey,3.2.3,59.83931945498595,
2,0,2,0,,,,,,,,,,,jeje,2022_Oct_12_1854,BananaMonkey,3.2.3,59.83931945498595,
3,0,3,0,,,,,,,,,,,jeje,2022_Oct_12_1854,BananaMonkey,3.2.3,59.83931945498595,
4,0,4,0,,,,,,,,,,,jeje,2022_Oct_12_1854,BananaMonkey,3.2.3,59.83931945498595,
5,0,5,0,,,,,,,,,,,jeje,2022_Oct_12_1854,BananaMonkey,3.2.3,59.83931945498595,
6,0,6,0,,,,,,,,,,,jeje,2022_Oct_12_1854,BananaMonkey,3.2.3,59.83931945498595,
7,0,7,0,,,,,,,,,,,jeje,2022_Oct_12_1854,BananaMonkey,3.2.3,59.83931945498595,
8,0,8,0,,,,,,,,,,,jeje,2022_Oct_12_1854,BananaMonkey,3.2.3,59.83931945498595,
9,0,9,0,,,,,,,,,,,jeje,2022_Oct_12_1854,BananaMonkey,3.2.3,59.83931945498595,
10,0,10,0,,,,,,,,,,,jeje,2022_Oct_12_1854,BananaMonkey,3.2.3,59.83931945498595,
11,0,11,0,,,,,,,,,,,jeje,2022_Oct_12_1854,BananaMonkey,3.2.3,59.83931945498595,
12,0,12,0,,,,,,,,,,,jeje,2022_Oct_12_1854,BananaMonkey,3.2.3,59.83931945498595,
13,0,13,0,,,,,,,,,,,jeje,2022_Oct_12_1854,BananaMonkey,3.2.3,59.83931945498595,
14,0,14,0,,,,,,,,,,,jeje,2022_Oct_12_1854,BananaMonkey,3.2.3,59.83931945498595,
15,0,15,0,,,,,,,,,,,jeje,2022_Oct_12_1854,BananaMonkey,3.2.3,59.83931945498595,
16,0,16,0,,,,,,,,,,,jeje,2022_Oct_12_1854,BananaMonkey,3.2.3,59.83931945498595,
17,0,17,0,,,,,,,,,,,jeje,2022_Oct_12_1854,BananaMonkey,3.2.3,59.83931945498595,
18,0,18,0,,,,,,,,,,,jeje,2022_Oct_12_1854,BananaMonkey,3.2.3,59.83931945498595,
19,0,19,0,,,,,,,,,,,jeje,2022_Oct_12_1854,BananaMonkey,3.2.3,59.83931945498595,
,,,,,,,,,,,,48.17160269996384,None,,,,,,
