repeat.thisRepN,repeat.thisTrialN,repeat.thisN,repeat.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,Bienvenida.started,Bienvenida.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,si.keys,si.rt,si.started,si.stopped,no.keys,no.started,no.stopped,no.rt,Adios.started,Adios.stopped,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,9.03864290000638,None,11.996917100041173,None,space,0.5749451000010595,11.996917100041173,None,,,,,,,,,,,,,kkk,2022_Oct_12_1921,BananaMonkey,3.2.3,59.916763632904264,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,kkk,2022_Oct_12_1921,BananaMonkey,3.2.3,59.916763632904264,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,kkk,2022_Oct_12_1921,BananaMonkey,3.2.3,59.916763632904264,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,kkk,2022_Oct_12_1921,BananaMonkey,3.2.3,59.916763632904264,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,kkk,2022_Oct_12_1921,BananaMonkey,3.2.3,59.916763632904264,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,kkk,2022_Oct_12_1921,BananaMonkey,3.2.3,59.916763632904264,
0,0,0,0,,,,,,,,,,,,,23.692327500029933,None,s,3.1437043999903835,23.692327500029933,None,None,23.692327500029933,None,,,,kkk,2022_Oct_12_1921,BananaMonkey,3.2.3,59.916763632904264,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,kkk,2022_Oct_12_1921,BananaMonkey,3.2.3,59.916763632904264,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,kkk,2022_Oct_12_1921,BananaMonkey,3.2.3,59.916763632904264,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,kkk,2022_Oct_12_1921,BananaMonkey,3.2.3,59.916763632904264,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,kkk,2022_Oct_12_1921,BananaMonkey,3.2.3,59.916763632904264,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,kkk,2022_Oct_12_1921,BananaMonkey,3.2.3,59.916763632904264,
1,0,1,0,,,,,,,,,,,,,34.35292980005033,None,s,1.2914989999844693,34.35292980005033,None,None,34.35292980005033,None,,,,kkk,2022_Oct_12_1921,BananaMonkey,3.2.3,59.916763632904264,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,kkk,2022_Oct_12_1921,BananaMonkey,3.2.3,59.916763632904264,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,kkk,2022_Oct_12_1921,BananaMonkey,3.2.3,59.916763632904264,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,kkk,2022_Oct_12_1921,BananaMonkey,3.2.3,59.916763632904264,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,kkk,2022_Oct_12_1921,BananaMonkey,3.2.3,59.916763632904264,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,kkk,2022_Oct_12_1921,BananaMonkey,3.2.3,59.916763632904264,
2,0,2,0,,,,,,,,,,,,,41.409843000001274,None,None,,41.409843000001274,None,n,41.409843000001274,None,2.248856399965007,,,kkk,2022_Oct_12_1921,BananaMonkey,3.2.3,59.916763632904264,
,,,,,,,,,,,,,,,,,,,,,,,,,,43.67888810002478,None,,,,,,
