repeat.thisRepN,repeat.thisTrialN,repeat.thisN,repeat.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,Bienvenida.started,Bienvenida.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,feedback_text.started,feedback_text.stopped,text.started,text.stopped,si.keys,si.rt,si.started,si.stopped,no.keys,no.started,no.stopped,Adios.started,Adios.stopped,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,15.634583199978806,None,18.601118999999017,None,space,1.8752050999901257,18.601118999999017,None,,,,,,,,,,,,,,kkk,2022_Oct_12_1959,BananaMonkey,3.2.3,61.220341804080945,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,kkk,2022_Oct_12_1959,BananaMonkey,3.2.3,61.220341804080945,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,kkk,2022_Oct_12_1959,BananaMonkey,3.2.3,61.220341804080945,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,kkk,2022_Oct_12_1959,BananaMonkey,3.2.3,61.220341804080945,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,kkk,2022_Oct_12_1959,BananaMonkey,3.2.3,61.220341804080945,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,kkk,2022_Oct_12_1959,BananaMonkey,3.2.3,61.220341804080945,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,kkk,2022_Oct_12_1959,BananaMonkey,3.2.3,61.220341804080945,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,kkk,2022_Oct_12_1959,BananaMonkey,3.2.3,61.220341804080945,
0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,kkk,2022_Oct_12_1959,BananaMonkey,3.2.3,61.220341804080945,
0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,kkk,2022_Oct_12_1959,BananaMonkey,3.2.3,61.220341804080945,
0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,kkk,2022_Oct_12_1959,BananaMonkey,3.2.3,61.220341804080945,
0,0,0,0,,,,,,,,,,,,,45.484244999999646,None,50.483129300002474,None,s,2.0012490999652073,50.483129300002474,None,None,50.483129300002474,None,,,kkk,2022_Oct_12_1959,BananaMonkey,3.2.3,61.220341804080945,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,kkk,2022_Oct_12_1959,BananaMonkey,3.2.3,61.220341804080945,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,kkk,2022_Oct_12_1959,BananaMonkey,3.2.3,61.220341804080945,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,kkk,2022_Oct_12_1959,BananaMonkey,3.2.3,61.220341804080945,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,kkk,2022_Oct_12_1959,BananaMonkey,3.2.3,61.220341804080945,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,kkk,2022_Oct_12_1959,BananaMonkey,3.2.3,61.220341804080945,
1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,kkk,2022_Oct_12_1959,BananaMonkey,3.2.3,61.220341804080945,
1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,kkk,2022_Oct_12_1959,BananaMonkey,3.2.3,61.220341804080945,
1,0,1,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,kkk,2022_Oct_12_1959,BananaMonkey,3.2.3,61.220341804080945,
1,0,1,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,kkk,2022_Oct_12_1959,BananaMonkey,3.2.3,61.220341804080945,
