repeat.thisRepN,repeat.thisTrialN,repeat.thisN,repeat.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,Bienvenida.started,Bienvenida.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,si.keys,si.rt,si.started,si.stopped,no.keys,no.started,no.stopped,Adios.started,Adios.stopped,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,9.022015900001861,None,11.981103099999018,None,space,1.1809439999633469,11.981103099999018,None,,,,,,,,,,,,koko,2022_Oct_12_1928,BananaMonkey,3.2.3,59.91119962028731,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,koko,2022_Oct_12_1928,BananaMonkey,3.2.3,59.91119962028731,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,koko,2022_Oct_12_1928,BananaMonkey,3.2.3,59.91119962028731,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,koko,2022_Oct_12_1928,BananaMonkey,3.2.3,59.91119962028731,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,koko,2022_Oct_12_1928,BananaMonkey,3.2.3,59.91119962028731,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,koko,2022_Oct_12_1928,BananaMonkey,3.2.3,59.91119962028731,
0,0,0,0,,,,,,,,,,,,,24.276325299986638,None,s,1.7497884000185877,24.276325299986638,None,None,24.276325299986638,None,,,koko,2022_Oct_12_1928,BananaMonkey,3.2.3,59.91119962028731,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,koko,2022_Oct_12_1928,BananaMonkey,3.2.3,59.91119962028731,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,koko,2022_Oct_12_1928,BananaMonkey,3.2.3,59.91119962028731,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,koko,2022_Oct_12_1928,BananaMonkey,3.2.3,59.91119962028731,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,koko,2022_Oct_12_1928,BananaMonkey,3.2.3,59.91119962028731,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,koko,2022_Oct_12_1928,BananaMonkey,3.2.3,59.91119962028731,
1,0,1,0,,,,,,,,,,,,,33.5525912999874,None,s,2.776977400004398,33.5525912999874,None,None,33.5525912999874,None,,,koko,2022_Oct_12_1928,BananaMonkey,3.2.3,59.91119962028731,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,koko,2022_Oct_12_1928,BananaMonkey,3.2.3,59.91119962028731,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,koko,2022_Oct_12_1928,BananaMonkey,3.2.3,59.91119962028731,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,koko,2022_Oct_12_1928,BananaMonkey,3.2.3,59.91119962028731,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,koko,2022_Oct_12_1928,BananaMonkey,3.2.3,59.91119962028731,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,koko,2022_Oct_12_1928,BananaMonkey,3.2.3,59.91119962028731,
2,0,2,0,,,,,,,,,,,,,42.66122759995051,None,s,1.3403108000056818,42.66122759995051,None,None,42.66122759995051,None,,,koko,2022_Oct_12_1928,BananaMonkey,3.2.3,59.91119962028731,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,koko,2022_Oct_12_1928,BananaMonkey,3.2.3,59.91119962028731,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,koko,2022_Oct_12_1928,BananaMonkey,3.2.3,59.91119962028731,
3,0,3,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,koko,2022_Oct_12_1928,BananaMonkey,3.2.3,59.91119962028731,
3,0,3,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,koko,2022_Oct_12_1928,BananaMonkey,3.2.3,59.91119962028731,
3,0,3,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,koko,2022_Oct_12_1928,BananaMonkey,3.2.3,59.91119962028731,
3,0,3,0,,,,,,,,,,,,,49.7681203999673,None,s,1.5055649999994785,49.7681203999673,None,None,49.7681203999673,None,,,koko,2022_Oct_12_1928,BananaMonkey,3.2.3,59.91119962028731,
4,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,koko,2022_Oct_12_1928,BananaMonkey,3.2.3,59.91119962028731,
4,0,4,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,koko,2022_Oct_12_1928,BananaMonkey,3.2.3,59.91119962028731,
4,0,4,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,koko,2022_Oct_12_1928,BananaMonkey,3.2.3,59.91119962028731,
4,0,4,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,koko,2022_Oct_12_1928,BananaMonkey,3.2.3,59.91119962028731,
4,0,4,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,koko,2022_Oct_12_1928,BananaMonkey,3.2.3,59.91119962028731,
4,0,4,0,,,,,,,,,,,,,56.39204319997225,None,s,1.6738834999850951,56.39204319997225,None,None,56.39204319997225,None,,,koko,2022_Oct_12_1928,BananaMonkey,3.2.3,59.91119962028731,
,,,,,,,,,,,,,,,,,,,,,,,,,58.0934433999937,None,,,,,,
