repeat.thisRepN,repeat.thisTrialN,repeat.thisN,repeat.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,Bienvenida.started,Bienvenida.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,9.54772040003445,None,12.508214100031182,None,space,1.211583599972073,12.508214100031182,None,miky,2022_Oct_12_2012,BananaMonkey,3.2.3,59.918056077306694,
0,0,0,0,0,0,0,0,,,,,,,,,miky,2022_Oct_12_2012,BananaMonkey,3.2.3,59.918056077306694,
0,0,0,0,1,0,1,0,,,,,,,,,miky,2022_Oct_12_2012,BananaMonkey,3.2.3,59.918056077306694,
0,0,0,0,2,0,2,0,,,,,,,,,miky,2022_Oct_12_2012,BananaMonkey,3.2.3,59.918056077306694,
0,0,0,0,3,0,3,0,,,,,,,,,miky,2022_Oct_12_2012,BananaMonkey,3.2.3,59.918056077306694,
0,0,0,0,4,0,4,0,,,,,,,,,miky,2022_Oct_12_2012,BananaMonkey,3.2.3,59.918056077306694,
0,0,0,0,5,0,5,0,,,,,,,,,miky,2022_Oct_12_2012,BananaMonkey,3.2.3,59.918056077306694,
0,0,0,0,6,0,6,0,,,,,,,,,miky,2022_Oct_12_2012,BananaMonkey,3.2.3,59.918056077306694,
0,0,0,0,7,0,7,0,,,,,,,,,miky,2022_Oct_12_2012,BananaMonkey,3.2.3,59.918056077306694,
0,0,0,0,8,0,8,0,,,,,,,,,miky,2022_Oct_12_2012,BananaMonkey,3.2.3,59.918056077306694,
0,0,0,0,9,0,9,0,,,,,,,,,miky,2022_Oct_12_2012,BananaMonkey,3.2.3,59.918056077306694,
