trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,Bienvenida.started,Bienvenida.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Adios.started,Adios.stopped,Participant,date,expName,psychopyVersion,frameRate,
,,,,9.237139500037301,None,12.208331500005443,None,space,1.259939800016582,12.208331500005443,None,,,ool,2022_Oct_12_1900,BananaMonkey,3.2.3,59.81208241687824,
0,0,0,0,,,,,,,,,,,ool,2022_Oct_12_1900,BananaMonkey,3.2.3,59.81208241687824,
1,0,1,0,,,,,,,,,,,ool,2022_Oct_12_1900,BananaMonkey,3.2.3,59.81208241687824,
2,0,2,0,,,,,,,,,,,ool,2022_Oct_12_1900,BananaMonkey,3.2.3,59.81208241687824,
3,0,3,0,,,,,,,,,,,ool,2022_Oct_12_1900,BananaMonkey,3.2.3,59.81208241687824,
4,0,4,0,,,,,,,,,,,ool,2022_Oct_12_1900,BananaMonkey,3.2.3,59.81208241687824,
5,0,5,0,,,,,,,,,,,ool,2022_Oct_12_1900,BananaMonkey,3.2.3,59.81208241687824,
6,0,6,0,,,,,,,,,,,ool,2022_Oct_12_1900,BananaMonkey,3.2.3,59.81208241687824,
7,0,7,0,,,,,,,,,,,ool,2022_Oct_12_1900,BananaMonkey,3.2.3,59.81208241687824,
8,0,8,0,,,,,,,,,,,ool,2022_Oct_12_1900,BananaMonkey,3.2.3,59.81208241687824,
9,0,9,0,,,,,,,,,,,ool,2022_Oct_12_1900,BananaMonkey,3.2.3,59.81208241687824,
,,,,,,,,,,,,28.657720000017434,None,,,,,,
