repeat.thisRepN,repeat.thisTrialN,repeat.thisN,repeat.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,Bienvenida.started,Bienvenida.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,feedback_text.started,feedback_text.stopped,text.started,text.stopped,si.keys,si.rt,si.started,si.stopped,no.keys,no.started,no.stopped,Adios.started,Adios.stopped,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,8.403150299971458,None,11.361411899968516,None,space,2.0964738999609835,11.361411899968516,None,,,,,,,,,,,,,,paco,2022_Oct_12_1953,BananaMonkey,3.2.3,59.60434636149291,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,paco,2022_Oct_12_1953,BananaMonkey,3.2.3,59.60434636149291,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,paco,2022_Oct_12_1953,BananaMonkey,3.2.3,59.60434636149291,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,paco,2022_Oct_12_1953,BananaMonkey,3.2.3,59.60434636149291,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,paco,2022_Oct_12_1953,BananaMonkey,3.2.3,59.60434636149291,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,paco,2022_Oct_12_1953,BananaMonkey,3.2.3,59.60434636149291,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,paco,2022_Oct_12_1953,BananaMonkey,3.2.3,59.60434636149291,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,paco,2022_Oct_12_1953,BananaMonkey,3.2.3,59.60434636149291,
0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,paco,2022_Oct_12_1953,BananaMonkey,3.2.3,59.60434636149291,
0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,paco,2022_Oct_12_1953,BananaMonkey,3.2.3,59.60434636149291,
0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,paco,2022_Oct_12_1953,BananaMonkey,3.2.3,59.60434636149291,
0,0,0,0,,,,,,,,,,,,,32.07491609995486,None,37.0713517999975,None,s,3.170076699985657,37.0713517999975,None,None,37.0713517999975,None,,,paco,2022_Oct_12_1953,BananaMonkey,3.2.3,59.60434636149291,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,paco,2022_Oct_12_1953,BananaMonkey,3.2.3,59.60434636149291,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,paco,2022_Oct_12_1953,BananaMonkey,3.2.3,59.60434636149291,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,paco,2022_Oct_12_1953,BananaMonkey,3.2.3,59.60434636149291,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,paco,2022_Oct_12_1953,BananaMonkey,3.2.3,59.60434636149291,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,paco,2022_Oct_12_1953,BananaMonkey,3.2.3,59.60434636149291,
1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,paco,2022_Oct_12_1953,BananaMonkey,3.2.3,59.60434636149291,
1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,paco,2022_Oct_12_1953,BananaMonkey,3.2.3,59.60434636149291,
1,0,1,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,paco,2022_Oct_12_1953,BananaMonkey,3.2.3,59.60434636149291,
1,0,1,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,paco,2022_Oct_12_1953,BananaMonkey,3.2.3,59.60434636149291,
