trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,Bienvenida.started,Bienvenida.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Adios.started,Adios.stopped,Participant,date,expName,psychopyVersion,frameRate,
,,,,8.667409399989992,None,11.628003299992997,None,space,1.300813100009691,11.628003299992997,None,,,poo,2022_Oct_12_1849,BananaMonkey,3.2.3,59.94197617184608,
0,0,0,0,,,,,,,,,,,poo,2022_Oct_12_1849,BananaMonkey,3.2.3,59.94197617184608,
1,0,1,0,,,,,,,,,,,poo,2022_Oct_12_1849,BananaMonkey,3.2.3,59.94197617184608,
2,0,2,0,,,,,,,,,,,poo,2022_Oct_12_1849,BananaMonkey,3.2.3,59.94197617184608,
3,0,3,0,,,,,,,,,,,poo,2022_Oct_12_1849,BananaMonkey,3.2.3,59.94197617184608,
4,0,4,0,,,,,,,,,,,poo,2022_Oct_12_1849,BananaMonkey,3.2.3,59.94197617184608,
5,0,5,0,,,,,,,,,,,poo,2022_Oct_12_1849,BananaMonkey,3.2.3,59.94197617184608,
6,0,6,0,,,,,,,,,,,poo,2022_Oct_12_1849,BananaMonkey,3.2.3,59.94197617184608,
7,0,7,0,,,,,,,,,,,poo,2022_Oct_12_1849,BananaMonkey,3.2.3,59.94197617184608,
8,0,8,0,,,,,,,,,,,poo,2022_Oct_12_1849,BananaMonkey,3.2.3,59.94197617184608,
9,0,9,0,,,,,,,,,,,poo,2022_Oct_12_1849,BananaMonkey,3.2.3,59.94197617184608,
,,,,,,,,,,,,24.257651499996427,None,,,,,,
