repeat.thisRepN,repeat.thisTrialN,repeat.thisN,repeat.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,Bienvenida.started,Bienvenida.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,feedback_text.started,feedback_text.stopped,text.started,text.stopped,si.keys,si.rt,si.started,si.stopped,no.keys,no.started,no.stopped,no.rt,Adios.started,Adios.stopped,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,9.258826299977954,None,12.2208303999505,None,space,0.7067033000057563,12.2208303999505,None,,,,,,,,,,,,,,,poo,2022_Oct_12_1948,BananaMonkey,3.2.3,59.92067701761995,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,poo,2022_Oct_12_1948,BananaMonkey,3.2.3,59.92067701761995,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,poo,2022_Oct_12_1948,BananaMonkey,3.2.3,59.92067701761995,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,poo,2022_Oct_12_1948,BananaMonkey,3.2.3,59.92067701761995,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,poo,2022_Oct_12_1948,BananaMonkey,3.2.3,59.92067701761995,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,poo,2022_Oct_12_1948,BananaMonkey,3.2.3,59.92067701761995,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,poo,2022_Oct_12_1948,BananaMonkey,3.2.3,59.92067701761995,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,poo,2022_Oct_12_1948,BananaMonkey,3.2.3,59.92067701761995,
0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,poo,2022_Oct_12_1948,BananaMonkey,3.2.3,59.92067701761995,
0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,poo,2022_Oct_12_1948,BananaMonkey,3.2.3,59.92067701761995,
0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,poo,2022_Oct_12_1948,BananaMonkey,3.2.3,59.92067701761995,
0,0,0,0,,,,,,,,,,,,,31.558197099948302,None,36.545117200003006,None,s,6.199091700022109,36.545117200003006,None,None,36.545117200003006,None,,,,poo,2022_Oct_12_1948,BananaMonkey,3.2.3,59.92067701761995,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,poo,2022_Oct_12_1948,BananaMonkey,3.2.3,59.92067701761995,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,poo,2022_Oct_12_1948,BananaMonkey,3.2.3,59.92067701761995,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,poo,2022_Oct_12_1948,BananaMonkey,3.2.3,59.92067701761995,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,poo,2022_Oct_12_1948,BananaMonkey,3.2.3,59.92067701761995,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,poo,2022_Oct_12_1948,BananaMonkey,3.2.3,59.92067701761995,
1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,poo,2022_Oct_12_1948,BananaMonkey,3.2.3,59.92067701761995,
