texto,answer,color,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Instrucciones_texto.started,Instrucciones_texto.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,colores1.started,colores1.stopped,respuesta.keys,respuesta.corr,respuesta.rt,respuesta.started,respuesta.stopped,text_intructionses2.started,text_intructionses2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,rectangulo.started,rectangulo.stopped,respuesta_rect.keys,respuesta_rect.corr,respuesta_rect.rt,respuesta_rect.started,respuesta_rect.stopped,text.started,text.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,colores2.started,colores2.stopped,respuesta_mix.keys,respuesta_mix.corr,respuesta_mix.rt,respuesta_mix.started,respuesta_mix.stopped,despedida.started,despedida.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,25.778261200059205,None,space,1.770392200211063,31.735274799866602,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Esterix,001,2023_Mar_09_1934,stroop_task,3.2.3,61.95878993859027,
naranja,n,,0,0,0,12,,,,,,,,,,,,,,,33.63448129990138,None,['n'],0,[1.3200598999392241],33.58597119990736,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Esterix,001,2023_Mar_09_1934,stroop_task,3.2.3,61.95878993859027,
verde,v,,0,1,1,18,,,,,,,,,,,,,,,34.98406659998,None,['v'],0,[0.6884761000983417],34.94621480000205,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Esterix,001,2023_Mar_09_1934,stroop_task,3.2.3,61.95878993859027,
naranja,n,,0,2,2,15,,,,,,,,,,,,,,,35.7004354998935,None,['n'],0,[0.614356700098142],35.651857200078666,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Esterix,001,2023_Mar_09_1934,stroop_task,3.2.3,61.95878993859027,
verde,v,,0,3,3,23,,,,,,,,,,,,,,,36.33373999991454,None,['v'],0,[0.5003243000246584],36.28796950005926,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Esterix,001,2023_Mar_09_1934,stroop_task,3.2.3,61.95878993859027,
azul,a,,0,4,4,6,,,,,,,,,,,,,,,36.86678899987601,None,['a'],0,[0.5900140001904219],36.828163699945435,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Esterix,001,2023_Mar_09_1934,stroop_task,3.2.3,61.95878993859027,
naranja,n,,0,5,5,9,,,,,,,,,,,,,,,37.499266600003466,None,['n'],0,[0.662906700046733],37.451500799972564,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Esterix,001,2023_Mar_09_1934,stroop_task,3.2.3,61.95878993859027,
verde,v,,0,6,6,25,,,,,,,,,,,,,,,38.18330859998241,None,['v'],0,[0.6619291000533849],38.14119750005193,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Esterix,001,2023_Mar_09_1934,stroop_task,3.2.3,61.95878993859027,
azul,a,,0,7,7,0,,,,,,,,,,,,,,,38.88239319995046,None,['a'],0,[0.6942355001810938],38.84372740006074,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Esterix,001,2023_Mar_09_1934,stroop_task,3.2.3,61.95878993859027,
azul,a,,0,8,8,7,,,,,,,,,,,,,,,39.59938409994356,None,['a'],0,[0.6123398998752236],39.56636519986205,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Esterix,001,2023_Mar_09_1934,stroop_task,3.2.3,61.95878993859027,
