texto,answer,color,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Instrucciones_texto.started,Instrucciones_texto.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,colores1.started,colores1.stopped,respuesta.keys,respuesta.corr,respuesta.rt,respuesta.started,respuesta.stopped,text_intructionses2.started,text_intructionses2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,rectangulo.started,rectangulo.stopped,respuesta_rect.keys,respuesta_rect.corr,respuesta_rect.rt,respuesta_rect.started,respuesta_rect.stopped,text.started,text.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,colores2.started,colores2.stopped,respuesta_mix.keys,respuesta_mix.corr,respuesta_mix.rt,respuesta_mix.started,respuesta_mix.stopped,despedida.started,despedida.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,18.024039900000048,None,space,0.15340609999998378,23.965656400000057,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davidson,001,2023_Nov_04_1032,stroop_task,3.2.3,60.60246118715113,
verde,v,,0,0,0,25,,,,,,,,,,,,,,,24.349138400000015,None,['v'],0,[1.1765067000000045],24.302085000000034,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davidson,001,2023_Nov_04_1032,stroop_task,3.2.3,60.60246118715113,
azul,a,,0,1,1,0,,,,,,,,,,,,,,,25.550191900000073,None,['a'],0,[0.6549348999999438],25.50383970000007,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davidson,001,2023_Nov_04_1032,stroop_task,3.2.3,60.60246118715113,
lila,l,,0,2,2,29,,,,,,,,,,,,,,,26.234238600000026,None,['l'],0,[0.6116819999999734],26.189209100000085,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davidson,001,2023_Nov_04_1032,stroop_task,3.2.3,60.60246118715113,
naranja,n,,0,3,3,12,,,,,,,,,,,,,,,26.886396800000057,None,['n'],0,[0.5642275000000154],26.834793999999988,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davidson,001,2023_Nov_04_1032,stroop_task,3.2.3,60.60246118715113,
lila,l,,0,4,4,28,,,,,,,,,,,,,,,27.48568369999998,None,['l'],0,[0.545234399999913],27.437344900000085,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davidson,001,2023_Nov_04_1032,stroop_task,3.2.3,60.60246118715113,
naranja,n,,0,5,5,14,,,,,,,,,,,,,,,28.05427430000009,None,['n'],0,[0.4525808999999299],28.018510600000013,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davidson,001,2023_Nov_04_1032,stroop_task,3.2.3,60.60246118715113,
lila,l,,0,6,6,32,,,,,,,,,,,,,,,28.53677390000007,None,['l'],0,[0.7043440999999575],28.494099900000037,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davidson,001,2023_Nov_04_1032,stroop_task,3.2.3,60.60246118715113,
naranja,n,,0,7,7,15,,,,,,,,,,,,,,,29.287842400000045,None,['n'],0,[0.43609779999997045],29.23565730000007,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davidson,001,2023_Nov_04_1032,stroop_task,3.2.3,60.60246118715113,
lila,l,,0,8,8,30,,,,,,,,,,,,,,,29.754539099999988,None,['l'],0,[0.49554280000006656],29.703513900000075,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davidson,001,2023_Nov_04_1032,stroop_task,3.2.3,60.60246118715113,
verde,v,,0,9,9,20,,,,,,,,,,,,,,,30.273737200000028,None,"['a', 'v']",0,"[0.8945221999999831, 1.0548937999999453]",30.23220660000004,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davidson,001,2023_Nov_04_1032,stroop_task,3.2.3,60.60246118715113,
verde,v,,0,10,10,18,,,,,,,,,,,,,,,31.339376700000003,None,['v'],0,[0.45306090000008226],31.30599810000001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davidson,001,2023_Nov_04_1032,stroop_task,3.2.3,60.60246118715113,
azul,a,,0,11,11,1,,,,,,,,,,,,,,,31.84128720000001,None,['a'],0,[0.5434991999999284],31.79079360000003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davidson,001,2023_Nov_04_1032,stroop_task,3.2.3,60.60246118715113,
lila,l,,0,12,12,34,,,,,,,,,,,,,,,32.42581920000009,None,['l'],0,[0.6596908000000212],32.37232640000002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davidson,001,2023_Nov_04_1032,stroop_task,3.2.3,60.60246118715113,
lila,l,,0,13,13,26,,,,,,,,,,,,,,,33.09254490000001,None,['l'],0,[1.4694882000000007],33.05779000000007,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davidson,001,2023_Nov_04_1032,stroop_task,3.2.3,60.60246118715113,
naranja,n,,0,14,14,10,,,,,,,,,,,,,,,34.592837200000076,None,['n'],0,[0.9245546000000786],34.54604200000006,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davidson,001,2023_Nov_04_1032,stroop_task,3.2.3,60.60246118715113,
lila,l,,0,15,15,27,,,,,,,,,,,,,,,35.545552600000065,None,['l'],0,[0.7097920999999587],35.5046327,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davidson,001,2023_Nov_04_1032,stroop_task,3.2.3,60.60246118715113,
lila,l,,0,16,16,31,,,,,,,,,,,,,,,36.27954890000001,None,['l'],0,[0.48371020000001863],36.244412200000056,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davidson,001,2023_Nov_04_1032,stroop_task,3.2.3,60.60246118715113,
verde,v,,0,17,17,24,,,,,,,,,,,,,,,36.79575030000001,None,['v'],0,[0.9320399999999154],36.75552490000007,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davidson,001,2023_Nov_04_1032,stroop_task,3.2.3,60.60246118715113,
azul,a,,0,18,18,7,,,,,,,,,,,,,,,37.76243790000001,None,['a'],0,[0.572518500000001],37.730158500000016,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davidson,001,2023_Nov_04_1032,stroop_task,3.2.3,60.60246118715113,
verde,v,,0,19,19,17,,,,,,,,,,,,,,,38.37992110000005,None,['v'],0,[0.6695864000000711],38.32969109999999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davidson,001,2023_Nov_04_1032,stroop_task,3.2.3,60.60246118715113,
naranja,n,,0,20,20,16,,,,,,,,,,,,,,,39.063888099999986,None,['n'],0,[0.6929325999999492],39.018301000000065,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davidson,001,2023_Nov_04_1032,stroop_task,3.2.3,60.60246118715113,
lila,l,,0,21,21,33,,,,,,,,,,,,,,,39.78159370000003,None,"['v', 'l']",0,"[0.522114800000054, 0.9873419000000467]",39.73241970000004,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davidson,001,2023_Nov_04_1032,stroop_task,3.2.3,60.60246118715113,
verde,v,,0,22,22,22,,,,,,,,,,,,,,,40.799043900000015,None,['v'],0,[1.3603484999999864],40.75024260000009,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davidson,001,2023_Nov_04_1032,stroop_task,3.2.3,60.60246118715113,
naranja,n,,0,23,23,11,,,,,,,,,,,,,,,42.18359090000001,None,['n'],0,[1.079646499999967],42.13481520000005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davidson,001,2023_Nov_04_1032,stroop_task,3.2.3,60.60246118715113,
naranja,n,,0,24,24,8,,,,,,,,,,,,,,,43.268082700000036,None,['n'],0,[0.378555399999982],43.235962900000004,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davidson,001,2023_Nov_04_1032,stroop_task,3.2.3,60.60246118715113,
azul,a,,0,25,25,5,,,,,,,,,,,,,,,43.686423500000046,None,['a'],0,[0.6163242000000082],43.647465200000056,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davidson,001,2023_Nov_04_1032,stroop_task,3.2.3,60.60246118715113,
azul,a,,0,26,26,3,,,,,,,,,,,,,,,44.32110190000003,None,['a'],0,[0.4659706999999571],44.2858688,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davidson,001,2023_Nov_04_1032,stroop_task,3.2.3,60.60246118715113,
naranja,n,,0,27,27,9,,,,,,,,,,,,,,,44.82006540000009,None,['n'],0,[0.6314500999999382],44.784604400000035,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davidson,001,2023_Nov_04_1032,stroop_task,3.2.3,60.60246118715113,
naranja,n,,0,28,28,13,,,,,,,,,,,,,,,45.470718300000044,None,['n'],0,[0.4823271999999861],45.437021800000025,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davidson,001,2023_Nov_04_1032,stroop_task,3.2.3,60.60246118715113,
azul,a,,0,29,29,6,,,,,,,,,,,,,,,45.98748760000001,None,['a'],0,[0.5418866999999636],45.94466440000008,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davidson,001,2023_Nov_04_1032,stroop_task,3.2.3,60.60246118715113,
verde,v,,0,30,30,23,,,,,,,,,,,,,,,46.572123900000065,None,['v'],0,[0.6133820999999671],46.52116990000002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davidson,001,2023_Nov_04_1032,stroop_task,3.2.3,60.60246118715113,
