texto,answer,color,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Instrucciones_texto.started,Instrucciones_texto.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,colores1.started,colores1.stopped,respuesta.keys,respuesta.corr,respuesta.rt,respuesta.started,respuesta.stopped,text_intructionses2.started,text_intructionses2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,rectangulo.started,rectangulo.stopped,respuesta_rect.keys,respuesta_rect.corr,respuesta_rect.rt,respuesta_rect.started,respuesta_rect.stopped,text.started,text.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,colores2.started,colores2.stopped,respuesta_mix.keys,respuesta_mix.corr,respuesta_mix.rt,respuesta_mix.started,respuesta_mix.stopped,despedida.started,despedida.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,16.60837339994032,None,space,1.6032752000028268,22.55118769989349,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pepito,001,2023_Apr_26_1032,stroop_task,3.2.3,59.85755098860411,
naranja,n,,0,0,0,16,,,,,,,,,,,,,,,24.352702699950896,None,['n'],0,[0.6983169000595808],24.30453719990328,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pepito,001,2023_Apr_26_1032,stroop_task,3.2.3,59.85755098860411,
azul,a,,0,1,1,6,,,,,,,,,,,,,,,25.071471399976872,None,['a'],0,[0.637635099934414],25.028782599954866,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pepito,001,2023_Apr_26_1032,stroop_task,3.2.3,59.85755098860411,
naranja,n,,0,2,2,10,,,,,,,,,,,,,,,25.73932729999069,None,['n'],0,[0.5289264000020921],25.689386899932288,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pepito,001,2023_Apr_26_1032,stroop_task,3.2.3,59.85755098860411,
verde,v,,0,3,3,24,,,,,,,,,,,,,,,26.271422499907203,None,['v'],0,[0.7997350000077859],26.24288619996514,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pepito,001,2023_Apr_26_1032,stroop_task,3.2.3,59.85755098860411,
naranja,n,,0,4,4,15,,,,,,,,,,,,,,,27.121989899897017,None,['n'],0,[0.586384000023827],27.072600499959663,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pepito,001,2023_Apr_26_1032,stroop_task,3.2.3,59.85755098860411,
verde,v,,0,5,5,21,,,,,,,,,,,,,,,27.739350899937563,None,['v'],0,[0.4911912999814376],27.695558399893343,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pepito,001,2023_Apr_26_1032,stroop_task,3.2.3,59.85755098860411,
verde,v,,0,6,6,20,,,,,,,,,,,,,,,28.239932899945416,None,['v'],0,[0.45206260005943477],28.2063856999157,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pepito,001,2023_Apr_26_1032,stroop_task,3.2.3,59.85755098860411,
verde,v,,0,7,7,22,,,,,,,,,,,,,,,28.70712079992518,None,['v'],0,[0.4808853999711573],28.67386809992604,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pepito,001,2023_Apr_26_1032,stroop_task,3.2.3,59.85755098860411,
lila,l,,0,8,8,32,,,,,,,,,,,,,,,29.224377999897115,None,['l'],0,[0.5667391999159008],29.174059799988754,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pepito,001,2023_Apr_26_1032,stroop_task,3.2.3,59.85755098860411,
lila,l,,0,9,9,28,,,,,,,,,,,,,,,29.808570399996825,None,['l'],0,[0.44437709997873753],29.758260599919595,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pepito,001,2023_Apr_26_1032,stroop_task,3.2.3,59.85755098860411,
azul,a,,0,10,10,4,,,,,,,,,,,,,,,30.260534500004724,None,['a'],0,[0.4733823999995366],30.225286899949424,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pepito,001,2023_Apr_26_1032,stroop_task,3.2.3,59.85755098860411,
verde,v,,0,11,11,17,,,,,,,,,,,,,,,30.792471599997953,None,['v'],0,[0.6570221000583842],30.74066919996403,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pepito,001,2023_Apr_26_1032,stroop_task,3.2.3,59.85755098860411,
