texto,answer,color,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Instrucciones_texto.started,Instrucciones_texto.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,colores1.started,colores1.stopped,respuesta.keys,respuesta.corr,respuesta.rt,respuesta.started,respuesta.stopped,text_intructionses2.started,text_intructionses2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,rectangulo.started,rectangulo.stopped,respuesta_rect.keys,respuesta_rect.corr,respuesta_rect.rt,respuesta_rect.started,respuesta_rect.stopped,text.started,text.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,colores2.started,colores2.stopped,respuesta_mix.keys,respuesta_mix.corr,respuesta_mix.rt,respuesta_mix.started,respuesta_mix.stopped,despedida.started,despedida.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,21.19043889999739,None,space,3.9716288999916287,27.135651299991878,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pipo,001,2023_Apr_18_1734,stroop_task,3.2.3,59.91084068452065,
naranja,n,,0,0,0,8,,,,,,,,,,,,,,,31.305792999992264,None,['n'],0,[2.1576426999963587],31.268519000004744,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pipo,001,2023_Apr_18_1734,stroop_task,3.2.3,59.91084068452065,
verde,v,,0,1,1,20,,,,,,,,,,,,,,,33.5078341000044,None,['v'],0,[1.1478096999926493],33.470864499991876,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pipo,001,2023_Apr_18_1734,stroop_task,3.2.3,59.91084068452065,
naranja,n,,0,2,2,13,,,,,,,,,,,,,,,34.7094800999912,None,['n'],0,[0.6626996000122745],34.659612599993125,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pipo,001,2023_Apr_18_1734,stroop_task,3.2.3,59.91084068452065,
naranja,n,,0,3,3,14,,,,,,,,,,,,,,,35.37647200000356,None,['n'],0,[0.6192922000045655],35.34299829999509,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pipo,001,2023_Apr_18_1734,stroop_task,3.2.3,59.91084068452065,
naranja,n,,0,4,4,9,,,,,,,,,,,,,,,36.02726020000409,None,['n'],0,[0.640586199995596],35.99369210000441,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pipo,001,2023_Apr_18_1734,stroop_task,3.2.3,59.91084068452065,
lila,l,,0,5,5,32,,,,,,,,,,,,,,,36.71111819999351,None,['l'],0,[0.7459828999999445],36.66439530000207,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pipo,001,2023_Apr_18_1734,stroop_task,3.2.3,59.91084068452065,
lila,l,,0,6,6,33,,,,,,,,,,,,,,,37.46187299999292,None,['l'],0,[0.5578538999980083],37.428444799996214,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pipo,001,2023_Apr_18_1734,stroop_task,3.2.3,59.91084068452065,
azul,a,,0,7,7,5,,,,,,,,,,,,,,,38.06240729999263,None,['a'],0,[0.726107199996477],38.0123265000002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pipo,001,2023_Apr_18_1734,stroop_task,3.2.3,59.91084068452065,
azul,a,,0,8,8,6,,,,,,,,,,,,,,,38.79659329999413,None,['a'],0,[0.575066200006404],38.76315099999192,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pipo,001,2023_Apr_18_1734,stroop_task,3.2.3,59.91084068452065,
lila,l,,0,9,9,26,,,,,,,,,,,,,,,39.41384009999456,None,['l'],0,[0.7952767999959178],39.36688859999413,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pipo,001,2023_Apr_18_1734,stroop_task,3.2.3,59.91084068452065,
naranja,n,,0,10,10,15,,,,,,,,,,,,,,,40.23130879999371,None,['n'],0,[0.6860079000034602],40.18865179999557,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pipo,001,2023_Apr_18_1734,stroop_task,3.2.3,59.91084068452065,
lila,l,,0,11,11,34,,,,,,,,,,,,,,,40.94931219999853,None,['l'],0,[0.858744500001194],40.91205659999105,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pipo,001,2023_Apr_18_1734,stroop_task,3.2.3,59.91084068452065,
naranja,n,,0,12,12,11,,,,,,,,,,,,,,,41.86673999999766,None,['n'],0,[0.7156627000076696],41.814672299995436,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pipo,001,2023_Apr_18_1734,stroop_task,3.2.3,59.91084068452065,
azul,a,,0,13,13,2,,,,,,,,,,,,,,,42.60037659999216,None,['a'],0,[0.6916595999937272],42.550607500001206,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pipo,001,2023_Apr_18_1734,stroop_task,3.2.3,59.91084068452065,
verde,v,,0,14,14,24,,,,,,,,,,,,,,,43.317768900000374,None,['v'],0,[0.6603602999966824],43.269962399994256,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pipo,001,2023_Apr_18_1734,stroop_task,3.2.3,59.91084068452065,
azul,a,,0,15,15,4,,,,,,,,,,,,,,,44.00176630000351,None,['a'],0,[0.706312300011632],43.95202290000452,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pipo,001,2023_Apr_18_1734,stroop_task,3.2.3,59.91084068452065,
naranja,n,,0,16,16,10,,,,,,,,,,,,,,,44.735863099995186,None,['n'],0,[0.8577006999985315],44.68874139999389,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pipo,001,2023_Apr_18_1734,stroop_task,3.2.3,59.91084068452065,
verde,v,,0,17,17,22,,,,,,,,,,,,,,,45.62008259999857,None,['v'],0,[0.7666508000111207],45.57164300000295,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pipo,001,2023_Apr_18_1734,stroop_task,3.2.3,59.91084068452065,
azul,a,,0,18,18,3,,,,,,,,,,,,,,,46.404310600002646,None,['a'],0,[0.6928052000002936],46.357463699998334,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pipo,001,2023_Apr_18_1734,stroop_task,3.2.3,59.91084068452065,
lila,l,,0,19,19,29,,,,,,,,,,,,,,,47.121503999995184,None,['l'],0,[0.6655622999969637],47.0728020999959,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pipo,001,2023_Apr_18_1734,stroop_task,3.2.3,59.91084068452065,
