texto;color;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;trials_2.thisRepN;trials_2.thisTrialN;trials_2.thisN;trials_2.thisIndex;trials_3.thisRepN;trials_3.thisTrialN;trials_3.thisN;trials_3.thisIndex;Instrucciones_texto.started;Instrucciones_texto.stopped;key_resp.keys;key_resp.rt;key_resp.started;key_resp.stopped;colores1.started;colores1.stopped;respuesta.keys;respuesta.rt;respuesta.started;respuesta.stopped;text_intructionses2.started;text_intructionses2.stopped;key_resp_2.keys;key_resp_2.rt;key_resp_2.started;key_resp_2.stopped;rectangulo.started;rectangulo.stopped;respuesta_rect.keys;respuesta_rect.rt;respuesta_rect.started;respuesta_rect.stopped;text.started;text.stopped;key_resp_3.keys;key_resp_3.rt;key_resp_3.started;key_resp_3.stopped;colores2.started;colores2.stopped;respuesta_mix.keys;respuesta_mix.rt;respuesta_mix.started;respuesta_mix.stopped;despedida.started;despedida.stopped;participant;session;date;expName;psychopyVersion;frameRate
;;;;;;;;;;;;;;13.069.009.500.090.000;None;space;1.807.813.060.004.260;1.903.204.680.001.360;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ester;1;2023_Mar_07_1447;stroop_task;3.2.3;59.334.891.527.801.600
naranja;;0;0;0;11;;;;;;;;;;;;;;;3.724.495.769.990.600;None;n;13.826.194.000.430.400;3.719.938.730.006.100;None;;;;;;;;;;;;;;;;;;;;;;;;;;;Ester;1;2023_Mar_07_1447;stroop_task;3.2.3;59.334.891.527.801.600
azul;;0;1;1;4;;;;;;;;;;;;;;;38.658.961.300.039.600;None;a;0.9709842000156641;38.610.602.600.034.300;None;;;;;;;;;;;;;;;;;;;;;;;;;;;Ester;1;2023_Mar_07_1447;stroop_task;3.2.3;59.334.891.527.801.600
naranja;;0;2;2;15;;;;;;;;;;;;;;;396.583.690.000.698;None;n;0.6913100001402199;3.961.033.560.009.670;None;;;;;;;;;;;;;;;;;;;;;;;;;;;Ester;1;2023_Mar_07_1447;stroop_task;3.2.3;59.334.891.527.801.600
azul;;0;3;3;1;;;;;;;;;;;;;;;403.751.827.001.106;None;a;0.6306793000549078;4.032.718.069.991.090;None;;;;;;;;;;;;;;;;;;;;;;;;;;;Ester;1;2023_Mar_07_1447;stroop_task;3.2.3;59.334.891.527.801.600
naranja;;0;4;4;10;;;;;;;;;;;;;;;41.024.561.899.947;None;n;0.6299107999075204;4.097.675.510.006.950;None;;;;;;;;;;;;;;;;;;;;;;;;;;;Ester;1;2023_Mar_07_1447;stroop_task;3.2.3;59.334.891.527.801.600
verde;;0;5;5;24;;;;;;;;;;;;;;;4.167.418.779.991.560;None;v;0.69895080011338;4.162.690.689.996.810;None;;;;;;;;;;;;;;;;;;;;;;;;;;;Ester;1;2023_Mar_07_1447;stroop_task;3.2.3;59.334.891.527.801.600
azul;;0;6;6;0;;;;;;;;;;;;;;;42.390.737.700.043.200;None;a;0.7360171000473201;42.357.779.199.955.900;None;;;;;;;;;;;;;;;;;;;;;;;;;;;Ester;1;2023_Mar_07_1447;stroop_task;3.2.3;59.334.891.527.801.600
naranja;;0;7;7;16;;;;;;;;;;;;;;;4.317.377.260.001.370;None;n;1.160.011.600.004.500;4.312.556.009.995.750;None;;;;;;;;;;;;;;;;;;;;;;;;;;;Ester;1;2023_Mar_07_1447;stroop_task;3.2.3;59.334.891.527.801.600
azul;;0;8;8;3;;;;;;;;;;;;;;;44.356.980.399.927.100;None;a;0.6812828998081386;44.308.762.799.948.400;None;;;;;;;;;;;;;;;;;;;;;;;;;;;Ester;1;2023_Mar_07_1447;stroop_task;3.2.3;59.334.891.527.801.600
