texto,color,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Instrucciones_texto.started,Instrucciones_texto.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,colores1.started,colores1.stopped,respuesta.keys,respuesta.rt,respuesta.started,respuesta.stopped,text_intructionses2.started,text_intructionses2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,rectangulo.started,rectangulo.stopped,respuesta_rect.keys,respuesta_rect.rt,respuesta_rect.started,respuesta_rect.stopped,text.started,text.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,colores2.started,colores2.stopped,respuesta_mix.keys,respuesta_mix.rt,respuesta_mix.started,respuesta_mix.stopped,despedida.started,despedida.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,11.133614500053227,None,space,3.813977199839428,17.09239390003495,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ddd,001,2023_Mar_08_1447,stroop_task,3.2.3,60.187556532503805,
azul,,0,0,0,1,,,,,,,,,,,,,,,21.007224000059068,None,a,0.8312105999793857,20.969808800145984,None,,,,,,,,,,,,,,,,,,,,,,,,,,,ddd,001,2023_Mar_08_1447,stroop_task,3.2.3,60.187556532503805,
azul,,0,1,1,6,,,,,,,,,,,,,,,21.857040000148118,None,a,0.7730502001941204,21.824236400192603,None,,,,,,,,,,,,,,,,,,,,,,,,,,,ddd,001,2023_Mar_08_1447,stroop_task,3.2.3,60.187556532503805,
verde,,0,2,2,23,,,,,,,,,,,,,,,22.673444100189954,None,v,0.7790836999192834,22.623220900073647,None,,,,,,,,,,,,,,,,,,,,,,,,,,,ddd,001,2023_Mar_08_1447,stroop_task,3.2.3,60.187556532503805,
naranja,,0,3,3,16,,,,,,,,,,,,,,,23.48997039999813,None,n,0.664371799910441,23.437414900166914,None,,,,,,,,,,,,,,,,,,,,,,,,,,,ddd,001,2023_Mar_08_1447,stroop_task,3.2.3,60.187556532503805,
azul,,0,4,4,7,,,,,,,,,,,,,,,24.173140899976715,None,a,0.6353222001343966,24.128228300018236,None,,,,,,,,,,,,,,,,,,,,,,,,,,,ddd,001,2023_Mar_08_1447,stroop_task,3.2.3,60.187556532503805,
naranja,,0,5,5,12,,,,,,,,,,,,,,,24.839688300155103,None,n,0.7570390999317169,24.80225870013237,None,,,,,,,,,,,,,,,,,,,,,,,,,,,ddd,001,2023_Mar_08_1447,stroop_task,3.2.3,60.187556532503805,
azul,,0,6,6,4,,,,,,,,,,,,,,,25.63900800002739,None,a,0.5702670998871326,25.588854500092566,None,,,,,,,,,,,,,,,,,,,,,,,,,,,ddd,001,2023_Mar_08_1447,stroop_task,3.2.3,60.187556532503805,
naranja,,0,7,7,13,,,,,,,,,,,,,,,26.23934750002809,None,n,0.8002905999310315,26.199719900032505,None,,,,,,,,,,,,,,,,,,,,,,,,,,,ddd,001,2023_Mar_08_1447,stroop_task,3.2.3,60.187556532503805,
verde,,0,8,8,20,,,,,,,,,,,,,,,27.055426600156352,None,v,0.6308665000833571,27.021831300109625,None,,,,,,,,,,,,,,,,,,,,,,,,,,,ddd,001,2023_Mar_08_1447,stroop_task,3.2.3,60.187556532503805,
azul,,0,9,9,2,,,,,,,,,,,,,,,27.705008400138468,None,a,0.6015453999862075,27.672123600030318,None,,,,,,,,,,,,,,,,,,,,,,,,,,,ddd,001,2023_Mar_08_1447,stroop_task,3.2.3,60.187556532503805,
naranja,,0,10,10,17,,,,,,,,,,,,,,,28.355044800089672,None,n,0.6663681999780238,28.313893700018525,None,,,,,,,,,,,,,,,,,,,,,,,,,,,ddd,001,2023_Mar_08_1447,stroop_task,3.2.3,60.187556532503805,
