texto,answer,color,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Instrucciones_texto.started,Instrucciones_texto.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,colores1.started,colores1.stopped,respuesta.keys,respuesta.corr,respuesta.rt,respuesta.started,respuesta.stopped,text_intructionses2.started,text_intructionses2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,rectangulo.started,rectangulo.stopped,respuesta_rect.keys,respuesta_rect.corr,respuesta_rect.rt,respuesta_rect.started,respuesta_rect.stopped,text.started,text.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,colores2.started,colores2.stopped,respuesta_mix.keys,respuesta_mix.corr,respuesta_mix.rt,respuesta_mix.started,respuesta_mix.stopped,despedida.started,despedida.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,8.445721399970353,None,space,1.0464214000385255,14.407717199996114,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ddd,001,2023_Mar_08_1742,stroop_task,3.2.3,59.80324726642044,
lila,l,,0,0,0,28,,,,,,,,,,,,,,,15.574265299830586,None,['l'],0,[0.7649027998559177],15.525091199902818,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ddd,001,2023_Mar_08_1742,stroop_task,3.2.3,59.80324726642044,
naranja,n,,0,1,1,9,,,,,,,,,,,,,,,16.373603399842978,None,['n'],0,[1.1431913000997156],16.32488700002432,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ddd,001,2023_Mar_08_1742,stroop_task,3.2.3,59.80324726642044,
azul,a,,0,2,2,5,,,,,,,,,,,,,,,17.53975859982893,None,['a'],0,[0.536809700075537],17.49020709982142,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ddd,001,2023_Mar_08_1742,stroop_task,3.2.3,59.80324726642044,
naranja,n,,0,3,3,16,,,,,,,,,,,,,,,18.08968580001965,None,['n'],0,[0.46113880001939833],18.043425999814644,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ddd,001,2023_Mar_08_1742,stroop_task,3.2.3,59.80324726642044,
verde,v,,0,4,4,19,,,,,,,,,,,,,,,18.572911499999464,None,['v'],0,[0.776808800175786],18.523064199835062,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ddd,001,2023_Mar_08_1742,stroop_task,3.2.3,59.80324726642044,
naranja,n,,0,5,5,12,,,,,,,,,,,,,,,19.373040499864146,None,['n'],0,[0.5561436000280082],19.32238209992647,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ddd,001,2023_Mar_08_1742,stroop_task,3.2.3,59.80324726642044,
azul,a,,0,6,6,4,,,,,,,,,,,,,,,19.93891659984365,None,['a'],0,[0.8070809000637382],19.906108499970287,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ddd,001,2023_Mar_08_1742,stroop_task,3.2.3,59.80324726642044,
azul,a,,0,7,7,2,,,,,,,,,,,,,,,20.77273209998384,None,"['l', 'a']",0,"[0.6560573000460863, 1.1560728000476956]",20.739061699947342,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ddd,001,2023_Mar_08_1742,stroop_task,3.2.3,59.80324726642044,
naranja,n,,0,8,8,15,,,,,,,,,,,,,,,21.971719899913296,None,['n'],0,[0.8614264999050647],21.922035099938512,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ddd,001,2023_Mar_08_1742,stroop_task,3.2.3,59.80324726642044,
