nombrecolores1,colorrectangulo,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,colores1.started,colores1.stopped,respuesta.keys,respuesta.rt,respuesta.started,respuesta.stopped,rectangulo.started,rectangulo.stopped,respuesta_rect.keys,respuesta_rect.rt,respuesta_rect.started,respuesta_rect.stopped,participant,session,date,expName,psychopyVersion,frameRate,
azul,,0,0,0,0,,,,,7.703550199978054,None,a,2.880292800022289,7.703550199978054,None,,,,,,,dds,001,2023_Mar_07_1326,stroop_task,3.2.3,60.063992231064105,
naranja,,0,1,1,11,,,,,10.625472499988973,None,n,1.0388213000260293,10.625472499988973,None,,,,,,,dds,001,2023_Mar_07_1326,stroop_task,3.2.3,60.063992231064105,
verde,,0,2,2,21,,,,,11.703886999981478,None,v,0.6396882999688387,11.703886999981478,None,,,,,,,dds,001,2023_Mar_07_1326,stroop_task,3.2.3,60.063992231064105,
naranja,,0,3,3,13,,,,,12.369730199920014,None,n,1.0776004998479038,12.369730199920014,None,,,,,,,dds,001,2023_Mar_07_1326,stroop_task,3.2.3,60.063992231064105,
naranja,,0,4,4,16,,,,,13.472235399996862,None,n,0.8561253000516444,13.472235399996862,None,,,,,,,dds,001,2023_Mar_07_1326,stroop_task,3.2.3,60.063992231064105,
azul,,0,5,5,8,,,,,14.36028749984689,None,a,0.5674321998376399,14.36028749984689,None,,,,,,,dds,001,2023_Mar_07_1326,stroop_task,3.2.3,60.063992231064105,
azul,,0,6,6,5,,,,,14.952274800045416,None,a,0.7276654001325369,14.952274800045416,None,,,,,,,dds,001,2023_Mar_07_1326,stroop_task,3.2.3,60.063992231064105,
azul,,0,7,7,1,,,,,15.701857300009578,None,a,0.7056267999578267,15.701857300009578,None,,,,,,,dds,001,2023_Mar_07_1326,stroop_task,3.2.3,60.063992231064105,
verde,,0,8,8,23,,,,,16.43848229991272,None,v,1.3208469999954104,16.43848229991272,None,,,,,,,dds,001,2023_Mar_07_1326,stroop_task,3.2.3,60.063992231064105,
verde,,0,9,9,27,,,,,17.78415029984899,None,v,0.8393547001760453,17.78415029984899,None,,,,,,,dds,001,2023_Mar_07_1326,stroop_task,3.2.3,60.063992231064105,
verde,,0,10,10,20,,,,,18.650522799929604,None,v,0.5331180000212044,18.650522799929604,None,,,,,,,dds,001,2023_Mar_07_1326,stroop_task,3.2.3,60.063992231064105,
naranja,,0,11,11,18,,,,,19.20034829992801,None,v,0.5924088000319898,19.20034829992801,None,,,,,,,dds,001,2023_Mar_07_1326,stroop_task,3.2.3,60.063992231064105,
naranja,,0,12,12,10,,,,,19.816798799904063,None,v,0.5346341000404209,19.816798799904063,None,,,,,,,dds,001,2023_Mar_07_1326,stroop_task,3.2.3,60.063992231064105,
azul,,0,13,13,6,,,,,20.3665791999083,None,v,0.6489944998174906,20.3665791999083,None,,,,,,,dds,001,2023_Mar_07_1326,stroop_task,3.2.3,60.063992231064105,
azul,,0,14,14,3,,,,,21.032978700008243,None,v,0.6465052999556065,21.032978700008243,None,,,,,,,dds,001,2023_Mar_07_1326,stroop_task,3.2.3,60.063992231064105,
verde,,0,15,15,19,,,,,21.699424599995837,None,v,0.5959068001247942,21.699424599995837,None,,,,,,,dds,001,2023_Mar_07_1326,stroop_task,3.2.3,60.063992231064105,
azul,,0,16,16,2,,,,,22.3171039998997,None,v,0.522182600107044,22.3171039998997,None,,,,,,,dds,001,2023_Mar_07_1326,stroop_task,3.2.3,60.063992231064105,
naranja,,0,17,17,17,,,,,22.865709299920127,None,v,0.5576726999133825,22.865709299920127,None,,,,,,,dds,001,2023_Mar_07_1326,stroop_task,3.2.3,60.063992231064105,
naranja,,0,18,18,14,,,,,23.448866799939424,None,v,0.558576200157404,23.448866799939424,None,,,,,,,dds,001,2023_Mar_07_1326,stroop_task,3.2.3,60.063992231064105,
naranja,,0,19,19,12,,,,,24.031944599933922,None,v,0.503610499901697,24.031944599933922,None,,,,,,,dds,001,2023_Mar_07_1326,stroop_task,3.2.3,60.063992231064105,
verde,,0,20,20,26,,,,,24.565178300021216,None,v,0.6583084999583662,24.565178300021216,None,,,,,,,dds,001,2023_Mar_07_1326,stroop_task,3.2.3,60.063992231064105,
naranja,,0,21,21,9,,,,,25.248242599889636,None,v,0.567779699806124,25.248242599889636,None,,,,,,,dds,001,2023_Mar_07_1326,stroop_task,3.2.3,60.063992231064105,
verde,,0,22,22,25,,,,,25.836639099987224,None,v,0.5709645999595523,25.836639099987224,None,,,,,,,dds,001,2023_Mar_07_1326,stroop_task,3.2.3,60.063992231064105,
verde,,0,23,23,24,,,,,26.431549199856818,None,v,0.5765742999501526,26.431549199856818,None,,,,,,,dds,001,2023_Mar_07_1326,stroop_task,3.2.3,60.063992231064105,
azul,,0,24,24,7,,,,,27.03449059999548,None,v,0.542040399974212,27.03449059999548,None,,,,,,,dds,001,2023_Mar_07_1326,stroop_task,3.2.3,60.063992231064105,
azul,,0,25,25,4,,,,,27.597734299954027,None,v,0.5703291001264006,27.597734299954027,None,,,,,,,dds,001,2023_Mar_07_1326,stroop_task,3.2.3,60.063992231064105,
verde,,0,26,26,22,,,,,28.2082598998677,None,v,0.5438929998781532,28.2082598998677,None,,,,,,,dds,001,2023_Mar_07_1326,stroop_task,3.2.3,60.063992231064105,
verde,,0,27,27,28,,,,,28.78126459987834,None,v,0.5311871999874711,28.78126459987834,None,,,,,,,dds,001,2023_Mar_07_1326,stroop_task,3.2.3,60.063992231064105,
naranja,,0,28,28,15,,,,,29.343625399982557,None,v,0.528377000009641,29.343625399982557,None,,,,,,,dds,001,2023_Mar_07_1326,stroop_task,3.2.3,60.063992231064105,
,"[1, 0.1, -1]",,,,,0,0,0,14,,,,,,,29.908853400032967,None,n,1.691002600127831,29.908853400032967,None,dds,001,2023_Mar_07_1326,stroop_task,3.2.3,60.063992231064105,
,"[-1, -1, 1]",,,,,0,1,1,1,,,,,,,31.63117880001664,None,a,0.8567675000522286,31.63117880001664,None,dds,001,2023_Mar_07_1326,stroop_task,3.2.3,60.063992231064105,
,"[-1, 0.04, -1]",,,,,0,2,2,26,,,,,,,32.513297099852934,None,v,1.1905435998924077,32.513297099852934,None,dds,001,2023_Mar_07_1326,stroop_task,3.2.3,60.063992231064105,
,"[1, 0.1, -1]",,,,,0,3,3,15,,,,,,,33.72997780004516,None,n,1.9339809000957757,33.72997780004516,None,dds,001,2023_Mar_07_1326,stroop_task,3.2.3,60.063992231064105,
,"[1, 0.1, -1]",,,,,0,4,4,10,,,,,,,35.67892519989982,None,n,0.7614869999233633,35.67892519989982,None,dds,001,2023_Mar_07_1326,stroop_task,3.2.3,60.063992231064105,
,"[-1, 0.04, -1]",,,,,0,5,5,25,,,,,,,36.46266409987584,None,v,0.9291653998661786,36.46266409987584,None,dds,001,2023_Mar_07_1326,stroop_task,3.2.3,60.063992231064105,
,"[-1, 0.04, -1]",,,,,0,6,6,27,,,,,,,37.41183259990066,None,v,0.5006436000112444,37.41183259990066,None,dds,001,2023_Mar_07_1326,stroop_task,3.2.3,60.063992231064105,
,"[-1, -1, 1]",,,,,0,7,7,3,,,,,,,37.92848160001449,None,a,0.47119510010816157,37.92848160001449,None,dds,001,2023_Mar_07_1326,stroop_task,3.2.3,60.063992231064105,
,"[-1, 0.04, -1]",,,,,0,8,8,28,,,,,,,38.42806279985234,None,v,0.5322355001699179,38.42806279985234,None,dds,001,2023_Mar_07_1326,stroop_task,3.2.3,60.063992231064105,
,"[-1, 0.04, -1]",,,,,0,9,9,19,,,,,,,38.97780649992637,None,v,0.47831970010884106,38.97780649992637,None,dds,001,2023_Mar_07_1326,stroop_task,3.2.3,60.063992231064105,
,"[-1, -1, 1]",,,,,0,10,10,2,,,,,,,39.47764609986916,None,a,1.010118800215423,39.47764609986916,None,dds,001,2023_Mar_07_1326,stroop_task,3.2.3,60.063992231064105,
,"[1, 0.1, -1]",,,,,0,11,11,17,,,,,,,40.51085629989393,None,n,0.7529189998749644,40.51085629989393,None,dds,001,2023_Mar_07_1326,stroop_task,3.2.3,60.063992231064105,
,"[-1, -1, 1]",,,,,0,12,12,5,,,,,,,41.29410000005737,None,a,0.842135300161317,41.29410000005737,None,dds,001,2023_Mar_07_1326,stroop_task,3.2.3,60.063992231064105,
,"[1, 0.1, -1]",,,,,0,13,13,9,,,,,,,42.160846299957484,None,v,0.5756903998553753,42.160846299957484,None,dds,001,2023_Mar_07_1326,stroop_task,3.2.3,60.063992231064105,
,"[-1, -1, 1]",,,,,0,14,14,0,,,,,,,42.7604735000059,None,a,0.959690900053829,42.7604735000059,None,dds,001,2023_Mar_07_1326,stroop_task,3.2.3,60.063992231064105,
,"[1, 0.1, -1]",,,,,0,15,15,18,,,,,,,43.7429215000011,None,n,1.2891665999777615,43.7429215000011,None,dds,001,2023_Mar_07_1326,stroop_task,3.2.3,60.063992231064105,
,"[-1, -1, 1]",,,,,0,16,16,6,,,,,,,45.059120799880475,None,a,1.1650310999248177,45.059120799880475,None,dds,001,2023_Mar_07_1326,stroop_task,3.2.3,60.063992231064105,
,"[-1, 0.04, -1]",,,,,0,17,17,22,,,,,,,46.2425990998745,None,v,0.5973642999306321,46.2425990998745,None,dds,001,2023_Mar_07_1326,stroop_task,3.2.3,60.063992231064105,
,"[1, 0.1, -1]",,,,,0,18,18,11,,,,,,,46.85853139986284,None,n,0.749490899965167,46.85853139986284,None,dds,001,2023_Mar_07_1326,stroop_task,3.2.3,60.063992231064105,
,"[-1, -1, 1]",,,,,0,19,19,7,,,,,,,47.62490829988383,None,a,0.8953068000264466,47.62490829988383,None,dds,001,2023_Mar_07_1326,stroop_task,3.2.3,60.063992231064105,
,"[-1, 0.04, -1]",,,,,0,20,20,23,,,,,,,48.54084290005267,None,v,0.7238608000334352,48.54084290005267,None,dds,001,2023_Mar_07_1326,stroop_task,3.2.3,60.063992231064105,
,"[-1, 0.04, -1]",,,,,0,21,21,20,,,,,,,49.291426199954,None,v,0.7814714000560343,49.291426199954,None,dds,001,2023_Mar_07_1326,stroop_task,3.2.3,60.063992231064105,
,"[-1, 0.04, -1]",,,,,0,22,22,21,,,,,,,50.09083899995312,None,v,0.6535132999997586,50.09083899995312,None,dds,001,2023_Mar_07_1326,stroop_task,3.2.3,60.063992231064105,
,"[1, 0.1, -1]",,,,,0,23,23,12,,,,,,,50.7739142999053,None,n,0.9382694999221712,50.7739142999053,None,dds,001,2023_Mar_07_1326,stroop_task,3.2.3,60.063992231064105,
,"[-1, 0.04, -1]",,,,,0,24,24,24,,,,,,,51.74039289983921,None,v,0.5313359000720084,51.74039289983921,None,dds,001,2023_Mar_07_1326,stroop_task,3.2.3,60.063992231064105,
,"[-1, -1, 1]",,,,,0,25,25,4,,,,,,,52.28990469989367,None,a,0.4543217997997999,52.28990469989367,None,dds,001,2023_Mar_07_1326,stroop_task,3.2.3,60.063992231064105,
,"[1, 0.1, -1]",,,,,0,26,26,16,,,,,,,52.77324129990302,None,n,0.7952461000531912,52.77324129990302,None,dds,001,2023_Mar_07_1326,stroop_task,3.2.3,60.063992231064105,
,"[-1, -1, 1]",,,,,0,27,27,8,,,,,,,53.589917900040746,None,a,1.4337059000972658,53.589917900040746,None,dds,001,2023_Mar_07_1326,stroop_task,3.2.3,60.063992231064105,
,"[1, 0.1, -1]",,,,,0,28,28,13,,,,,,,55.03895889990963,None,n,1.1851693999487907,55.03895889990963,None,dds,001,2023_Mar_07_1326,stroop_task,3.2.3,60.063992231064105,
