5.6527 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
6.8892 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000122E3F87C50>, gamma=None, gammaErrorPolicy='raise', kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000122E4059E80>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
6.8893 	EXP 	window1: recordFrameIntervals = False
7.0546 	EXP 	window1: recordFrameIntervals = True
7.2390 	EXP 	window1: recordFrameIntervals = False
7.6275 	EXP 	Created colores1 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='colores1', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([0., 0., 0.]), text='default text', units='height', win=Window(...), wrapWidth=1)
7.6299 	EXP 	Created rectangulo = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=0.0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', fillRGB=array([1., 1., 1.]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1., 1., 1.]), lineWidth=1, name='rectangulo', opacity=1.0, ori=array(0.), pos=array([0., 0.]), size=array([1., 1.]), units='height', vertices=ndarray(...), win=Window(...))
7.6583 	EXP 	Imported colores_negro.xlsx as conditions, 29 conditions, 1 params
7.6586 	EXP 	Created sequence: random, trialTypes=29, nReps=1, seed=None
7.6588 	EXP 	New trial (rep=0, index=0): OrderedDict([('nombrecolores1', 'azul')])
7.7036 	EXP 	colores1: text = 'azul'
7.7036 	EXP 	colores1: autoDraw = True
10.5944 	EXP 	New trial (rep=0, index=1): OrderedDict([('nombrecolores1', 'naranja')])
10.6227 	DATA 	Keypress: a
10.6255 	EXP 	colores1: autoDraw = False
10.6255 	EXP 	colores1: text = 'naranja'
10.6255 	EXP 	colores1: autoDraw = True
11.6767 	EXP 	New trial (rep=0, index=2): OrderedDict([('nombrecolores1', 'verde')])
11.7011 	DATA 	Keypress: n
11.7039 	EXP 	colores1: autoDraw = False
11.7039 	EXP 	colores1: text = 'verde'
11.7039 	EXP 	colores1: autoDraw = True
12.3575 	EXP 	New trial (rep=0, index=3): OrderedDict([('nombrecolores1', 'naranja')])
12.3660 	DATA 	Keypress: v
12.3697 	EXP 	colores1: autoDraw = False
12.3697 	EXP 	colores1: text = 'naranja'
12.3697 	EXP 	colores1: autoDraw = True
13.4662 	EXP 	New trial (rep=0, index=4): OrderedDict([('nombrecolores1', 'naranja')])
13.4695 	DATA 	Keypress: n
13.4722 	EXP 	colores1: autoDraw = False
13.4722 	EXP 	colores1: text = 'naranja'
13.4722 	EXP 	colores1: autoDraw = True
14.3426 	EXP 	New trial (rep=0, index=5): OrderedDict([('nombrecolores1', 'azul')])
14.3575 	DATA 	Keypress: n
14.3603 	EXP 	colores1: autoDraw = False
14.3603 	EXP 	colores1: text = 'azul'
14.3603 	EXP 	colores1: autoDraw = True
14.9400 	EXP 	New trial (rep=0, index=6): OrderedDict([('nombrecolores1', 'azul')])
14.9437 	DATA 	Keypress: a
14.9523 	EXP 	colores1: autoDraw = False
14.9523 	EXP 	colores1: text = 'azul'
14.9523 	EXP 	colores1: autoDraw = True
15.6913 	EXP 	New trial (rep=0, index=7): OrderedDict([('nombrecolores1', 'azul')])
15.6956 	DATA 	Keypress: a
15.7019 	EXP 	colores1: autoDraw = False
15.7019 	EXP 	colores1: text = 'azul'
15.7019 	EXP 	colores1: autoDraw = True
16.4228 	EXP 	New trial (rep=0, index=8): OrderedDict([('nombrecolores1', 'verde')])
16.4357 	DATA 	Keypress: a
16.4385 	EXP 	colores1: autoDraw = False
16.4385 	EXP 	colores1: text = 'verde'
16.4385 	EXP 	colores1: autoDraw = True
17.1228 	DATA 	Keypress: v
17.7721 	EXP 	New trial (rep=0, index=9): OrderedDict([('nombrecolores1', 'verde')])
17.7742 	DATA 	Keypress: v
17.7842 	EXP 	colores1: autoDraw = False
17.7842 	EXP 	colores1: text = 'verde'
17.7842 	EXP 	colores1: autoDraw = True
18.6382 	EXP 	New trial (rep=0, index=10): OrderedDict([('nombrecolores1', 'verde')])
18.6401 	DATA 	Keypress: v
18.6505 	EXP 	colores1: autoDraw = False
18.6505 	EXP 	colores1: text = 'verde'
18.6505 	EXP 	colores1: autoDraw = True
19.1881 	EXP 	New trial (rep=0, index=11): OrderedDict([('nombrecolores1', 'naranja')])
19.1960 	DATA 	Keypress: v
19.2003 	EXP 	colores1: autoDraw = False
19.2003 	EXP 	colores1: text = 'naranja'
19.2003 	EXP 	colores1: autoDraw = True
19.8050 	EXP 	New trial (rep=0, index=12): OrderedDict([('nombrecolores1', 'naranja')])
19.8077 	DATA 	Keypress: v
19.8168 	EXP 	colores1: autoDraw = False
19.8168 	EXP 	colores1: text = 'naranja'
19.8168 	EXP 	colores1: autoDraw = True
20.3541 	EXP 	New trial (rep=0, index=13): OrderedDict([('nombrecolores1', 'azul')])
20.3596 	DATA 	Keypress: v
20.3666 	EXP 	colores1: autoDraw = False
