texto,color,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Instrucciones_texto.started,Instrucciones_texto.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,colores1.started,colores1.stopped,respuesta.keys,respuesta.rt,respuesta.started,respuesta.stopped,text_intructionses2.started,text_intructionses2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,rectangulo.started,rectangulo.stopped,respuesta_rect.keys,respuesta_rect.rt,respuesta_rect.started,respuesta_rect.stopped,text.started,text.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,colores2.started,colores2.stopped,respuesta_mix.keys,respuesta_mix.rt,respuesta_mix.started,respuesta_mix.stopped,despedida.started,despedida.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,12.974891499849036,None,space,0.5701213001739234,18.938735799863935,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dsb,001,2023_Mar_08_1520,stroop_task,3.2.3,59.96217585068236,
verde,,0,0,0,19,,,,,,,,,,,,,,,19.621699299896136,None,v,1.4759508001152426,19.571597599890083,None,,,,,,,,,,,,,,,,,,,,,,,,,,,dsb,001,2023_Mar_08_1520,stroop_task,3.2.3,59.96217585068236,
verde,,0,1,1,20,,,,,,,,,,,,,,,21.12096289987676,None,v,0.48911099997349083,21.070722199976444,None,,,,,,,,,,,,,,,,,,,,,,,,,,,dsb,001,2023_Mar_08_1520,stroop_task,3.2.3,59.96217585068236,
naranja,,0,2,2,9,,,,,,,,,,,,,,,21.63707279996015,None,n,0.4568441999144852,21.593098500045016,None,,,,,,,,,,,,,,,,,,,,,,,,,,,dsb,001,2023_Mar_08_1520,stroop_task,3.2.3,59.96217585068236,
azul,,0,3,3,8,,,,,,,,,,,,,,,22.11986540001817,None,a,0.5955479999538511,22.076483000069857,None,,,,,,,,,,,,,,,,,,,,,,,,,,,dsb,001,2023_Mar_08_1520,stroop_task,3.2.3,59.96217585068236,
naranja,,0,4,4,15,,,,,,,,,,,,,,,22.75313839991577,None,n,0.5955366000998765,22.714790399884805,None,,,,,,,,,,,,,,,,,,,,,,,,,,,dsb,001,2023_Mar_08_1520,stroop_task,3.2.3,59.96217585068236,
verde,,0,5,5,22,,,,,,,,,,,,,,,23.386830099858344,None,v,0.46685350011102855,23.34515569987707,None,,,,,,,,,,,,,,,,,,,,,,,,,,,dsb,001,2023_Mar_08_1520,stroop_task,3.2.3,59.96217585068236,
naranja,,0,6,6,16,,,,,,,,,,,,,,,23.8864885000512,None,n,0.6103386001195759,23.836526799947023,None,,,,,,,,,,,,,,,,,,,,,,,,,,,dsb,001,2023_Mar_08_1520,stroop_task,3.2.3,59.96217585068236,
naranja,,0,7,7,14,,,,,,,,,,,,,,,24.50294589996338,None,n,0.6398239000700414,24.469589199870825,None,,,,,,,,,,,,,,,,,,,,,,,,,,,dsb,001,2023_Mar_08_1520,stroop_task,3.2.3,59.96217585068236,
verde,,0,8,8,25,,,,,,,,,,,,,,,25.185582400066778,None,v,4.912382900016382,25.14350140001625,None,,,,,,,,,,,,,,,,,,,,,,,,,,,dsb,001,2023_Mar_08_1520,stroop_task,3.2.3,59.96217585068236,
verde,,0,9,9,26,,,,,,,,,,,,,,,30.11735840002075,None,v,0.4849853999912739,30.083976299967617,None,,,,,,,,,,,,,,,,,,,,,,,,,,,dsb,001,2023_Mar_08_1520,stroop_task,3.2.3,59.96217585068236,
azul,,0,10,10,3,,,,,,,,,,,,,,,30.63407379994169,None,a,0.5883649000898004,30.592013499932364,None,,,,,,,,,,,,,,,,,,,,,,,,,,,dsb,001,2023_Mar_08_1520,stroop_task,3.2.3,59.96217585068236,
azul,,0,11,11,0,,,,,,,,,,,,,,,31.234292400069535,None,a,0.5346785001456738,31.20101339998655,None,,,,,,,,,,,,,,,,,,,,,,,,,,,dsb,001,2023_Mar_08_1520,stroop_task,3.2.3,59.96217585068236,
azul,,0,12,12,1,,,,,,,,,,,,,,,31.80075960000977,None,a,0.8056155999656767,31.76693469984457,None,,,,,,,,,,,,,,,,,,,,,,,,,,,dsb,001,2023_Mar_08_1520,stroop_task,3.2.3,59.96217585068236,
naranja,,0,13,13,10,,,,,,,,,,,,,,,32.650175999850035,None,n,0.5313190999440849,32.613146799849346,None,,,,,,,,,,,,,,,,,,,,,,,,,,,dsb,001,2023_Mar_08_1520,stroop_task,3.2.3,59.96217585068236,
naranja,,0,14,14,17,,,,,,,,,,,,,,,33.199608199996874,None,n,0.6757934000343084,33.1666556999553,None,,,,,,,,,,,,,,,,,,,,,,,,,,,dsb,001,2023_Mar_08_1520,stroop_task,3.2.3,59.96217585068236,
verde,,0,15,15,21,,,,,,,,,,,,,,,33.91640429990366,None,v,0.5272947000339627,33.87573440000415,None,,,,,,,,,,,,,,,,,,,,,,,,,,,dsb,001,2023_Mar_08_1520,stroop_task,3.2.3,59.96217585068236,
naranja,,0,16,16,18,,,,,,,,,,,,,,,34.48278179997578,None,n,0.6638090999331325,34.438709300011396,None,,,,,,,,,,,,,,,,,,,,,,,,,,,dsb,001,2023_Mar_08_1520,stroop_task,3.2.3,59.96217585068236,
naranja,,0,17,17,13,,,,,,,,,,,,,,,35.16644539986737,None,n,0.4720544000156224,35.13307089987211,None,,,,,,,,,,,,,,,,,,,,,,,,,,,dsb,001,2023_Mar_08_1520,stroop_task,3.2.3,59.96217585068236,
verde,,0,18,18,24,,,,,,,,,,,,,,,35.682567399926484,None,v,0.6612078999169171,35.63232029997744,None,,,,,,,,,,,,,,,,,,,,,,,,,,,dsb,001,2023_Mar_08_1520,stroop_task,3.2.3,59.96217585068236,
azul,,0,19,19,7,,,,,,,,,,,,,,,36.365123899886385,None,a,1.2462398000061512,36.32315679988824,None,,,,,,,,,,,,,,,,,,,,,,,,,,,dsb,001,2023_Mar_08_1520,stroop_task,3.2.3,59.96217585068236,
verde,,0,20,20,28,,,,,,,,,,,,,,,37.64852329995483,None,v,0.9091602000407875,37.60650680004619,None,,,,,,,,,,,,,,,,,,,,,,,,,,,dsb,001,2023_Mar_08_1520,stroop_task,3.2.3,59.96217585068236,
azul,,0,21,21,5,,,,,,,,,,,,,,,38.58165879989974,None,a,0.5712274999823421,38.53251160006039,None,,,,,,,,,,,,,,,,,,,,,,,,,,,dsb,001,2023_Mar_08_1520,stroop_task,3.2.3,59.96217585068236,
azul,,0,22,22,4,,,,,,,,,,,,,,,39.16444860002957,None,a,0.5101876999251544,39.13126019993797,None,,,,,,,,,,,,,,,,,,,,,,,,,,,dsb,001,2023_Mar_08_1520,stroop_task,3.2.3,59.96217585068236,
naranja,,0,23,23,11,,,,,,,,,,,,,,,39.7144214999862,None,n,0.5504703999031335,39.66946280002594,None,,,,,,,,,,,,,,,,,,,,,,,,,,,dsb,001,2023_Mar_08_1520,stroop_task,3.2.3,59.96217585068236,
verde,,0,24,24,23,,,,,,,,,,,,,,,40.29714739997871,None,v,0.5822962000966072,40.25659239990637,None,,,,,,,,,,,,,,,,,,,,,,,,,,,dsb,001,2023_Mar_08_1520,stroop_task,3.2.3,59.96217585068236,
azul,,0,25,25,6,,,,,,,,,,,,,,,40.89693799987435,None,a,1.1416623999830335,40.86393629992381,None,,,,,,,,,,,,,,,,,,,,,,,,,,,dsb,001,2023_Mar_08_1520,stroop_task,3.2.3,59.96217585068236,
azul,,0,26,26,2,,,,,,,,,,,,,,,42.06354280002415,None,a,0.4334798001218587,42.03034930001013,None,,,,,,,,,,,,,,,,,,,,,,,,,,,dsb,001,2023_Mar_08_1520,stroop_task,3.2.3,59.96217585068236,
naranja,,0,27,27,12,,,,,,,,,,,,,,,42.52982779988088,None,n,0.49399160011671484,42.4895969000645,None,,,,,,,,,,,,,,,,,,,,,,,,,,,dsb,001,2023_Mar_08_1520,stroop_task,3.2.3,59.96217585068236,
