texto,answer,color,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Instrucciones_texto.started,Instrucciones_texto.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,colores1.started,colores1.stopped,respuesta.keys,respuesta.corr,respuesta.rt,respuesta.started,respuesta.stopped,text_intructionses2.started,text_intructionses2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,rectangulo.started,rectangulo.stopped,respuesta_rect.keys,respuesta_rect.corr,respuesta_rect.rt,respuesta_rect.started,respuesta_rect.stopped,text.started,text.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,colores2.started,colores2.stopped,respuesta_mix.keys,respuesta_mix.corr,respuesta_mix.rt,respuesta_mix.started,respuesta_mix.stopped,despedida.started,despedida.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,10.097182599827647,None,space,0.3895287001505494,16.05714129982516,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eba,001,2023_Mar_08_1745,stroop_task,3.2.3,60.234577501632266,
azul,a,,0,0,0,2,,,,,,,,,,,,,,,16.555972900008783,None,['a'],0,[0.6773459000978619],16.520286899991333,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eba,001,2023_Mar_08_1745,stroop_task,3.2.3,60.234577501632266,
verde,v,,0,1,1,24,,,,,,,,,,,,,,,17.272738500032574,None,"['n', 'v']",0,"[0.5548500001896173, 0.8414498001802713]",17.23496209993027,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eba,001,2023_Mar_08_1745,stroop_task,3.2.3,60.234577501632266,
naranja,n,,0,2,2,15,,,,,,,,,,,,,,,18.172084899852052,None,['n'],0,[0.4777985999826342],18.119793699821457,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eba,001,2023_Mar_08_1745,stroop_task,3.2.3,60.234577501632266,
verde,v,,0,3,3,17,,,,,,,,,,,,,,,18.655365099897608,None,['v'],0,[0.39855489996261895],18.62248789984733,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eba,001,2023_Mar_08_1745,stroop_task,3.2.3,60.234577501632266,
lila,l,,0,4,4,31,,,,,,,,,,,,,,,19.08887519990094,None,['l'],0,[0.4925286998040974],19.038922499865294,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eba,001,2023_Mar_08_1745,stroop_task,3.2.3,60.234577501632266,
naranja,n,,0,5,5,8,,,,,,,,,,,,,,,19.60482049989514,None,['n'],0,[0.5723290999885648],19.564527299953625,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eba,001,2023_Mar_08_1745,stroop_task,3.2.3,60.234577501632266,
lila,l,,0,6,6,30,,,,,,,,,,,,,,,20.205226899823174,None,['l'],0,[0.8177868998609483],20.157432599924505,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eba,001,2023_Mar_08_1745,stroop_task,3.2.3,60.234577501632266,
verde,v,,0,7,7,23,,,,,,,,,,,,,,,21.03759119985625,None,['v'],0,[0.6225845001172274],21.004903999855742,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eba,001,2023_Mar_08_1745,stroop_task,3.2.3,60.234577501632266,
lila,l,,0,8,8,26,,,,,,,,,,,,,,,21.70426349993795,None,['l'],0,[0.4910309000406414],21.654093999881297,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eba,001,2023_Mar_08_1745,stroop_task,3.2.3,60.234577501632266,
