texto,answer,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instrucciones_texto.started,Instrucciones_texto.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,colores1.started,colores1.stopped,respuesta.keys,respuesta.corr,respuesta.rt,respuesta.started,respuesta.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,8.865300699835643,None,space,0.5269327000714839,14.831072099972516,None,,,,,,,,kiki,001,2023_Mar_08_1600,stroop_task,3.2.3,60.173250826038974,
azul,a,0,0,0,4,,,,,,,15.479823499917984,None,"['n', 'n', 'a']",0,"[0.9950138998683542, 1.7722131998743862, 2.0350126998964697]",15.428596599958837,None,kiki,001,2023_Mar_08_1600,stroop_task,3.2.3,60.173250826038974,
naranja,n,0,1,1,10,,,,,,,17.545840099919587,None,"['a', 'n']",0,"[1.1364523000083864, 1.6561684999614954]",17.501887199934572,None,kiki,001,2023_Mar_08_1600,stroop_task,3.2.3,60.173250826038974,
verde,v,0,2,2,19,,,,,,,19.228343199938536,None,['v'],0,[1.100938499905169],19.181748299859464,None,kiki,001,2023_Mar_08_1600,stroop_task,3.2.3,60.173250826038974,
naranja,n,0,3,3,13,,,,,,,20.361385099822655,None,"['a', 'v', 'n']",0,"[1.020320399897173, 1.9408348998986185, 2.5427709999494255]",20.323076599976048,None,kiki,001,2023_Mar_08_1600,stroop_task,3.2.3,60.173250826038974,
naranja,n,0,4,4,11,,,,,,,22.927536399802193,None,['n'],0,[0.5235013000201434],22.893960499903187,None,kiki,001,2023_Mar_08_1600,stroop_task,3.2.3,60.173250826038974,
verde,v,0,5,5,28,,,,,,,23.49350219988264,None,['v'],0,[0.8685437999665737],23.443225299939513,None,kiki,001,2023_Mar_08_1600,stroop_task,3.2.3,60.173250826038974,
naranja,n,0,6,6,14,,,,,,,24.392723799915984,None,['n'],0,[0.7351605999283493],24.3543988999445,None,kiki,001,2023_Mar_08_1600,stroop_task,3.2.3,60.173250826038974,
azul,a,0,7,7,7,,,,,,,25.159482799936086,None,['a'],0,[0.6540737000759691],25.115994399879128,None,kiki,001,2023_Mar_08_1600,stroop_task,3.2.3,60.173250826038974,
naranja,n,0,8,8,18,,,,,,,25.84293289994821,None,['n'],0,[0.7266184999607503],25.802988699870184,None,kiki,001,2023_Mar_08_1600,stroop_task,3.2.3,60.173250826038974,
