texto;color;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;trials_2.thisRepN;trials_2.thisTrialN;trials_2.thisN;trials_2.thisIndex;trials_3.thisRepN;trials_3.thisTrialN;trials_3.thisN;trials_3.thisIndex;colores1.started;colores1.stopped;respuesta.keys;respuesta.rt;respuesta.started;respuesta.stopped;rectangulo.started;rectangulo.stopped;respuesta_rect.keys;respuesta_rect.rt;respuesta_rect.started;respuesta_rect.stopped;colores2.started;colores2.stopped;respuesta_mix.keys;respuesta_mix.rt;respuesta_mix.started;respuesta_mix.stopped;participant;session;date;expName;psychopyVersion;frameRate
verde;;0;0;0;28;;;;;;;;;7.756.602.599.984.030;None;v;15.240.285.000.763.800;7.756.602.599.984.030;None;;;;;;;;;;;;;kkk;1;2023_Mar_07_1335;stroop_task;3.2.3;5.991.931.269.483.130
naranja;;0;1;1;18;;;;;;;;;9.320.934.999.966.990;None;v;0.4634564998559654;9.320.934.999.966.990;None;;;;;;;;;;;;;kkk;1;2023_Mar_07_1335;stroop_task;3.2.3;5.991.931.269.483.130
azul;;0;2;2;7;;;;;;;;;980.177.260.003.984;None;v;0.5670283001381904;980.177.260.003.984;None;;;;;;;;;;;;;kkk;1;2023_Mar_07_1335;stroop_task;3.2.3;5.991.931.269.483.130
naranja;;0;3;3;10;;;;;;;;;10.389.920.999.994.500;None;v;0.5227072001434863;10.389.920.999.994.500;None;;;;;;;;;;;;;kkk;1;2023_Mar_07_1335;stroop_task;3.2.3;5.991.931.269.483.130
naranja;;0;4;4;16;;;;;;;;;10.935.184.000.059.900;None;v;0.5458543000277132;10.935.184.000.059.900;None;;;;;;;;;;;;;kkk;1;2023_Mar_07_1335;stroop_task;3.2.3;5.991.931.269.483.130
azul;;0;5;5;0;;;;;;;;;11.507.464.700.145.600;None;v;0.5103915999643505;11.507.464.700.145.600;None;;;;;;;;;;;;;kkk;1;2023_Mar_07_1335;stroop_task;3.2.3;5.991.931.269.483.130
verde;;0;6;6;25;;;;;;;;;12.046.079.599.997.000;None;v;0.4908212998416275;12.046.079.599.997.000;None;;;;;;;;;;;;;kkk;1;2023_Mar_07_1335;stroop_task;3.2.3;5.991.931.269.483.130
naranja;;0;7;7;14;;;;;;;;;1.257.948.109.996.500;None;v;0.3899578000418842;1.257.948.109.996.500;None;;;;;;;;;;;;;kkk;1;2023_Mar_07_1335;stroop_task;3.2.3;5.991.931.269.483.130
naranja;;0;8;8;12;;;;;;;;;13.001.294.099.958.600;None;v;0.519186699995771;13.001.294.099.958.600;None;;;;;;;;;;;;;kkk;1;2023_Mar_07_1335;stroop_task;3.2.3;5.991.931.269.483.130
verde;;0;9;9;26;;;;;;;;;13.558.059.100.061.600;None;v;0.38668070011772215;13.558.059.100.061.600;None;;;;;;;;;;;;;kkk;1;2023_Mar_07_1335;stroop_task;3.2.3;5.991.931.269.483.130
