5.7154 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
6.9887 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000022E01093F28>, gamma=None, gammaErrorPolicy='raise', kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000022E0213C198>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
6.9888 	EXP 	window1: recordFrameIntervals = False
7.1528 	EXP 	window1: recordFrameIntervals = True
7.3370 	EXP 	window1: recordFrameIntervals = False
7.6761 	EXP 	Created colores1 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='colores1', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([0., 0., 0.]), text='default text', units='height', win=Window(...), wrapWidth=1)
7.6786 	EXP 	Created rectangulo = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=0.0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', fillRGB=array([1., 1., 1.]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1., 1., 1.]), lineWidth=1, name='rectangulo', opacity=1.0, ori=array(0.), pos=array([0., 0.]), size=array([1., 1.]), units='height', vertices=ndarray(...), win=Window(...))
7.6825 	EXP 	Created colores2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='colores2', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='default text', units='height', win=Window(...), wrapWidth=1)
7.7112 	EXP 	Imported colores1_negro.xlsx as conditions, 29 conditions, 1 params
7.7115 	EXP 	Created sequence: random, trialTypes=29, nReps=1, seed=None
7.7118 	EXP 	New trial (rep=0, index=0): OrderedDict([('texto', 'verde')])
7.7566 	EXP 	colores1: text = 'verde'
7.7566 	EXP 	colores1: autoDraw = True
9.2924 	EXP 	New trial (rep=0, index=1): OrderedDict([('texto', 'naranja')])
9.3183 	DATA 	Keypress: v
9.3209 	EXP 	colores1: autoDraw = False
9.3209 	EXP 	colores1: text = 'naranja'
9.3209 	EXP 	colores1: autoDraw = True
9.7895 	EXP 	New trial (rep=0, index=2): OrderedDict([('texto', 'azul')])
9.7985 	DATA 	Keypress: v
9.8018 	EXP 	colores1: autoDraw = False
9.8018 	EXP 	colores1: text = 'azul'
9.8018 	EXP 	colores1: autoDraw = True
10.3745 	EXP 	New trial (rep=0, index=3): OrderedDict([('texto', 'naranja')])
10.3872 	DATA 	Keypress: v
10.3899 	EXP 	colores1: autoDraw = False
10.3899 	EXP 	colores1: text = 'naranja'
10.3899 	EXP 	colores1: autoDraw = True
10.9240 	EXP 	New trial (rep=0, index=4): OrderedDict([('texto', 'naranja')])
10.9270 	DATA 	Keypress: v
10.9352 	EXP 	colores1: autoDraw = False
10.9352 	EXP 	colores1: text = 'naranja'
10.9352 	EXP 	colores1: autoDraw = True
11.4910 	EXP 	New trial (rep=0, index=5): OrderedDict([('texto', 'azul')])
11.5047 	DATA 	Keypress: v
11.5075 	EXP 	colores1: autoDraw = False
11.5075 	EXP 	colores1: text = 'azul'
11.5075 	EXP 	colores1: autoDraw = True
12.0253 	EXP 	New trial (rep=0, index=6): OrderedDict([('texto', 'verde')])
12.0434 	DATA 	Keypress: v
12.0461 	EXP 	colores1: autoDraw = False
12.0461 	EXP 	colores1: text = 'verde'
12.0461 	EXP 	colores1: autoDraw = True
12.5419 	DATA 	Keypress: v
12.5589 	EXP 	New trial (rep=0, index=7): OrderedDict([('texto', 'naranja')])
12.5795 	EXP 	colores1: autoDraw = False
12.5795 	EXP 	colores1: text = 'naranja'
12.5795 	EXP 	colores1: autoDraw = True
12.9767 	DATA 	Keypress: v
12.9923 	EXP 	New trial (rep=0, index=8): OrderedDict([('texto', 'naranja')])
13.0013 	EXP 	colores1: autoDraw = False
13.0013 	EXP 	colores1: text = 'naranja'
13.0013 	EXP 	colores1: autoDraw = True
13.5240 	DATA 	Keypress: v
13.5401 	EXP 	New trial (rep=0, index=9): OrderedDict([('texto', 'verde')])
13.5581 	EXP 	colores1: autoDraw = False
13.5581 	EXP 	colores1: text = 'verde'
13.5581 	EXP 	colores1: autoDraw = True
13.9580 	EXP 	New trial (rep=0, index=10): OrderedDict([('texto', 'azul')])
13.9744 	DATA 	Keypress: v
13.9772 	EXP 	colores1: autoDraw = False
13.9772 	EXP 	colores1: text = 'azul'
13.9772 	EXP 	colores1: autoDraw = True
14.3748 	EXP 	New trial (rep=0, index=11): OrderedDict([('texto', 'verde')])
14.3906 	DATA 	Keypress: v
14.3932 	EXP 	colores1: autoDraw = False
14.3932 	EXP 	colores1: text = 'verde'
14.3932 	EXP 	colores1: autoDraw = True
14.7575 	DATA 	Keypress: v
14.7743 	EXP 	New trial (rep=0, index=12): OrderedDict([('texto', 'azul')])
14.7844 	EXP 	colores1: autoDraw = False
14.7844 	EXP 	colores1: text = 'azul'
14.7844 	EXP 	colores1: autoDraw = True
15.2059 	EXP 	New trial (rep=0, index=13): OrderedDict([('texto', 'naranja')])
15.2183 	DATA 	Keypress: v
15.2208 	EXP 	colores1: autoDraw = False
15.2208 	EXP 	colores1: text = 'naranja'
15.2208 	EXP 	colores1: autoDraw = True
15.5908 	EXP 	New trial (rep=0, index=14): OrderedDict([('texto', 'naranja')])
15.5960 	DATA 	Keypress: v
15.6002 	EXP 	colores1: autoDraw = False
15.6002 	EXP 	colores1: text = 'naranja'
15.6002 	EXP 	colores1: autoDraw = True
16.1213 	DATA 	Keypress: v
16.1415 	EXP 	New trial (rep=0, index=15): OrderedDict([('texto', 'verde')])
16.1643 	EXP 	colores1: autoDraw = False
16.1643 	EXP 	colores1: text = 'verde'
16.1643 	EXP 	colores1: autoDraw = True
16.5375 	EXP 	New trial (rep=0, index=16): OrderedDict([('texto', 'naranja')])
16.5488 	DATA 	Keypress: v
16.5515 	EXP 	colores1: autoDraw = False
16.5515 	EXP 	colores1: text = 'naranja'
16.5515 	EXP 	colores1: autoDraw = True
16.9038 	EXP 	New trial (rep=0, index=17): OrderedDict([('texto', 'azul')])
16.9109 	DATA 	Keypress: v
16.9161 	EXP 	colores1: autoDraw = False
16.9161 	EXP 	colores1: text = 'azul'
16.9161 	EXP 	colores1: autoDraw = True
17.3198 	EXP 	New trial (rep=0, index=18): OrderedDict([('texto', 'naranja')])
17.3280 	DATA 	Keypress: v
17.3328 	EXP 	colores1: autoDraw = False
17.3328 	EXP 	colores1: text = 'naranja'
17.3328 	EXP 	colores1: autoDraw = True
17.6900 	DATA 	Keypress: v
17.7064 	EXP 	New trial (rep=0, index=19): OrderedDict([('texto', 'azul')])
17.7229 	EXP 	colores1: autoDraw = False
17.7229 	EXP 	colores1: text = 'azul'
17.7229 	EXP 	colores1: autoDraw = True
18.0904 	DATA 	Keypress: v
18.1072 	EXP 	New trial (rep=0, index=20): OrderedDict([('texto', 'naranja')])
18.1283 	EXP 	colores1: autoDraw = False
18.1283 	EXP 	colores1: text = 'naranja'
18.1283 	EXP 	colores1: autoDraw = True
18.4727 	EXP 	New trial (rep=0, index=21): OrderedDict([('texto', 'verde')])
18.4971 	DATA 	Keypress: v
18.5005 	EXP 	colores1: autoDraw = False
