texto,answer,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instrucciones_texto.started,Instrucciones_texto.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,colores1.started,colores1.stopped,respuesta.keys,respuesta.corr,respuesta.rt,respuesta.started,respuesta.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,9.865992799866945,None,space,0.013242200016975403,15.825166800059378,None,,,,,,,,lilo,001,2023_Mar_08_1543,stroop_task,3.2.3,59.99426453257514,
azul,a,0,0,0,6,,,,,,,15.94099869998172,None,n,0,2.561380400089547,15.902415300020948,None,lilo,001,2023_Mar_08_1543,stroop_task,3.2.3,59.99426453257514,
azul,a,0,1,1,2,,,,,,,18.540339200058952,None,n,0,0.9831375000067055,18.489927500020713,None,lilo,001,2023_Mar_08_1543,stroop_task,3.2.3,59.99426453257514,
naranja,n,0,2,2,14,,,,,,,19.5563872999046,None,n,1,0.7610564997885376,19.504663599887863,None,lilo,001,2023_Mar_08_1543,stroop_task,3.2.3,59.99426453257514,
naranja,n,0,3,3,16,,,,,,,20.323132700053975,None,n,1,0.3729467000812292,20.28930959990248,None,lilo,001,2023_Mar_08_1543,stroop_task,3.2.3,59.99426453257514,
verde,v,0,4,4,19,,,,,,,20.739250199869275,None,n,0,0.37008080002851784,20.69040309987031,None,lilo,001,2023_Mar_08_1543,stroop_task,3.2.3,59.99426453257514,
azul,a,0,5,5,1,,,,,,,21.138983299955726,None,n,0,0.37100569996982813,21.089250199962407,None,lilo,001,2023_Mar_08_1543,stroop_task,3.2.3,59.99426453257514,
azul,a,0,6,6,8,,,,,,,21.52197050000541,None,n,0,0.39190810010768473,21.488554500043392,None,lilo,001,2023_Mar_08_1543,stroop_task,3.2.3,59.99426453257514,
azul,a,0,7,7,4,,,,,,,21.93884210009128,None,n,0,0.3533644999843091,21.905006299959496,None,lilo,001,2023_Mar_08_1543,stroop_task,3.2.3,59.99426453257514,
naranja,n,0,8,8,15,,,,,,,22.338693999918178,None,n,1,0.37618749984540045,22.288747600046918,None,lilo,001,2023_Mar_08_1543,stroop_task,3.2.3,59.99426453257514,
