nombrecolores1,colorrectangulo,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,colores1.started,colores1.stopped,respuesta.keys,respuesta.rt,respuesta.started,respuesta.stopped,rectangulo.started,rectangulo.stopped,respuesta_rect.keys,respuesta_rect.rt,respuesta_rect.started,respuesta_rect.stopped,participant,session,date,expName,psychopyVersion,frameRate,
azul,,0,0,0,6,,,,,6.887458800105378,None,a,5.010127099929377,6.887458800105378,None,,,,,,,sfd,001,2023_Mar_07_1325,stroop_task,3.2.3,60.261111349265526,
verde,,0,1,1,26,,,,,11.931420700158924,None,v,1.4942932000849396,11.931420700158924,None,,,,,,,sfd,001,2023_Mar_07_1325,stroop_task,3.2.3,60.261111349265526,
azul,,0,2,2,1,,,,,13.464582500047982,None,a,0.48808200005441904,13.464582500047982,None,,,,,,,sfd,001,2023_Mar_07_1325,stroop_task,3.2.3,60.261111349265526,
verde,,0,3,3,23,,,,,13.971473000012338,None,v,0.5102214000653476,13.971473000012338,None,,,,,,,sfd,001,2023_Mar_07_1325,stroop_task,3.2.3,60.261111349265526,
verde,,0,4,4,19,,,,,14.503734500147402,None,v,0.3933604001067579,14.503734500147402,None,,,,,,,sfd,001,2023_Mar_07_1325,stroop_task,3.2.3,60.261111349265526,
naranja,,0,5,5,15,,,,,14.935401099966839,None,n,0.5301932999864221,14.935401099966839,None,,,,,,,sfd,001,2023_Mar_07_1325,stroop_task,3.2.3,60.261111349265526,
azul,,0,6,6,0,,,,,15.497469200054184,None,a,0.47195590008050203,15.497469200054184,None,,,,,,,sfd,001,2023_Mar_07_1325,stroop_task,3.2.3,60.261111349265526,
verde,,0,7,7,22,,,,,15.99492930015549,None,v,0.822971299989149,15.99492930015549,None,,,,,,,sfd,001,2023_Mar_07_1325,stroop_task,3.2.3,60.261111349265526,
naranja,,0,8,8,9,,,,,16.84473820007406,None,n,0.5007726000621915,16.84473820007406,None,,,,,,,sfd,001,2023_Mar_07_1325,stroop_task,3.2.3,60.261111349265526,
verde,,0,9,9,27,,,,,17.380728699965402,None,v,0.5330994999967515,17.380728699965402,None,,,,,,,sfd,001,2023_Mar_07_1325,stroop_task,3.2.3,60.261111349265526,
azul,,0,10,10,4,,,,,17.947282599983737,None,a,0.5100670999381691,17.947282599983737,None,,,,,,,sfd,001,2023_Mar_07_1325,stroop_task,3.2.3,60.261111349265526,
naranja,,0,11,11,13,,,,,18.487458900082856,None,n,0.6742790001444519,18.487458900082856,None,,,,,,,sfd,001,2023_Mar_07_1325,stroop_task,3.2.3,60.261111349265526,
naranja,,0,12,12,14,,,,,19.185304200043902,None,n,1.1760116999503225,19.185304200043902,None,,,,,,,sfd,001,2023_Mar_07_1325,stroop_task,3.2.3,60.261111349265526,
verde,,0,13,13,24,,,,,20.387053500162438,None,v,0.5666535999625921,20.387053500162438,None,,,,,,,sfd,001,2023_Mar_07_1325,stroop_task,3.2.3,60.261111349265526,
naranja,,0,14,14,18,,,,,20.992241500178352,None,n,0.6573570999316871,20.992241500178352,None,,,,,,,sfd,001,2023_Mar_07_1325,stroop_task,3.2.3,60.261111349265526,
verde,,0,15,15,25,,,,,21.677942299982533,None,v,0.4674174999818206,21.677942299982533,None,,,,,,,sfd,001,2023_Mar_07_1325,stroop_task,3.2.3,60.261111349265526,
azul,,0,16,16,8,,,,,22.16745060007088,None,a,0.5223191999830306,22.16745060007088,None,,,,,,,sfd,001,2023_Mar_07_1325,stroop_task,3.2.3,60.261111349265526,
azul,,0,17,17,2,,,,,22.717833700124174,None,a,0.6590751998592168,22.717833700124174,None,,,,,,,sfd,001,2023_Mar_07_1325,stroop_task,3.2.3,60.261111349265526,
verde,,0,18,18,21,,,,,23.402734600007534,None,v,0.8545675999484956,23.402734600007534,None,,,,,,,sfd,001,2023_Mar_07_1325,stroop_task,3.2.3,60.261111349265526,
azul,,0,19,19,3,,,,,24.293202599976212,None,a,0.7316367998719215,24.293202599976212,None,,,,,,,sfd,001,2023_Mar_07_1325,stroop_task,3.2.3,60.261111349265526,
verde,,0,20,20,28,,,,,25.057480399962515,None,v,0.552755800075829,25.057480399962515,None,,,,,,,sfd,001,2023_Mar_07_1325,stroop_task,3.2.3,60.261111349265526,
naranja,,0,21,21,11,,,,,25.63735660002567,None,n,0.5803570998832583,25.63735660002567,None,,,,,,,sfd,001,2023_Mar_07_1325,stroop_task,3.2.3,60.261111349265526,
naranja,,0,22,22,16,,,,,26.249438700033352,None,n,0.695942800026387,26.249438700033352,None,,,,,,,sfd,001,2023_Mar_07_1325,stroop_task,3.2.3,60.261111349265526,
naranja,,0,23,23,10,,,,,26.966149399988353,None,n,0.5315647998359054,26.966149399988353,None,,,,,,,sfd,001,2023_Mar_07_1325,stroop_task,3.2.3,60.261111349265526,
azul,,0,24,24,7,,,,,27.52503150003031,None,a,0.5009741000831127,27.52503150003031,None,,,,,,,sfd,001,2023_Mar_07_1325,stroop_task,3.2.3,60.261111349265526,
naranja,,0,25,25,17,,,,,28.048708100104704,None,n,0.5609297999180853,28.048708100104704,None,,,,,,,sfd,001,2023_Mar_07_1325,stroop_task,3.2.3,60.261111349265526,
