4.9199 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
6.1589 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000027F90038C50>, gamma=None, gammaErrorPolicy='raise', kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000027F90109E80>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
6.1590 	EXP 	window1: recordFrameIntervals = False
6.3236 	EXP 	window1: recordFrameIntervals = True
6.5063 	EXP 	window1: recordFrameIntervals = False
6.8107 	EXP 	Created colores1 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='colores1', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([0., 0., 0.]), text='default text', units='height', win=Window(...), wrapWidth=1)
6.8131 	EXP 	Created rectangulo = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=0.0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', fillRGB=array([1., 1., 1.]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1., 1., 1.]), lineWidth=1, name='rectangulo', opacity=1.0, ori=array(0.), pos=array([0., 0.]), size=array([1., 1.]), units='height', vertices=ndarray(...), win=Window(...))
6.8412 	EXP 	Imported colores_negro.xlsx as conditions, 29 conditions, 1 params
6.8415 	EXP 	Created sequence: random, trialTypes=29, nReps=1, seed=None
6.8417 	EXP 	New trial (rep=0, index=0): OrderedDict([('nombrecolores1', 'azul')])
6.8875 	EXP 	colores1: text = 'azul'
6.8875 	EXP 	colores1: autoDraw = True
11.9131 	EXP 	New trial (rep=0, index=1): OrderedDict([('nombrecolores1', 'verde')])
11.9286 	DATA 	Keypress: a
11.9314 	EXP 	colores1: autoDraw = False
11.9314 	EXP 	colores1: text = 'verde'
11.9314 	EXP 	colores1: autoDraw = True
13.4271 	DATA 	Keypress: v
13.4455 	EXP 	New trial (rep=0, index=2): OrderedDict([('nombrecolores1', 'azul')])
13.4646 	EXP 	colores1: autoDraw = False
13.4646 	EXP 	colores1: text = 'azul'
13.4646 	EXP 	colores1: autoDraw = True
13.9578 	EXP 	New trial (rep=0, index=3): OrderedDict([('nombrecolores1', 'verde')])
13.9650 	DATA 	Keypress: a
13.9715 	EXP 	colores1: autoDraw = False
13.9715 	EXP 	colores1: text = 'verde'
13.9715 	EXP 	colores1: autoDraw = True
14.4941 	EXP 	New trial (rep=0, index=4): OrderedDict([('nombrecolores1', 'verde')])
14.4989 	DATA 	Keypress: v
14.5037 	EXP 	colores1: autoDraw = False
14.5037 	EXP 	colores1: text = 'verde'
14.5037 	EXP 	colores1: autoDraw = True
14.9090 	EXP 	New trial (rep=0, index=5): OrderedDict([('nombrecolores1', 'naranja')])
14.9329 	DATA 	Keypress: v
14.9354 	EXP 	colores1: autoDraw = False
14.9354 	EXP 	colores1: text = 'naranja'
14.9354 	EXP 	colores1: autoDraw = True
15.4772 	EXP 	New trial (rep=0, index=6): OrderedDict([('nombrecolores1', 'azul')])
15.4946 	DATA 	Keypress: n
15.4975 	EXP 	colores1: autoDraw = False
15.4975 	EXP 	colores1: text = 'azul'
