imagen1,imagen2,hm1,cp1,ai1,pa1,vr1,cl1,hm2,cp2,ai2,pa2,vr2,cl2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,image.started,image_2.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,results.started,text.started,text_2.started,text_3.started,text_4.started,text_5.started,text_6.started,results.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\19.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\20.png,-1,-1,1,0,-1,0,1,1,-1,0,1,0,0,0,0,8,0.16317029995843768,,0.009032499976456165,0.16317029995843768,0.16317029995843768,0.16317029995843768,1.9331614999100566,left,1.7559239000547677,None,,,,,,,,,432861,001,2024-07-10_20h13.45.291,untitled,2023.2.3,59.834450064661056,2024-07-10 20h13.49.634366 +0200,
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\5.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\6.png,0,1,1,0,-1,0,0,-1,-1,0,1,0,0,1,1,1,2.0902324999915436,,1.9336638000095263,2.0902324999915436,2.0902324999915436,2.0902324999915436,2.3998258999781683,right,0.30008950002957135,None,,,,,,,,,432861,001,2024-07-10_20h13.45.291,untitled,2023.2.3,59.834450064661056,2024-07-10 20h13.49.634366 +0200,
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\17.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\18.png,-1,-1,1,0,1,0,1,1,-1,0,-1,0,0,2,2,7,2.5361716999905184,,2.40026099991519,2.5361716999905184,2.5361716999905184,2.5361716999905184,2.801219000015408,left,0.2636454999446869,None,,,,,,,,,432861,001,2024-07-10_20h13.45.291,untitled,2023.2.3,59.834450064661056,2024-07-10 20h13.49.634366 +0200,
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\3.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\4.png,0,-1,1,0,-1,0,0,1,-1,0,1,0,0,3,3,0,2.9648632999742404,,2.8015435999259353,2.9648632999742404,2.9648632999742404,2.9648632999742404,6.5208123999182135,left,3.53920310002286,None,,,,,,,,,432861,001,2024-07-10_20h13.45.291,untitled,2023.2.3,59.834450064661056,2024-07-10 20h13.49.634366 +0200,
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\15.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\16.png,0,1,1,0,1,0,0,-1,-1,0,-1,0,0,4,4,6,6.657748300000094,,6.521192999905907,6.657748300000094,6.657748300000094,6.657748300000094,10.958709299913608,left,4.293386499979533,None,,,,,,,,,432861,001,2024-07-10_20h13.45.291,untitled,2023.2.3,59.834450064661056,2024-07-10 20h13.49.634366 +0200,
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\7.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\8.png,0,1,1,0,1,0,0,-1,-1,0,-1,0,0,5,5,2,11.094513599993661,,10.959074599901214,11.094513599993661,11.094513599993661,11.094513599993661,11.47637459996622,left,0.37748559995088726,None,,,,,,,,,432861,001,2024-07-10_20h13.45.291,untitled,2023.2.3,59.834450064661056,2024-07-10 20h13.49.634366 +0200,
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\9.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\10.png,0,-1,1,0,1,0,0,1,-1,0,-1,0,0,6,6,3,11.622267299913801,,11.476704699918628,11.622267299913801,11.622267299913801,11.622267299913801,12.008913300000131,left,0.38485189992934465,None,,,,,,,,,432861,001,2024-07-10_20h13.45.291,untitled,2023.2.3,59.834450064661056,2024-07-10 20h13.49.634366 +0200,
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\11.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\12.png,0,-1,1,0,-1,0,0,1,-1,0,1,0,0,7,7,4,12.153969899984077,,12.009341500001028,12.153969899984077,12.153969899984077,12.153969899984077,12.627206999924965,left,0.460089800064452,None,,,,,,,,,432861,001,2024-07-10_20h13.45.291,untitled,2023.2.3,59.834450064661056,2024-07-10 20h13.49.634366 +0200,
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\13.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\14.png,0,1,1,0,-1,0,0,-1,-1,0,1,0,0,8,8,5,12.772273499984294,,12.627599800005555,12.772273499984294,12.772273499984294,12.772273499984294,13.211654799990356,left,0.4264850999461487,None,,,,,,,,,432861,001,2024-07-10_20h13.45.291,untitled,2023.2.3,59.834450064661056,2024-07-10 20h13.49.634366 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.211907799937762,13.282494999933988,13.282494999933988,13.282494999933988,13.282494999933988,13.282494999933988,13.282494999933988,23.21981349994894,,,,,,,,
