imagen1,imagen2,hm1,cp1,ai1,pa1,vr1,cl1,hm2,cp2,ai2,pa2,vr2,cl2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,image.started,image_2.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,results.started,text.started,text_2.started,text_3.started,text_4.started,text_5.started,text_6.started,text_7.started,key_resp_2.started,results.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\67.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\68.png,0,-1,1,0,-1,-1,0,1,-1,0,1,1,0,0,0,33,0.16482209996320307,,0.008333199890330434,0.16482209996320307,0.16482209996320307,0.16482209996320307,0.9321629999903962,left,0.762966200010851,None,,,,,,,,,,,,,,578030,001,2024-07-10_20h17.43.279,untitled,2023.2.3,59.89444205432346,2024-07-10 20h17.47.704945 +0200,
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\59.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\60.png,0,-1,1,0,-1,0,0,1,-1,0,1,0,0,1,1,29,1.0705400999868289,,0.9325889999745414,1.0705400999868289,1.0705400999868289,1.0705400999868289,1.3653315999545157,left,0.28155969991348684,None,,,,,,,,,,,,,,578030,001,2024-07-10_20h17.43.279,untitled,2023.2.3,59.89444205432346,2024-07-10 20h17.47.704945 +0200,
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\47.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\48.png,0,1,1,1,1,0,0,-1,-1,-1,-1,0,0,2,2,23,1.5031039998866618,,1.3657046998851001,1.5031039998866618,1.5031039998866618,1.5031039998866618,1.916115599917248,left,0.40777870011515915,None,,,,,,,,,,,,,,578030,001,2024-07-10_20h17.43.279,untitled,2023.2.3,59.89444205432346,2024-07-10 20h17.47.704945 +0200,
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\39.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\40.png,0,1,1,0,1,0,0,-1,-1,0,-1,0,0,3,3,19,2.053054599906318,,1.9164715999504551,2.053054599906318,2.053054599906318,2.053054599906318,2.3666061999974772,left,0.2982879000483081,None,,,,,,,,,,,,,,578030,001,2024-07-10_20h17.43.279,untitled,2023.2.3,59.89444205432346,2024-07-10 20h17.47.704945 +0200,
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\35.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\36.png,0,-1,1,0,-1,0,0,1,-1,0,1,0,0,4,4,17,2.5034815999679267,,2.367030299967155,2.5034815999679267,2.5034815999679267,2.5034815999679267,2.8507296999450773,left,0.3370532999979332,None,,,,,,,,,,,,,,578030,001,2024-07-10_20h17.43.279,untitled,2023.2.3,59.89444205432346,2024-07-10 20h17.47.704945 +0200,
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\65.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\66.png,0,-1,1,0,1,-1,0,1,-1,0,-1,1,0,5,5,32,3.001687499927357,,2.8510469999164343,3.001687499927357,3.001687499927357,3.001687499927357,3.400569999939762,left,0.38266160001512617,None,,,,,,,,,,,,,,578030,001,2024-07-10_20h17.43.279,untitled,2023.2.3,59.89444205432346,2024-07-10 20h17.47.704945 +0200,
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\31.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\32.png,-1,1,1,0,1,0,1,-1,-1,0,-1,0,0,6,6,15,3.5496016999240965,,3.400914099998772,3.5496016999240965,3.5496016999240965,3.5496016999240965,3.8843111998867244,left,0.32177539996337146,None,,,,,,,,,,,,,,578030,001,2024-07-10_20h17.43.279,untitled,2023.2.3,59.89444205432346,2024-07-10 20h17.47.704945 +0200,
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\77.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\78.png,0,1,1,0,-1,-1,0,-1,-1,0,1,1,0,7,7,38,4.030053399968892,,3.8846644998993725,4.030053399968892,4.030053399968892,4.030053399968892,4.401847299886867,left,0.3617140999995172,None,,,,,,,,,,,,,,578030,001,2024-07-10_20h17.43.279,untitled,2023.2.3,59.89444205432346,2024-07-10 20h17.47.704945 +0200,
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\27.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\28.png,1,-1,1,0,-1,0,-1,1,-1,0,1,0,0,8,8,13,4.544674399890937,,4.402168899890967,4.544674399890937,4.544674399890937,4.544674399890937,4.9189003999345005,left,0.3663569000782445,None,,,,,,,,,,,,,,578030,001,2024-07-10_20h17.43.279,untitled,2023.2.3,59.89444205432346,2024-07-10 20h17.47.704945 +0200,
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\75.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\76.png,0,-1,1,0,-1,1,0,1,-1,0,1,-1,0,9,9,37,5.054074099985883,,4.919218799914233,5.054074099985883,5.054074099985883,5.054074099985883,5.385914199985564,left,0.3296446999302134,None,,,,,,,,,,,,,,578030,001,2024-07-10_20h17.43.279,untitled,2023.2.3,59.89444205432346,2024-07-10 20h17.47.704945 +0200,
