imagen1,imagen2,hm1,cp1,ai1,pa1,vr1,cl1,hm2,cp2,ai2,pa2,vr2,cl2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Portada.started,image_11.started,text_19.started,Portada.stopped,Instruccions.started,text_8.started,key_resp_3.started,Instruccions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,instructions_2.started,image_3.started,image_4.started,key_resp_4.started,text_9.started,text_10.started,instructions_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,instructions_3.started,text_11.started,text_12.started,text_13.started,text_14.started,text_15.started,text_16.started,text_17.started,image_5.started,key_resp_5.started,text_18.started,image_6.started,image_7.started,image_8.started,image_9.started,image_10.started,instructions_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,trial.started,image.started,image_2.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,results.started,text.started,text_2.started,text_3.started,text_4.started,text_5.started,text_6.started,text_7.started,key_resp_2.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,0.002062400002614595,0.02933840000332566,0.02933840000332566,10.013773300001048,10.013785499999358,10.030381800002942,10.030381800002942,12.901971200000844,space,2.868304600000556,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,883358,001,2024-07-11_12h06.15.135,untitled,2023.2.3,59.73865533223872,2024-07-11 12h06.22.651603 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.901990799997293,12.917305100003432,12.917305100003432,12.917305100003432,12.917305100003432,12.917305100003432,17.00551280000218,right,4.085977700000512,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,883358,001,2024-07-11_12h06.15.135,untitled,2023.2.3,59.73865533223872,2024-07-11 12h06.22.651603 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.005532199997106,17.020574399997713,17.020574399997713,17.020574399997713,17.020574399997713,17.020574399997713,17.020574399997713,17.020574399997713,17.020574399997713,17.020574399997713,17.020574399997713,17.020574399997713,17.020574399997713,17.020574399997713,17.020574399997713,17.020574399997713,25.129967799999577,space,8.10268549999455,None,,,,,,,,,,,,,,,,,,883358,001,2024-07-11_12h06.15.135,untitled,2023.2.3,59.73865533223872,2024-07-11 12h06.22.651603 +0200,
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\37.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\38.png,0,1,1,0,-1,0,0,-1,-1,0,1,0,0,0,0,18,25.28118959999847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.13556979999703,25.28118959999847,25.28118959999847,25.28118959999847,27.54956669999956,left,2.265796699997736,None,,,,,,,,,,883358,001,2024-07-11_12h06.15.135,untitled,2023.2.3,59.73865533223872,2024-07-11 12h06.22.651603 +0200,
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\33.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\34.png,0,-1,1,0,1,0,0,1,-1,0,-1,0,0,1,1,16,27.684312199999113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.55003549999674,27.684312199999113,27.684312199999113,27.684312199999113,27.93369540000276,right,0.23949960000027204,None,,,,,,,,,,883358,001,2024-07-11_12h06.15.135,untitled,2023.2.3,59.73865533223872,2024-07-11 12h06.22.651603 +0200,
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\21.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\22.png,1,1,1,0,-1,0,-1,-1,-1,0,1,0,0,2,2,10,28.080086499998288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.93407229999866,28.080086499998288,28.080086499998288,28.080086499998288,28.332880599999044,right,0.2439295999938622,None,,,,,,,,,,883358,001,2024-07-11_12h06.15.135,untitled,2023.2.3,59.73865533223872,2024-07-11 12h06.22.651603 +0200,
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\3.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\4.png,0,-1,1,0,-1,0,0,1,-1,0,1,0,0,3,3,1,28.48378760000196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.333282599996892,28.48378760000196,28.48378760000196,28.48378760000196,28.75019169999723,left,0.2546038000000408,None,,,,,,,,,,883358,001,2024-07-11_12h06.15.135,untitled,2023.2.3,59.73865533223872,2024-07-11 12h06.22.651603 +0200,
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\43.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\44.png,0,-1,1,-1,-1,0,0,1,-1,1,1,0,0,4,4,21,28.88757340000302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.75059930000134,28.88757340000302,28.88757340000302,28.88757340000302,29.09926919999998,left,0.20279840000148397,None,,,,,,,,,,883358,001,2024-07-11_12h06.15.135,untitled,2023.2.3,59.73865533223872,2024-07-11 12h06.22.651603 +0200,
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\49.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\50.png,0,-1,1,1,1,0,0,1,-1,-1,-1,0,0,5,5,24,29.241349199997785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.09959070000332,29.241349199997785,29.241349199997785,29.241349199997785,29.417110900001717,left,0.16904190000059316,None,,,,,,,,,,883358,001,2024-07-11_12h06.15.135,untitled,2023.2.3,59.73865533223872,2024-07-11 12h06.22.651603 +0200,
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\17.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\18.png,-1,-1,1,0,1,0,1,1,-1,0,-1,0,0,6,6,8,29.552039800000784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.417429699999047,29.552039800000784,29.552039800000784,29.552039800000784,29.717194500000915,left,0.14822679999633692,None,,,,,,,,,,883358,001,2024-07-11_12h06.15.135,untitled,2023.2.3,59.73865533223872,2024-07-11 12h06.22.651603 +0200,
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\25.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\26.png,1,-1,1,0,1,0,-1,1,-1,0,-1,0,0,7,7,12,29.85494319999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.717515399999684,29.85494319999998,29.85494319999998,29.85494319999998,29.984815000003437,left,0.1160094000006211,None,,,,,,,,,,883358,001,2024-07-11_12h06.15.135,untitled,2023.2.3,59.73865533223872,2024-07-11 12h06.22.651603 +0200,
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\1.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\2.png,0,-1,1,0,1,0,0,1,-1,0,-1,0,0,8,8,0,30.13126409999677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.985177499998827,30.13126409999677,30.13126409999677,30.13126409999677,30.235242399998242,right,0.09471510000003036,None,,,,,,,,,,883358,001,2024-07-11_12h06.15.135,untitled,2023.2.3,59.73865533223872,2024-07-11 12h06.22.651603 +0200,
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\29.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\30.png,-1,1,1,0,-1,0,1,-1,-1,0,1,0,0,9,9,14,30.370476800002507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.235555100000056,30.370476800002507,30.370476800002507,30.370476800002507,30.534547499999462,right,0.1526977000030456,None,,,,,,,,,,883358,001,2024-07-11_12h06.15.135,untitled,2023.2.3,59.73865533223872,2024-07-11 12h06.22.651603 +0200,
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\69.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\70.png,0,1,1,0,-1,1,0,-1,-1,0,1,-1,0,10,10,34,30.662515399999393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.534872999996878,30.662515399999393,30.662515399999393,30.662515399999393,30.83475339999859,left,0.15594050000072457,None,,,,,,,,,,883358,001,2024-07-11_12h06.15.135,untitled,2023.2.3,59.73865533223872,2024-07-11 12h06.22.651603 +0200,
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\57.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\58.png,0,-1,1,0,1,0,0,1,-1,0,-1,0,0,11,11,28,30.96862919999694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.835062999998627,30.96862919999694,30.96862919999694,30.96862919999694,31.118180999998003,right,0.14622419999795966,None,,,,,,,,,,883358,001,2024-07-11_12h06.15.135,untitled,2023.2.3,59.73865533223872,2024-07-11 12h06.22.651603 +0200,
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\13.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\14.png,0,1,1,0,-1,0,0,-1,-1,0,1,0,0,12,12,6,31.25434320000204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.118501600001764,31.25434320000204,31.25434320000204,31.25434320000204,31.435433400001784,right,0.16640629999892553,None,,,,,,,,,,883358,001,2024-07-11_12h06.15.135,untitled,2023.2.3,59.73865533223872,2024-07-11 12h06.22.651603 +0200,
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\51.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\52.png,0,-1,1,1,-1,0,0,1,-1,-1,1,0,0,13,13,25,31.572846900002332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.435742499998014,31.572846900002332,31.572846900002332,31.572846900002332,31.66951980000158,right,0.09360200000082841,None,,,,,,,,,,883358,001,2024-07-11_12h06.15.135,untitled,2023.2.3,59.73865533223872,2024-07-11 12h06.22.651603 +0200,
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\11.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\12.png,0,-1,1,0,-1,0,0,1,-1,0,1,0,0,14,14,5,31.80476379999891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.66984119999688,31.80476379999891,31.80476379999891,31.80476379999891,31.952583300000697,left,0.13517439999850467,None,,,,,,,,,,883358,001,2024-07-11_12h06.15.135,untitled,2023.2.3,59.73865533223872,2024-07-11 12h06.22.651603 +0200,
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\39.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\40.png,0,1,1,0,1,0,0,-1,-1,0,-1,0,0,15,15,19,32.102937499999825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.952894599999127,32.102937499999825,32.102937499999825,32.102937499999825,32.21983259999979,right,0.11530439999478403,None,,,,,,,,,,883358,001,2024-07-11_12h06.15.135,untitled,2023.2.3,59.73865533223872,2024-07-11 12h06.22.651603 +0200,
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\63.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\64.png,0,1,1,0,1,0,0,-1,-1,0,-1,0,0,16,16,31,32.34738870000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.22016850000364,32.34738870000001,32.34738870000001,32.34738870000001,32.569629099998565,right,0.21610900000086986,None,,,,,,,,,,883358,001,2024-07-11_12h06.15.135,untitled,2023.2.3,59.73865533223872,2024-07-11 12h06.22.651603 +0200,
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\79.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\80.png,0,1,1,0,1,-1,0,-1,-1,0,-1,1,0,17,17,39,32.705524400000286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.56995949999691,32.705524400000286,32.705524400000286,32.705524400000286,32.83825490000163,right,0.13053030000446597,None,,,,,,,,,,883358,001,2024-07-11_12h06.15.135,untitled,2023.2.3,59.73865533223872,2024-07-11 12h06.22.651603 +0200,
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\61.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\62.png,0,1,1,0,-1,0,0,-1,-1,0,1,0,0,18,18,30,32.978128700000525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.83858699999837,32.978128700000525,32.978128700000525,32.978128700000525,33.187665799996466,right,0.19369730000471463,None,,,,,,,,,,883358,001,2024-07-11_12h06.15.135,untitled,2023.2.3,59.73865533223872,2024-07-11 12h06.22.651603 +0200,
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\71.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\72.png,0,1,1,0,1,1,0,-1,-1,0,-1,-1,0,19,19,35,33.33944540000084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.18801689999964,33.33944540000084,33.33944540000084,33.33944540000084,33.45466509999824,left,0.10284340000362135,None,,,,,,,,,,883358,001,2024-07-11_12h06.15.135,untitled,2023.2.3,59.73865533223872,2024-07-11 12h06.22.651603 +0200,
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\5.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\6.png,0,1,1,0,-1,0,0,-1,-1,0,1,0,0,20,20,2,33.60045499999978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.45500419999735,33.60045499999978,33.60045499999978,33.60045499999978,33.77246600000217,left,0.17013930000393884,None,,,,,,,,,,883358,001,2024-07-11_12h06.15.135,untitled,2023.2.3,59.73865533223872,2024-07-11 12h06.22.651603 +0200,
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\55.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\56.png,0,1,1,-1,1,0,0,-1,-1,1,-1,0,0,21,21,27,33.93260569999984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.77309609999793,33.93260569999984,33.93260569999984,33.93260569999984,34.12178030000359,left,0.17620310000347672,None,,,,,,,,,,883358,001,2024-07-11_12h06.15.135,untitled,2023.2.3,59.73865533223872,2024-07-11 12h06.22.651603 +0200,
