imagen1,imagen2,hm1,cp1,ai1,pa1,vr1,cl1,hm2,cp2,ai2,pa2,vr2,cl2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Portada.started,image_11.started,text_19.started,Portada.stopped,Instruccions.started,text_8.started,key_resp_3.started,Instruccions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,instructions_2.started,image_3.started,image_4.started,key_resp_4.started,text_9.started,text_10.started,instructions_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,instructions_3.started,text_11.started,text_12.started,text_13.started,text_14.started,text_15.started,text_16.started,text_17.started,image_5.started,key_resp_5.started,text_18.started,image_6.started,image_7.started,image_8.started,image_9.started,image_10.started,instructions_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,trial.started,image.started,image_2.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,results.started,text.started,text_2.started,text_3.started,text_4.started,text_5.started,text_6.started,text_7.started,key_resp_2.started,results.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,0.0032417000038549304,0.029785799997625872,0.029785799997625872,10.003388700002688,10.003412300000491,10.019300899999507,10.019300899999507,13.157033900002716,space,3.1305910000010044,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,905773,001,2024-07-11_12h17.48.261,untitled,2023.2.3,59.88124351721431,2024-07-11 12h17.56.671028 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.157053299997642,13.172403000004124,13.172403000004124,13.172403000004124,13.172403000004124,13.172403000004124,17.127249800003483,left,3.9533632999955444,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,905773,001,2024-07-11_12h17.48.261,untitled,2023.2.3,59.88124351721431,2024-07-11 12h17.56.671028 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1272689000034,17.14296170000307,17.14296170000307,17.14296170000307,17.14296170000307,17.14296170000307,17.14296170000307,17.14296170000307,17.14296170000307,17.14296170000307,17.14296170000307,17.14296170000307,17.14296170000307,17.14296170000307,17.14296170000307,17.14296170000307,24.4516328000027,space,7.305543399997987,None,,,,,,,,,,,,,,,,,,,,,,905773,001,2024-07-11_12h17.48.261,untitled,2023.2.3,59.88124351721431,2024-07-11 12h17.56.671028 +0200,
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\71.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\72.png,0,1,1,0,1,1,0,-1,-1,0,-1,-1,0,0,0,35,24.60280469999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.456909400003497,24.60280469999998,24.60280469999998,24.60280469999998,25.018279900003108,left,0.40405879999889294,None,,,,,,,,,,,,,,905773,001,2024-07-11_12h17.48.261,untitled,2023.2.3,59.88124351721431,2024-07-11 12h17.56.671028 +0200,
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\13.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\14.png,0,1,1,0,-1,0,0,-1,-1,0,1,0,0,1,1,6,25.167145999999775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.01872159999766,25.167145999999775,25.167145999999775,25.167145999999775,25.402162999998836,left,0.22984140000335174,None,,,,,,,,,,,,,,905773,001,2024-07-11_12h17.48.261,untitled,2023.2.3,59.88124351721431,2024-07-11 12h17.56.671028 +0200,
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\51.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\52.png,0,-1,1,1,-1,0,0,1,-1,-1,1,0,0,2,2,25,25.544906100003573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.40248850000353,25.544906100003573,25.544906100003573,25.544906100003573,25.719738799998595,right,0.17321280000032857,None,,,,,,,,,,,,,,905773,001,2024-07-11_12h17.48.261,untitled,2023.2.3,59.88124351721431,2024-07-11 12h17.56.671028 +0200,
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\21.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\22.png,1,1,1,0,-1,0,-1,-1,-1,0,1,0,0,3,3,10,25.873482299997704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.720076500001596,25.873482299997704,25.873482299997704,25.873482299997704,26.002136700000847,right,0.1245827000020654,None,,,,,,,,,,,,,,905773,001,2024-07-11_12h17.48.261,untitled,2023.2.3,59.88124351721431,2024-07-11 12h17.56.671028 +0200,
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\55.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\56.png,0,1,1,-1,1,0,0,-1,-1,1,-1,0,0,4,4,27,26.159424400000717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.00256729999819,26.159424400000717,26.159424400000717,26.159424400000717,26.303415499998664,left,0.1427724000022863,None,,,,,,,,,,,,,,905773,001,2024-07-11_12h17.48.261,untitled,2023.2.3,59.88124351721431,2024-07-11 12h17.56.671028 +0200,
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\75.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\76.png,0,-1,1,0,-1,1,0,1,-1,0,1,-1,0,5,5,37,26.436089599999832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.303754100001242,26.436089599999832,26.436089599999832,26.436089599999832,26.603433500000392,left,0.1548253999935696,None,,,,,,,,,,,,,,905773,001,2024-07-11_12h17.48.261,untitled,2023.2.3,59.88124351721431,2024-07-11 12h17.56.671028 +0200,
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\41.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\42.png,0,-1,1,-1,1,0,0,1,-1,1,-1,0,0,6,6,20,26.74973950000276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.603828400002385,26.74973950000276,26.74973950000276,26.74973950000276,26.869463399998494,right,0.10568229999626055,None,,,,,,,,,,,,,,905773,001,2024-07-11_12h17.48.261,untitled,2023.2.3,59.88124351721431,2024-07-11 12h17.56.671028 +0200,
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\67.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\68.png,0,-1,1,0,-1,-1,0,1,-1,0,1,1,0,7,7,33,27.01288310000382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.8698302000048,27.01288310000382,27.01288310000382,27.01288310000382,27.104057600001397,right,0.0893897999994806,None,,,,,,,,,,,,,,905773,001,2024-07-11_12h17.48.261,untitled,2023.2.3,59.88124351721431,2024-07-11 12h17.56.671028 +0200,
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\79.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\80.png,0,1,1,0,1,-1,0,-1,-1,0,-1,1,0,8,8,39,27.23797100000229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.10437880000245,27.23797100000229,27.23797100000229,27.23797100000229,27.337234800004808,left,0.09510690000024624,None,,,,,,,,,,,,,,905773,001,2024-07-11_12h17.48.261,untitled,2023.2.3,59.88124351721431,2024-07-11 12h17.56.671028 +0200,
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\5.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\6.png,0,1,1,0,-1,0,0,-1,-1,0,1,0,0,9,9,2,27.47957950000273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.33755380000366,27.47957950000273,27.47957950000273,27.47957950000273,27.603988399998343,right,0.11830319999717176,None,,,,,,,,,,,,,,905773,001,2024-07-11_12h17.48.261,untitled,2023.2.3,59.88124351721431,2024-07-11 12h17.56.671028 +0200,
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\25.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\26.png,1,-1,1,0,1,0,-1,1,-1,0,-1,0,0,10,10,12,27.739406500004407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.60444500000449,27.739406500004407,27.739406500004407,27.739406500004407,27.837785700001405,left,0.09058619999996154,None,,,,,,,,,,,,,,905773,001,2024-07-11_12h17.48.261,untitled,2023.2.3,59.88124351721431,2024-07-11 12h17.56.671028 +0200,
