imagen1,imagen2,hm1,cp1,ai1,pa1,vr1,cl1,hm2,cp2,ai2,pa2,vr2,cl2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Portada.started,image_11.started,text_19.started,Portada.stopped,Instruccions.started,text_8.started,key_resp_3.started,Instruccions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,instructions_2.started,image_3.started,image_4.started,key_resp_4.started,text_9.started,text_10.started,instructions_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,instructions_3.started,text_11.started,text_12.started,text_13.started,text_14.started,text_15.started,text_16.started,text_17.started,image_5.started,key_resp_5.started,text_18.started,image_6.started,image_7.started,image_8.started,image_9.started,image_10.started,instructions_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,trial.started,image.started,image_2.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,results.started,text.started,text_2.started,text_3.started,text_4.started,text_5.started,text_6.started,text_7.started,key_resp_2.started,results.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,0.0036346000124467537,0.03619740001158789,0.03619740001158789,5.014226700004656,5.014242700010072,5.025719000012032,5.025719000012032,27.84637000001385,space,22.818496399995638,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DDD,001,2024-07-12_10h12.04.868,untitled,2023.2.3,60.036766514456566,2024-07-12 10h12.18.196458 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.846411300008185,27.864752300010878,27.864752300010878,27.864752300010878,27.864752300010878,27.864752300010878,44.48677890001272,right,16.617486699993606,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DDD,001,2024-07-12_10h12.04.868,untitled,2023.2.3,60.036766514456566,2024-07-12 10h12.18.196458 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.48681720001332,44.50177580000309,44.50177580000309,44.50177580000309,44.50177580000309,44.50177580000309,44.50177580000309,44.50177580000309,44.50177580000309,44.50177580000309,44.50177580000309,44.50177580000309,44.50177580000309,44.50177580000309,44.50177580000309,44.50177580000309,60.72421670000767,space,16.205912399993395,None,,,,,,,,,,,,,,,,,,,,,,DDD,001,2024-07-12_10h12.04.868,untitled,2023.2.3,60.036766514456566,2024-07-12 10h12.18.196458 +0200,
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\19.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\20.png,-1,-1,1,0,-1,0,1,1,-1,0,1,0,0,0,0,9,60.91124230000423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.73953240000992,60.91124230000423,60.91124230000423,60.91124230000423,75.46776950001367,left,14.548661699998775,None,,,,,,,,,,,,,,DDD,001,2024-07-12_10h12.04.868,untitled,2023.2.3,60.036766514456566,2024-07-12 10h12.18.196458 +0200,
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\7.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\8.png,0,1,1,0,1,0,0,-1,-1,0,-1,0,0,1,1,3,75.63522550000926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.47642530000303,75.63522550000926,75.63522550000926,75.63522550000926,90.45818820000568,left,14.808041600001161,None,,,,,,,,,,,,,,DDD,001,2024-07-12_10h12.04.868,untitled,2023.2.3,60.036766514456566,2024-07-12 10h12.18.196458 +0200,
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\9.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\10.png,0,-1,1,0,1,0,0,1,-1,0,-1,0,0,2,2,4,90.64076350000687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.45881770001142,90.64076350000687,90.64076350000687,90.64076350000687,96.53813870000886,left,5.880280199999106,None,,,,,,,,,,,,,,DDD,001,2024-07-12_10h12.04.868,untitled,2023.2.3,60.036766514456566,2024-07-12 10h12.18.196458 +0200,
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\57.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\58.png,0,-1,1,0,1,0,0,1,-1,0,-1,0,0,3,3,28,96.69214990000182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.53881100000581,96.69214990000182,96.69214990000182,96.69214990000182,111.94355030001316,left,15.244903899991186,None,,,,,,,,,,,,,,DDD,001,2024-07-12_10h12.04.868,untitled,2023.2.3,60.036766514456566,2024-07-12 10h12.18.196458 +0200,
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\33.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\34.png,0,-1,1,0,1,0,0,1,-1,0,-1,0,0,4,4,16,112.11684960000275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.94398100000399,112.11684960000275,112.11684960000275,112.11684960000275,115.15877570000885,left,3.030158300010953,None,,,,,,,,,,,,,,DDD,001,2024-07-12_10h12.04.868,untitled,2023.2.3,60.036766514456566,2024-07-12 10h12.18.196458 +0200,
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\51.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\52.png,0,-1,1,1,-1,0,0,1,-1,-1,1,0,0,5,5,25,115.35240760000306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.15947280000546,115.35240760000306,115.35240760000306,115.35240760000306,118.78971350000938,left,3.429524000006495,None,,,,,,,,,,,,,,DDD,001,2024-07-12_10h12.04.868,untitled,2023.2.3,60.036766514456566,2024-07-12 10h12.18.196458 +0200,
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\21.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\22.png,1,1,1,0,-1,0,-1,-1,-1,0,1,0,0,6,6,10,118.9713572000037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.79017040001054,118.9713572000037,118.9713572000037,118.9713572000037,125.36917090001225,right,6.381278900007601,None,,,,,,,,,,,,,,DDD,001,2024-07-12_10h12.04.868,untitled,2023.2.3,60.036766514456566,2024-07-12 10h12.18.196458 +0200,
