imagen1,imagen2,hm1,cp1,ai1,pa1,vr1,cl1,hm2,cp2,ai2,pa2,vr2,cl2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Portada.started,text_19.started,image_11.started,Portada.stopped,Instruccions.started,text_8.started,key_resp_3.started,Instruccions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,instructions_2.started,image_3.started,image_4.started,key_resp_4.started,text_9.started,text_10.started,instructions_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,instructions_3.started,text_11.started,text_12.started,text_13.started,text_14.started,text_15.started,text_16.started,text_17.started,image_5.started,key_resp_5.started,text_18.started,image_6.started,image_7.started,image_8.started,image_9.started,image_10.started,instructions_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,trial.started,image.started,image_2.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,results.started,text.started,text_2.started,text_3.started,text_4.started,text_5.started,text_6.started,text_7.started,key_resp_2.started,results.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,0.003980299981776625,0.03853069996694103,0.03853069996694103,5.001621899951715,5.001632699975744,5.018091899983119,5.018091899983119,8.484819399949629,space,3.464476900000591,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,038018,001,2025-07-07_13h46.09.599,tarea_coche_autonomo,2023.2.3,59.94707872070461,2025-07-07 13h46.15.783287 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.484848899999633,8.500163599965163,8.500163599965163,8.500163599965163,8.500163599965163,8.500163599965163,9.63339149998501,right,1.124945799994748,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,038018,001,2025-07-07_13h46.09.599,tarea_coche_autonomo,2023.2.3,59.94707872070461,2025-07-07 13h46.15.783287 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.633423499995843,9.648899899970274,9.648899899970274,9.648899899970274,9.648899899970274,9.648899899970274,9.648899899970274,9.648899899970274,9.648899899970274,9.648899899970274,9.648899899970274,9.648899899970274,9.648899899970274,9.648899899970274,9.648899899970274,9.648899899970274,11.499667999974918,space,1.8330113000120036,None,,,,,,,,,,,,,,,,,,,,,,038018,001,2025-07-07_13h46.09.599,tarea_coche_autonomo,2023.2.3,59.94707872070461,2025-07-07 13h46.15.783287 +0200,
pngs\49.png,pngs\50.png,0,-1,1,1,1,0,0,1,-1,-1,-1,0,0,0,0,24,11.653813799959607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.505306799954269,11.653813799959607,11.653813799959607,11.653813799959607,12.581654599984176,right,0.9237450999789871,None,,,,,,,,,,,,,,038018,001,2025-07-07_13h46.09.599,tarea_coche_autonomo,2023.2.3,59.94707872070461,2025-07-07 13h46.15.783287 +0200,
pngs\9.png,pngs\10.png,0,-1,1,0,1,0,0,1,-1,0,-1,0,0,1,1,4,12.718913099961355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.582391599949915,12.718913099961355,12.718913099961355,12.718913099961355,12.764666199975181,right,0.04362330003641546,None,,,,,,,,,,,,,,038018,001,2025-07-07_13h46.09.599,tarea_coche_autonomo,2023.2.3,59.94707872070461,2025-07-07 13h46.15.783287 +0200,
pngs\43.png,pngs\44.png,0,-1,1,-1,-1,0,0,1,-1,1,1,0,0,2,2,21,12.919723199971486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.765010399976745,12.919723199971486,12.919723199971486,12.919723199971486,12.947539799963124,right,0.017627499997615814,None,,,,,,,,,,,,,,038018,001,2025-07-07_13h46.09.599,tarea_coche_autonomo,2023.2.3,59.94707872070461,2025-07-07 13h46.15.783287 +0200,
pngs\41.png,pngs\42.png,0,-1,1,-1,1,0,0,1,-1,1,-1,0,0,3,3,20,13.09548989997711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.947874899953604,13.09548989997711,13.09548989997711,13.09548989997711,13.11346439999761,right,0.0016654999926686287,None,,,,,,,,,,,,,,038018,001,2025-07-07_13h46.09.599,tarea_coche_autonomo,2023.2.3,59.94707872070461,2025-07-07 13h46.15.783287 +0200,
pngs\79.png,pngs\80.png,0,1,1,0,1,-1,0,-1,-1,0,-1,1,0,4,4,39,13.257857999997213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.113898999989033,13.257857999997213,13.257857999997213,13.257857999997213,13.296935699996538,left,0.02418879995821044,None,,,,,,,,,,,,,,038018,001,2025-07-07_13h46.09.599,tarea_coche_autonomo,2023.2.3,59.94707872070461,2025-07-07 13h46.15.783287 +0200,
pngs\31.png,pngs\32.png,-1,1,1,0,1,0,1,-1,-1,0,-1,0,0,5,5,15,13.434127099986654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.297371199994814,13.434127099986654,13.434127099986654,13.434127099986654,13.66380629997002,left,0.22309559996938333,None,,,,,,,,,,,,,,038018,001,2025-07-07_13h46.09.599,tarea_coche_autonomo,2023.2.3,59.94707872070461,2025-07-07 13h46.15.783287 +0200,
pngs\33.png,pngs\34.png,0,-1,1,0,1,0,0,1,-1,0,-1,0,0,6,6,16,13.811399900005199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.664178199949674,13.811399900005199,13.811399900005199,13.811399900005199,13.830148899985943,left,0.005771800002548844,None,,,,,,,,,,,,,,038018,001,2025-07-07_13h46.09.599,tarea_coche_autonomo,2023.2.3,59.94707872070461,2025-07-07 13h46.15.783287 +0200,
pngs\15.png,pngs\16.png,0,1,1,0,1,0,0,-1,-1,0,-1,0,0,7,7,7,13.97490019997349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.83051349996822,13.97490019997349,13.97490019997349,13.97490019997349,13.996326599968597,left,0.01877779996721074,None,,,,,,,,,,,,,,038018,001,2025-07-07_13h46.09.599,tarea_coche_autonomo,2023.2.3,59.94707872070461,2025-07-07 13h46.15.783287 +0200,
pngs\17.png,pngs\18.png,-1,-1,1,0,1,0,1,1,-1,0,-1,0,0,8,8,8,14.141769699985161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.996674399997573,14.141769699985161,14.141769699985161,14.141769699985161,14.163197499990929,left,0.011278700025286525,None,,,,,,,,,,,,,,038018,001,2025-07-07_13h46.09.599,tarea_coche_autonomo,2023.2.3,59.94707872070461,2025-07-07 13h46.15.783287 +0200,
pngs\23.png,pngs\24.png,1,1,1,0,1,0,-1,-1,-1,0,-1,0,0,9,9,11,14.313405499968212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.16355959995417,14.313405499968212,14.313405499968212,14.313405499968212,14.345938599959482,right,0.02419329999247566,None,,,,,,,,,,,,,,038018,001,2025-07-07_13h46.09.599,tarea_coche_autonomo,2023.2.3,59.94707872070461,2025-07-07 13h46.15.783287 +0200,
pngs\53.png,pngs\54.png,0,1,1,-1,-1,0,0,-1,-1,1,1,0,0,10,10,26,14.491408500005491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.346312299952842,14.491408500005491,14.491408500005491,14.491408500005491,14.69626860000426,left,0.19074800005182624,None,,,,,,,,,,,,,,038018,001,2025-07-07_13h46.09.599,tarea_coche_autonomo,2023.2.3,59.94707872070461,2025-07-07 13h46.15.783287 +0200,
pngs\19.png,pngs\20.png,-1,-1,1,0,-1,0,1,1,-1,0,1,0,0,11,11,9,14.8424054000061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.696585799974855,14.8424054000061,14.8424054000061,14.8424054000061,14.996016599994618,right,0.1456445999792777,None,,,,,,,,,,,,,,038018,001,2025-07-07_13h46.09.599,tarea_coche_autonomo,2023.2.3,59.94707872070461,2025-07-07 13h46.15.783287 +0200,
