imagen1,imagen2,hm1,cp1,ai1,pa1,vr1,cl1,hm2,cp2,ai2,pa2,vr2,cl2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Portada.started,image_11.started,text_19.started,Portada.stopped,Instruccions.started,text_8.started,key_resp_3.started,Instruccions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,instructions_2.started,image_3.started,image_4.started,key_resp_4.started,text_9.started,text_10.started,instructions_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,instructions_3.started,text_11.started,text_12.started,text_13.started,text_14.started,text_15.started,text_16.started,text_17.started,image_5.started,key_resp_5.started,text_18.started,image_6.started,image_7.started,image_8.started,image_9.started,image_10.started,instructions_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,trial.started,image.started,image_2.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,results.started,text.started,text_2.started,text_3.started,text_4.started,text_5.started,text_6.started,text_7.started,key_resp_2.started,results.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,0.0039301999495364726,0.03475969994906336,0.03475969994906336,5.010133399977349,5.010143399995286,5.026470899989363,5.026470899989363,5.67736909998348,space,0.6357190000126138,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250317,001,2025-07-07_11h49.33.327,untitled,2023.2.3,59.966742449696724,2025-07-07 11h49.40.127254 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.677401299995836,5.693503999966197,5.693503999966197,5.693503999966197,5.693503999966197,5.693503999966197,6.761088399973232,right,1.065699000027962,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250317,001,2025-07-07_11h49.33.327,untitled,2023.2.3,59.966742449696724,2025-07-07 11h49.40.127254 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.761120999988634,6.775785299949348,6.775785299949348,6.775785299949348,6.775785299949348,6.775785299949348,6.775785299949348,6.775785299949348,6.775785299949348,6.775785299949348,6.775785299949348,6.775785299949348,6.775785299949348,6.775785299949348,6.775785299949348,6.775785299949348,8.359209499962162,space,1.5749101000255905,None,,,,,,,,,,,,,,,,,,,,,,250317,001,2025-07-07_11h49.33.327,untitled,2023.2.3,59.966742449696724,2025-07-07 11h49.40.127254 +0200,
pngs\59.png,pngs\60.png,0,-1,1,0,-1,0,0,1,-1,0,1,0,0,0,0,29,8.508631799952127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.364318699983414,8.508631799952127,8.508631799952127,8.508631799952127,9.308460999978706,right,0.7943817999912426,None,,,,,,,,,,,,,,250317,001,2025-07-07_11h49.33.327,untitled,2023.2.3,59.966742449696724,2025-07-07 11h49.40.127254 +0200,
pngs\75.png,pngs\76.png,0,-1,1,0,-1,1,0,1,-1,0,1,-1,0,1,1,37,9.444823400001042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.308904399978928,9.444823400001042,9.444823400001042,9.444823400001042,9.473950499959756,left,0.025926400034222752,None,,,,,,,,,,,,,,250317,001,2025-07-07_11h49.33.327,untitled,2023.2.3,59.966742449696724,2025-07-07 11h49.40.127254 +0200,
pngs\27.png,pngs\28.png,1,-1,1,0,-1,0,-1,1,-1,0,1,0,0,2,2,13,9.60819579998497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.474321399990004,9.60819579998497,9.60819579998497,9.60819579998497,9.657822599983774,left,0.03774960001464933,None,,,,,,,,,,,,,,250317,001,2025-07-07_11h49.33.327,untitled,2023.2.3,59.966742449696724,2025-07-07 11h49.40.127254 +0200,
pngs\23.png,pngs\24.png,1,1,1,0,1,0,-1,-1,-1,0,-1,0,0,3,3,11,9.792143499944359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.65817019995302,9.792143499944359,9.792143499944359,9.792143499944359,9.82388409995474,left,0.02251289994455874,None,,,,,,,,,,,,,,250317,001,2025-07-07_11h49.33.327,untitled,2023.2.3,59.966742449696724,2025-07-07 11h49.40.127254 +0200,
pngs\5.png,pngs\6.png,0,1,1,0,-1,0,0,-1,-1,0,1,0,0,4,4,2,9.98199579998618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.824253299972042,9.98199579998618,9.98199579998618,9.98199579998618,10.10773839999456,right,0.11324620002415031,None,,,,,,,,,,,,,,250317,001,2025-07-07_11h49.33.327,untitled,2023.2.3,59.966742449696724,2025-07-07 11h49.40.127254 +0200,
pngs\1.png,pngs\2.png,0,-1,1,0,1,0,0,1,-1,0,-1,0,0,5,5,0,10.242632599954959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.108258799999021,10.242632599954959,10.242632599954959,10.242632599954959,10.274188899958972,right,0.027147900022100657,None,,,,,,,,,,,,,,250317,001,2025-07-07_11h49.33.327,untitled,2023.2.3,59.966742449696724,2025-07-07 11h49.40.127254 +0200,
pngs\31.png,pngs\32.png,-1,1,1,0,1,0,1,-1,-1,0,-1,0,0,6,6,15,10.420014799979981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.274500399944372,10.420014799979981,10.420014799979981,10.420014799979981,10.490743699949235,left,0.06676519999746233,None,,,,,,,,,,,,,,250317,001,2025-07-07_11h49.33.327,untitled,2023.2.3,59.966742449696724,2025-07-07 11h49.40.127254 +0200,
pngs\17.png,pngs\18.png,-1,-1,1,0,1,0,1,1,-1,0,-1,0,0,7,7,8,10.634309699991718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.491117499943357,10.634309699991718,10.634309699991718,10.634309699991718,10.65699930000119,left,0.012894899991806597,None,,,,,,,,,,,,,,250317,001,2025-07-07_11h49.33.327,untitled,2023.2.3,59.966742449696724,2025-07-07 11h49.40.127254 +0200,
pngs\49.png,pngs\50.png,0,-1,1,1,1,0,0,1,-1,-1,-1,0,0,8,8,24,10.791651299980003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.657321099948604,10.791651299980003,10.791651299980003,10.791651299980003,10.807142099947669,left,0.006796600006055087,None,,,,,,,,,,,,,,250317,001,2025-07-07_11h49.33.327,untitled,2023.2.3,59.966742449696724,2025-07-07 11h49.40.127254 +0200,
