imagen1,imagen2,hm1,cp1,ai1,pa1,vr1,cl1,hm2,cp2,ai2,pa2,vr2,cl2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Portada.started,image_11.started,text_19.started,Portada.stopped,Instruccions.started,text_8.started,key_resp_3.started,Instruccions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,instructions_2.started,image_3.started,image_4.started,key_resp_4.started,text_9.started,text_10.started,instructions_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,instructions_3.started,text_11.started,text_12.started,text_13.started,text_14.started,text_15.started,text_16.started,text_17.started,image_5.started,key_resp_5.started,text_18.started,image_6.started,image_7.started,image_8.started,image_9.started,image_10.started,instructions_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,trial.started,image.started,image_2.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,results.started,text.started,text_2.started,text_3.started,text_4.started,text_5.started,text_6.started,text_7.started,key_resp_2.started,results.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,0.0038917000056244433,0.05064760003006086,0.05064760003006086,5.012461800011806,5.012474799994379,5.029008999990765,5.029008999990765,6.762962799984962,space,1.720114099967759,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,621718,001,2025-07-07_14h12.59.350,tarea_coche_autonomo,2023.2.3,59.95203836702832,2025-07-07 14h13.06.067397 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7629926999798045,6.778092499997001,6.778092499997001,6.778092499997001,6.778092499997001,6.778092499997001,8.46403959998861,left,1.6750750999781303,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,621718,001,2025-07-07_14h12.59.350,tarea_coche_autonomo,2023.2.3,59.95203836702832,2025-07-07 14h13.06.067397 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.464063399995212,8.477929299988318,8.477929299988318,8.477929299988318,8.477929299988318,8.477929299988318,8.477929299988318,8.477929299988318,8.477929299988318,8.477929299988318,8.477929299988318,8.477929299988318,8.477929299988318,8.477929299988318,8.477929299988318,8.477929299988318,9.894685000006575,space,1.4078819999704137,None,,,,,,,,,,,,,,,,,,,,,,621718,001,2025-07-07_14h12.59.350,tarea_coche_autonomo,2023.2.3,59.95203836702832,2025-07-07 14h13.06.067397 +0200,
pngs\39.png,pngs\40.png,0,1,1,0,1,0,0,-1,-1,0,-1,0,0,0,0,19,10.049246900016442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.900374300021213,10.049246900016442,10.049246900016442,10.049246900016442,10.726641500019468,left,0.6686078000348061,None,,,,,,,,,,,,,,621718,001,2025-07-07_14h12.59.350,tarea_coche_autonomo,2023.2.3,59.95203836702832,2025-07-07 14h13.06.067397 +0200,
pngs\27.png,pngs\28.png,1,-1,1,0,-1,0,-1,1,-1,0,1,0,0,1,1,13,10.869547999987844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.727276600024197,10.869547999987844,10.869547999987844,10.869547999987844,10.879558100015856,right,0.008265400014352053,None,,,,,,,,,,,,,,621718,001,2025-07-07_14h12.59.350,tarea_coche_autonomo,2023.2.3,59.95203836702832,2025-07-07 14h13.06.067397 +0200,
pngs\41.png,pngs\42.png,0,-1,1,-1,1,0,0,1,-1,1,-1,0,0,2,2,20,11.046672300028149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.879920000035781,11.046672300028149,11.046672300028149,11.046672300028149,11.059917900012806,left,0.0074325999594293535,None,,,,,,,,,,,,,,621718,001,2025-07-07_14h12.59.350,tarea_coche_autonomo,2023.2.3,59.95203836702832,2025-07-07 14h13.06.067397 +0200,
pngs\79.png,pngs\80.png,0,1,1,0,1,-1,0,-1,-1,0,-1,1,0,3,3,39,11.245403599983547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.060301200021058,11.245403599983547,11.245403599983547,11.245403599983547,11.343523100018501,left,0.09670009999535978,None,,,,,,,,,,,,,,621718,001,2025-07-07_14h12.59.350,tarea_coche_autonomo,2023.2.3,59.95203836702832,2025-07-07 14h13.06.067397 +0200,
pngs\9.png,pngs\10.png,0,-1,1,0,1,0,0,1,-1,0,-1,0,0,4,4,4,11.495525699981954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.344046999991406,11.495525699981954,11.495525699981954,11.495525699981954,11.626682700007223,left,0.12671569996746257,None,,,,,,,,,,,,,,621718,001,2025-07-07_14h12.59.350,tarea_coche_autonomo,2023.2.3,59.95203836702832,2025-07-07 14h13.06.067397 +0200,
pngs\17.png,pngs\18.png,-1,-1,1,0,1,0,1,1,-1,0,-1,0,0,5,5,8,11.767310000024736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.627929700014647,11.767310000024736,11.767310000024736,11.767310000024736,12.04255190002732,right,0.27036969998152927,None,,,,,,,,,,,,,,621718,001,2025-07-07_14h12.59.350,tarea_coche_autonomo,2023.2.3,59.95203836702832,2025-07-07 14h13.06.067397 +0200,
pngs\53.png,pngs\54.png,0,1,1,-1,-1,0,0,-1,-1,1,1,0,0,6,6,26,12.273735199996736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.042960899998434,12.273735199996736,12.273735199996736,12.273735199996736,12.444670800003223,right,0.15596300002653152,None,,,,,,,,,,,,,,621718,001,2025-07-07_14h12.59.350,tarea_coche_autonomo,2023.2.3,59.95203836702832,2025-07-07 14h13.06.067397 +0200,
