imagen1,imagen2,hm1,cp1,ai1,pa1,vr1,cl1,hm2,cp2,ai2,pa2,vr2,cl2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Portada.started,image_11.started,text_19.started,Portada.stopped,Instruccions.started,text_8.started,key_resp_3.started,Instruccions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,instructions_2.started,image_3.started,image_4.started,key_resp_4.started,text_9.started,text_10.started,instructions_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,instructions_3.started,text_11.started,text_12.started,text_13.started,text_14.started,text_15.started,text_16.started,text_17.started,image_5.started,key_resp_5.started,text_18.started,image_6.started,image_7.started,image_8.started,image_9.started,image_10.started,instructions_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,trial.started,image.started,image_2.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,results.started,text.started,text_2.started,text_3.started,text_4.started,text_5.started,text_6.started,text_7.started,key_resp_2.started,results.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,0.0029094000346958637,0.052184500033035874,0.052184500033035874,5.0059532999875955,5.005962600000203,5.0228369000251405,5.0228369000251405,6.775645799993072,space,1.7410353000159375,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011391,001,2024-07-16_12h31.18.105,untitled,2023.2.3,60.05353171330823,2024-07-16 12h31.25.793846 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.775669499998912,6.791399500041734,6.791399500041734,6.791399500041734,6.791399500041734,6.791399500041734,9.028609900036827,right,2.227531499986071,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011391,001,2024-07-16_12h31.18.105,untitled,2023.2.3,60.05353171330823,2024-07-16 12h31.25.793846 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.02862960001221,9.043544100015424,9.043544100015424,9.043544100015424,9.043544100015424,9.043544100015424,9.043544100015424,9.043544100015424,9.043544100015424,9.043544100015424,9.043544100015424,9.043544100015424,9.043544100015424,9.043544100015424,9.043544100015424,9.043544100015424,10.096223600034136,space,1.048812699969858,None,,,,,,,,,,,,,,,,,,,,,,011391,001,2024-07-16_12h31.18.105,untitled,2023.2.3,60.05353171330823,2024-07-16 12h31.25.793846 +0200,
pngs\31.png,pngs\32.png,-1,1,1,0,1,0,1,-1,-1,0,-1,0,0,0,0,15,10.25287650001701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.103885299991816,10.25287650001701,10.25287650001701,10.25287650001701,10.780520700034685,right,0.5181282999692485,None,,,,,,,,,,,,,,011391,001,2024-07-16_12h31.18.105,untitled,2023.2.3,60.05353171330823,2024-07-16 12h31.25.793846 +0200,
pngs\67.png,pngs\68.png,0,-1,1,0,-1,-1,0,1,-1,0,1,1,0,1,1,33,10.92040480003925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.78093790001003,10.92040480003925,10.92040480003925,10.92040480003925,11.046214100031648,right,0.1242742000031285,None,,,,,,,,,,,,,,011391,001,2024-07-16_12h31.18.105,untitled,2023.2.3,60.05353171330823,2024-07-16 12h31.25.793846 +0200,
pngs\75.png,pngs\76.png,0,-1,1,0,-1,1,0,1,-1,0,1,-1,0,2,2,37,11.179469600028824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.04657170001883,11.179469600028824,11.179469600028824,11.179469600028824,11.312652799999341,right,0.12075329996878281,None,,,,,,,,,,,,,,011391,001,2024-07-16_12h31.18.105,untitled,2023.2.3,60.05353171330823,2024-07-16 12h31.25.793846 +0200,
pngs\59.png,pngs\60.png,0,-1,1,0,-1,0,0,1,-1,0,1,0,0,3,3,29,11.447588100039866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.313027600001078,11.447588100039866,11.447588100039866,11.447588100039866,11.529556000023149,left,0.07623750000493601,None,,,,,,,,,,,,,,011391,001,2024-07-16_12h31.18.105,untitled,2023.2.3,60.05353171330823,2024-07-16 12h31.25.793846 +0200,
pngs\41.png,pngs\42.png,0,-1,1,-1,1,0,0,1,-1,1,-1,0,0,4,4,20,11.678610200004186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.529920700006187,11.678610200004186,11.678610200004186,11.678610200004186,11.729865800007246,left,0.03730199998244643,None,,,,,,,,,,,,,,011391,001,2024-07-16_12h31.18.105,untitled,2023.2.3,60.05353171330823,2024-07-16 12h31.25.793846 +0200,
pngs\63.png,pngs\64.png,0,1,1,0,1,0,0,-1,-1,0,-1,0,0,5,5,31,11.87775220000185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.730388700030744,11.87775220000185,11.87775220000185,11.87775220000185,11.885210100037511,left,0.005960699985735118,None,,,,,,,,,,,,,,011391,001,2024-07-16_12h31.18.105,untitled,2023.2.3,60.05353171330823,2024-07-16 12h31.25.793846 +0200,
pngs\77.png,pngs\78.png,0,1,1,0,-1,-1,0,-1,-1,0,1,1,0,6,6,38,12.029128900030628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.885598300024867,12.029128900030628,12.029128900030628,12.029128900030628,12.14703809999628,left,0.11045719997491688,None,,,,,,,,,,,,,,011391,001,2024-07-16_12h31.18.105,untitled,2023.2.3,60.05353171330823,2024-07-16 12h31.25.793846 +0200,
