imagen1,imagen2,hm1,cp1,ai1,pa1,vr1,cl1,hm2,cp2,ai2,pa2,vr2,cl2
pngs\1.png,pngs\2.png,0,-1,1,0,1,0,0,1,-1,0,-1,0
pngs\3.png,pngs\4.png,0,-1,1,0,-1,0,0,1,-1,0,1,0
pngs\5.png,pngs\6.png,0,1,1,0,-1,0,0,-1,-1,0,1,0
pngs\7.png,pngs\8.png,0,1,1,0,1,0,0,-1,-1,0,-1,0
pngs\9.png,pngs\10.png,0,-1,1,0,1,0,0,1,-1,0,-1,0
pngs\11.png,pngs\12.png,0,-1,1,0,-1,0,0,1,-1,0,1,0
pngs\13.png,pngs\14.png,0,1,1,0,-1,0,0,-1,-1,0,1,0
pngs\15.png,pngs\16.png,0,1,1,0,1,0,0,-1,-1,0,-1,0
pngs\17.png,pngs\18.png,-1,-1,1,0,1,0,1,1,-1,0,-1,0
pngs\19.png,pngs\20.png,-1,-1,1,0,-1,0,1,1,-1,0,1,0
pngs\21.png,pngs\22.png,1,1,1,0,-1,0,-1,-1,-1,0,1,0
pngs\23.png,pngs\24.png,1,1,1,0,1,0,-1,-1,-1,0,-1,0
pngs\25.png,pngs\26.png,1,-1,1,0,1,0,-1,1,-1,0,-1,0
pngs\27.png,pngs\28.png,1,-1,1,0,-1,0,-1,1,-1,0,1,0
pngs\29.png,pngs\30.png,-1,1,1,0,-1,0,1,-1,-1,0,1,0
pngs\31.png,pngs\32.png,-1,1,1,0,1,0,1,-1,-1,0,-1,0
pngs\33.png,pngs\34.png,0,-1,1,0,1,0,0,1,-1,0,-1,0
pngs\35.png,pngs\36.png,0,-1,1,0,-1,0,0,1,-1,0,1,0
pngs\37.png,pngs\38.png,0,1,1,0,-1,0,0,-1,-1,0,1,0
pngs\39.png,pngs\40.png,0,1,1,0,1,0,0,-1,-1,0,-1,0
pngs\41.png,pngs\42.png,0,-1,1,-1,1,0,0,1,-1,1,-1,0
pngs\43.png,pngs\44.png,0,-1,1,-1,-1,0,0,1,-1,1,1,0
pngs\45.png,pngs\46.png,0,1,1,1,-1,0,0,-1,-1,-1,1,0
pngs\47.png,pngs\48.png,0,1,1,1,1,0,0,-1,-1,-1,-1,0
pngs\49.png,pngs\50.png,0,-1,1,1,1,0,0,1,-1,-1,-1,0
pngs\51.png,pngs\52.png,0,-1,1,1,-1,0,0,1,-1,-1,1,0
pngs\53.png,pngs\54.png,0,1,1,-1,-1,0,0,-1,-1,1,1,0
pngs\55.png,pngs\56.png,0,1,1,-1,1,0,0,-1,-1,1,-1,0
pngs\57.png,pngs\58.png,0,-1,1,0,1,0,0,1,-1,0,-1,0
pngs\59.png,pngs\60.png,0,-1,1,0,-1,0,0,1,-1,0,1,0
pngs\61.png,pngs\62.png,0,1,1,0,-1,0,0,-1,-1,0,1,0
pngs\63.png,pngs\64.png,0,1,1,0,1,0,0,-1,-1,0,-1,0
pngs\65.png,pngs\66.png,0,-1,1,0,1,-1,0,1,-1,0,-1,1
pngs\67.png,pngs\68.png,0,-1,1,0,-1,-1,0,1,-1,0,1,1
pngs\69.png,pngs\70.png,0,1,1,0,-1,1,0,-1,-1,0,1,-1
pngs\71.png,pngs\72.png,0,1,1,0,1,1,0,-1,-1,0,-1,-1
pngs\73.png,pngs\74.png,0,-1,1,0,1,1,0,1,-1,0,-1,-1
pngs\75.png,pngs\76.png,0,-1,1,0,-1,1,0,1,-1,0,1,-1
pngs\77.png,pngs\78.png,0,1,1,0,-1,-1,0,-1,-1,0,1,1
pngs\79.png,pngs\80.png,0,1,1,0,1,-1,0,-1,-1,0,-1,1
