Marca temporal,A quin centre educatiu estàs?,A quin curs vas?,Curs processat,Gènere?,El cervell...,El context...,Els automatismes del cervell...,El cervell humà...,Els anuncis publicitaris...,la informació que consumim i la manera en que parlem...,La discriminació...,Penses que el coneixement científic ajuda a combatre situacions de discriminació?,M'agraden les ciències,considero,Veig la utilitat de la ciència en els nostres problemes del dia a dia,T'ha agradat el taller?,"Si us plau, comenta si hi ha alguna cosa que t'ha agradat molt o alguna que no t'ha agradat gens",Mitjana,Bona nota
24/03/2023 10:54:31,IE El Molí,2n batxillerat,Batxillerat,Femení,"completa i, per tant, inventa part de la realitat",només té sentit al avaluar il·lusions òptiques,estàn seleccionats per no generar discriminació,crea automatismes per analitzar millor les coses,no usen el coneixement neurocientífic per fer-los més efectius (neuromarketing),Només afecten si estan a les xarxes socials,no es pot manifestar de manera inconscient,Si,No,"No, no m'agraden",Si,9,Me a gustado mucho el tema del racismo,"0,1428571429",Mala nota
24/03/2023 10:55:33,IE El Molí,2n batxillerat,Batxillerat,Femení,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,s'han seleccionat evolutivament per prendre decisions ràpides,crea automatismes per anar més ràpid,exploten els nostres automatismes pel seu propi benefici,Condicionen la manera en la que veiem el món,"encara que a vegades pot ser complicat, podem lluitar contra ella",Si,Si,"No, m'agradaria però són molt difícils o no em veig capaç",No,8,.,1,Bona nota
24/03/2023 10:56:11,IE El Molí,2n batxillerat,Batxillerat,Masculí,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,estàn seleccionats per no generar discriminació,crea automatismes per analitzar millor les coses,no usen el coneixement neurocientífic per fer-los més efectius (neuromarketing),Només afecten als més dèbils i vulnerables,"encara que a vegades pot ser complicat, podem lluitar contra ella",Si,No,"No, no m'agraden",Si,10,La reacció del cervell ,"0,4285714286",Mala nota
24/03/2023 10:56:21,IE El Molí,2n batxillerat,Batxillerat,Masculí,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,s'han seleccionat evolutivament per prendre decisions ràpides,crea automatismes per analitzar millor les coses,exploten els nostres automatismes pel seu propi benefici,Condicionen la manera en la que veiem el món,"encara que a vegades pot ser complicat, podem lluitar contra ella",No,Si,Si,Si,8,Ta bien todo,"0,8571428571",Bona nota
24/03/2023 10:56:37,IE El Molí,2n batxillerat,Batxillerat,Masculí,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,s'han seleccionat evolutivament per prendre decisions ràpides,crea automatismes per anar més ràpid,exploten els nostres automatismes pel seu propi benefici,No importen perquè succeeixen fora del cos,"encara que a vegades pot ser complicat, podem lluitar contra ella",Si,No,"No, no m'agraden",Si,7,Aprender cosas interesantes,"0,8571428571",Bona nota
24/03/2023 10:57:13,IE El Molí,2n batxillerat,Batxillerat,Femení,"completa i, per tant, inventa part de la realitat","és una cosa física, la cultura no hi té res a veure",s'han seleccionat evolutivament per prendre decisions ràpides,crea automatismes per analitzar millor les coses,exploten els nostres automatismes pel seu propi benefici,Condicionen la manera en la que veiem el món,no es pot manifestar de manera inconscient,Si,Si,"No, m'agradaria però són molt difícils o no em veig capaç",Depen de la situacio,10,M'ha agradat lo dela prejudicis.,"0,5714285714",Mala nota
24/03/2023 10:57:20,IE El Molí,2n batxillerat,Batxillerat,Altres / no aplica,només es pot estudiar desde la biologia,és irrellevant a l'hora d'analitzar una situació quotidiana,estàn seleccionats per no generar discriminació,no crea automatismes,no usen el coneixement neurocientífic per fer-los més efectius (neuromarketing),Condicionen la manera en la que veiem el món,com té un origen evolutiu justifica la seva existència i és bona,No,Si,"No, m'agradaria però són molt difícils o no em veig capaç",Si,6,Tot,"0,1428571429",Mala nota
24/03/2023 10:57:42,IE El Molí,2n batxillerat,Batxillerat,Femení,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,s'han seleccionat evolutivament per prendre decisions ràpides,crea automatismes per anar més ràpid,exploten els nostres automatismes pel seu propi benefici,Condicionen la manera en la que veiem el món,"encara que a vegades pot ser complicat, podem lluitar contra ella",Si,Si,Si,Si,10,"Han sigut molt amables i bons explicadors, el taller ha estat molt fluit",1,Bona nota
24/03/2023 10:57:49,IE El Molí,2n batxillerat,Batxillerat,Femení,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,s'han seleccionat evolutivament per prendre decisions ràpides,crea automatismes per anar més ràpid,exploten els nostres automatismes pel seu propi benefici,Condicionen la manera en la que veiem el món,"encara que a vegades pot ser complicat, podem lluitar contra ella",Si,Si,Si,Si,10,"Tot ha estat molt bé, hem pogut participar bastant.",1,Bona nota
24/03/2023 10:59:02,IE El Molí,2n batxillerat,Batxillerat,Masculí,"completa i, per tant, inventa part de la realitat",pot ser determinat per la societat i la cultura,s'han seleccionat evolutivament per prendre decisions ràpides,crea automatismes per anar més ràpid,exploten els nostres automatismes pel seu propi benefici,Condicionen la manera en la que veiem el món,"encara que a vegades pot ser complicat, podem lluitar contra ella",Si,Si,Si,Si,8,Eye tracker,1,Bona nota
24/03/2023 10:59:16,IE El Molí,2n batxillerat,Batxillerat,Masculí,"completa i, per tant, inventa part de la realitat",només té sentit al avaluar il·lusions òptiques,s'han seleccionat evolutivament per prendre decisions ràpides,crea automatismes per analitzar millor les coses,no usen el coneixement neurocientífic per fer-los més efectius (neuromarketing),Condicionen la manera en la que veiem el món,"afecta a la gent més dèbil i vulnerable, a mi no",No,Si,"No, m'agradaria però són molt difícils o no em veig capaç",Si,7,No se ,"0,4285714286",Mala nota
