timepresentation,posx,posy,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,thisRow.t,notes,portada.started,image_5.started,text_6.started,portada.stopped,instructions.started,text_5.started,key_resp_5.started,instructions.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Ronda_1.started,text_7.started,Ronda_1.stopped,control.started,control.stopped,key_resp.keys,music.started,music.stopped,key_resp_2.keys,music_words.started,music_words.stopped,key_resp_3.keys,music_video.started,image_4.started,Key_resp_4.started,music_video.stopped,Key_resp_4.keys,Key_resp_4.rt,Key_resp_4.duration,Ronda_2.started,text_8.started,Ronda_2.stopped,control2.started,control2.stopped,key_resp_6.keys,music2.started,music2.stopped,key_resp_7.keys,music_words2.started,image_8.started,key_resp_8.started,music_words2.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,music_video2.started,music_video2.stopped,Key_resp.keys,final.started,text_4.started,text_4.stopped,final.stopped,participant,Edad,Sexo,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0030573999974876642,0.017993399989791214,0.017993399989791214,3.00413019998814,3.0041453000012552,3.020376299988129,6.00788969999121,6.442528299987316,space,0.43080770000233315,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103853,166281,Hombre,2024-09-10_10h46.41.439,tarea_iceberg,2023.2.3,59.81759223108098,2024-09-10 10h46.57.697114 +0200,
5,0.5,0.1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.597724199993536,,,,,,,,,,,,,6.442549799990957,6.457533900000271,8.443795699990005,8.454514199998812,8.46067729999777,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103853,166281,Hombre,2024-09-10_10h46.41.439,tarea_iceberg,2023.2.3,59.81759223108098,2024-09-10 10h46.57.697114 +0200,
11,-0.8,0.15,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.597724199993536,,,,,,,,,,,,,,,,8.460984699995606,8.465569199994206,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103853,166281,Hombre,2024-09-10_10h46.41.439,tarea_iceberg,2023.2.3,59.81759223108098,2024-09-10 10h46.57.697114 +0200,
5,0.5,0.1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,8.597724199993536,,,,,,,,,,,,,,,,,,,8.483948699999019,8.489326700000674,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103853,166281,Hombre,2024-09-10_10h46.41.439,tarea_iceberg,2023.2.3,59.81759223108098,2024-09-10 10h46.57.697114 +0200,
11,-0.8,0.15,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,8.597724199993536,,,,,,,,,,,,,,,,,,,8.489570099991397,8.494435799992061,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103853,166281,Hombre,2024-09-10_10h46.41.439,tarea_iceberg,2023.2.3,59.81759223108098,2024-09-10 10h46.57.697114 +0200,
5,0.5,0.1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,8.597724199993536,,,,,,,,,,,,,,,,,,,,,,8.532363099991926,8.539368300000206,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103853,166281,Hombre,2024-09-10_10h46.41.439,tarea_iceberg,2023.2.3,59.81759223108098,2024-09-10 10h46.57.697114 +0200,
11,-0.8,0.15,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,8.597724199993536,,,,,,,,,,,,,,,,,,,,,,8.539649999991525,8.543881099991268,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103853,166281,Hombre,2024-09-10_10h46.41.439,tarea_iceberg,2023.2.3,59.81759223108098,2024-09-10 10h46.57.697114 +0200,
5,0.9,0.1,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,8.597724199993536,,,,,,,,,,,,,,,,,,,,,,,,,8.581487599993125,13.582057499996154,13.582057499996154,14.689000699989265,space,1.0872721999912756,None,,,,,,,,,,,,,,,,,,,,,,,,103853,166281,Hombre,2024-09-10_10h46.41.439,tarea_iceberg,2023.2.3,59.81759223108098,2024-09-10 10h46.57.697114 +0200,
13,-0.5,0.15,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,14.704038700001547,,,,,,,,,,,,,,,,,,,,,,,,,14.689731599995866,27.695416499991552,27.695416499991552,28.32065729999158,space,0.6065631000092253,None,,,,,,,,,,,,,,,,,,,,,,,,103853,166281,Hombre,2024-09-10_10h46.41.439,tarea_iceberg,2023.2.3,59.81759223108098,2024-09-10 10h46.57.697114 +0200,
11,-0.6,0.15,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,30.694676200000686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.36372379999375,28.372806499988656,30.365501499996753,30.373544699992635,30.378814999989117,None,,,,,,,,,,,,,,,,,,103853,166281,Hombre,2024-09-10_10h46.41.439,tarea_iceberg,2023.2.3,59.81759223108098,2024-09-10 10h46.57.697114 +0200,
13,0.8,0.1,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,30.694676200000686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.379082100000232,30.383609199998318,None,,,,,,,,,,,,,,,,,,103853,166281,Hombre,2024-09-10_10h46.41.439,tarea_iceberg,2023.2.3,59.81759223108098,2024-09-10 10h46.57.697114 +0200,
13,0.8,0.1,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,30.694676200000686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.391405899994425,30.396228999990853,None,,,,,,,,,,,,,,,103853,166281,Hombre,2024-09-10_10h46.41.439,tarea_iceberg,2023.2.3,59.81759223108098,2024-09-10 10h46.57.697114 +0200,
11,-0.6,0.15,,,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,30.694676200000686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.3964866999886,30.400805400000536,None,,,,,,,,,,,,,,,103853,166281,Hombre,2024-09-10_10h46.41.439,tarea_iceberg,2023.2.3,59.81759223108098,2024-09-10 10h46.57.697114 +0200,
13,0.8,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,30.694676200000686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.407986299993354,43.41132069999003,43.41132069999003,43.96269549999852,space,0.5464567000017269,None,,,,,,,,103853,166281,Hombre,2024-09-10_10h46.41.439,tarea_iceberg,2023.2.3,59.81759223108098,2024-09-10 10h46.57.697114 +0200,
