timepresentation,posx,posy,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,thisRow.t,notes,portada.started,image_5.started,text_6.started,image_5.stopped,text_6.stopped,portada.stopped,instructions.started,text_5.started,key_resp_5.started,instructions.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,control.started,image.started,key_resp.started,control.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instructions2.started,text.started,text.stopped,instructions2.stopped,music.started,image_2.started,key_resp_2.started,music.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions3.started,text_2.started,text_2.stopped,instructions3.stopped,music_words.started,image_3.started,key_resp_3.started,music_words.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,instructions4.started,text_3.started,instructions4.stopped,music_video.started,image_4.started,Key_resp_4.started,music_video.stopped,Key_resp_4.keys,Key_resp_4.rt,Key_resp_4.duration,final.started,text_4.started,final.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,0.002628700007335283,0.01422130000719335,0.01422130000719335,3.0157528999989154,3.0157528999989154,3.000168600003235,3.000184700009413,3.0157528999989154,6.013637900003232,12.881602299996302,space,6.856781599999522,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108354,001,2024-08-30_11h12.54.570,tarea_iceberg,2023.2.3,60.39077663564067,2024-08-30 11h13.05.830903 +0200,
14,-0.7,0.15,0,0,0,6,,,,,,,,,,,,,12.909690300002694,,,,,,,,,,,,,,,12.89149219999672,26.89457129999937,26.89457129999937,27.221825500004343,space,0.32418320000579115,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108354,001,2024-08-30_11h12.54.570,tarea_iceberg,2023.2.3,60.39077663564067,2024-08-30 11h13.05.830903 +0200,
10,0.5,0.1,0,1,1,1,,,,,,,,,,,,,27.25192059999972,,,,,,,,,,,,,,,27.222404000000097,37.247406000009505,37.247406000009505,37.61315849999664,space,0.34430340000835713,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108354,001,2024-08-30_11h12.54.570,tarea_iceberg,2023.2.3,60.39077663564067,2024-08-30 11h13.05.830903 +0200,
3,-0.7,0.15,0,2,2,7,,,,,,,,,,,,,37.62744779999775,,,,,,,,,,,,,,,37.613646400001016,40.64513550000265,40.64513550000265,41.01645880000433,space,0.3424987000034889,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108354,001,2024-08-30_11h12.54.570,tarea_iceberg,2023.2.3,60.39077663564067,2024-08-30 11h13.05.830903 +0200,
11,0.6,0.1,0,3,3,5,,,,,,,,,,,,,41.03167110000504,,,,,,,,,,,,,,,41.01689630000328,52.028089800005546,52.028089800005546,52.40456579999591,space,0.3662685000017518,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108354,001,2024-08-30_11h12.54.570,tarea_iceberg,2023.2.3,60.39077663564067,2024-08-30 11h13.05.830903 +0200,
11,0.7,0.1,0,4,4,4,,,,,,,,,,,,,52.43977579999773,,,,,,,,,,,,,,,52.404810100008035,63.4133792000066,63.4133792000066,63.86555319999752,space,0.4060643999982858,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108354,001,2024-08-30_11h12.54.570,tarea_iceberg,2023.2.3,60.39077663564067,2024-08-30 11h13.05.830903 +0200,
6,0.7,0.1,0,5,5,3,,,,,,,,,,,,,63.88015009999799,,,,,,,,,,,,,,,63.86601040000096,69.87649989999773,69.87649989999773,70.2725366000086,space,0.375846900002216,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108354,001,2024-08-30_11h12.54.570,tarea_iceberg,2023.2.3,60.39077663564067,2024-08-30 11h13.05.830903 +0200,
9,0.5,0.1,0,6,6,0,,,,,,,,,,,,,70.28530610000598,,,,,,,,,,,,,,,70.27291450000484,79.3092261999991,79.3092261999991,79.63902210000379,space,0.3242169000004651,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108354,001,2024-08-30_11h12.54.570,tarea_iceberg,2023.2.3,60.39077663564067,2024-08-30 11h13.05.830903 +0200,
10,-0.6,0.15,0,7,7,2,,,,,,,,,,,,,79.67419700000028,,,,,,,,,,,,,,,79.63935490000586,89.630785500005,89.630785500005,89.92962239999906,space,0.2860670999943977,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108354,001,2024-08-30_11h12.54.570,tarea_iceberg,2023.2.3,60.39077663564067,2024-08-30 11h13.05.830903 +0200,
14,-0.7,0.15,,,,,0,0,0,6,,,,,,,,,91.18001589999767,,,,,,,,,,,,,,,,,,,,,,89.92987680000078,89.93544719999772,91.18001589999767,90.92739460000303,90.93559249999817,104.94412860000739,104.94412860000739,105.36250160000054,space,0.3997652999969432,None,,,,,,,,,,,,,,,,,,,,,,,,,108354,001,2024-08-30_11h12.54.570,tarea_iceberg,2023.2.3,60.39077663564067,2024-08-30 11h13.05.830903 +0200,
