timepresentation,posx,posy,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,portada.started,image_5.started,text_6.started,portada.stopped,instructions.started,text_5.started,key_resp_5.started,instructions.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Ronda_1.started,text_7.started,Ronda_1.stopped,control.started,control.stopped,key_resp.keys,music.started,music.stopped,key_resp_2.keys,music_words.started,image_3.started,key_resp_3.started,music_words.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,Edad,Sexo,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.0051620000740513206,0.025278600049205124,0.025278600049205124,3.0108009000541642,3.01081200002227,3.0276947000529617,6.014199499972165,6.549477300024591,space,0.5301456999732181,None,,,,,,,,,,,,,,,,,133480,253664,Hombre,2024-09-18_14h38.09.260,tarea_iceberg,2023.2.3,59.950277266211366,2024-09-18 14h39.25.678062 +0200,
14,0,0.05,0,0,0,3,,,,,,,,,8.748972599976696,,,,,,,,,,,,,6.549503299989738,6.564259800012223,8.550526599981822,8.605610699974932,8.610875500016846,None,,,,,,,,,,,133480,253664,Hombre,2024-09-18_14h38.09.260,tarea_iceberg,2023.2.3,59.950277266211366,2024-09-18 14h39.25.678062 +0200,
9,0,0.05,0,1,1,1,,,,,,,,,8.748972599976696,,,,,,,,,,,,,,,,8.6111090000486,8.6157389000291,None,,,,,,,,,,,133480,253664,Hombre,2024-09-18_14h38.09.260,tarea_iceberg,2023.2.3,59.950277266211366,2024-09-18 14h39.25.678062 +0200,
8,-0.6,0.05,0,2,2,0,,,,,,,,,8.748972599976696,,,,,,,,,,,,,,,,8.615938300034031,8.620276000001468,None,,,,,,,,,,,133480,253664,Hombre,2024-09-18_14h38.09.260,tarea_iceberg,2023.2.3,59.950277266211366,2024-09-18 14h39.25.678062 +0200,
13,0.7,0.05,0,3,3,2,,,,,,,,,8.748972599976696,,,,,,,,,,,,,,,,8.620489199995063,8.624627800076269,None,,,,,,,,,,,133480,253664,Hombre,2024-09-18_14h38.09.260,tarea_iceberg,2023.2.3,59.950277266211366,2024-09-18 14h39.25.678062 +0200,
5,0,0.05,0,4,4,6,,,,,,,,,8.748972599976696,,,,,,,,,,,,,,,,8.62480059999507,8.628959499998018,None,,,,,,,,,,,133480,253664,Hombre,2024-09-18_14h38.09.260,tarea_iceberg,2023.2.3,59.950277266211366,2024-09-18 14h39.25.678062 +0200,
15,-0.2,0.05,0,5,5,5,,,,,,,,,8.748972599976696,,,,,,,,,,,,,,,,8.629173599998467,8.633419800084084,None,,,,,,,,,,,133480,253664,Hombre,2024-09-18_14h38.09.260,tarea_iceberg,2023.2.3,59.950277266211366,2024-09-18 14h39.25.678062 +0200,
8,0.3,0.05,0,6,6,7,,,,,,,,,8.748972599976696,,,,,,,,,,,,,,,,8.633609000011347,8.63755260000471,None,,,,,,,,,,,133480,253664,Hombre,2024-09-18_14h38.09.260,tarea_iceberg,2023.2.3,59.950277266211366,2024-09-18 14h39.25.678062 +0200,
11,0.7,0.05,0,7,7,4,,,,,,,,,8.748972599976696,,,,,,,,,,,,,,,,8.637737600016408,8.641544200014323,None,,,,,,,,,,,133480,253664,Hombre,2024-09-18_14h38.09.260,tarea_iceberg,2023.2.3,59.950277266211366,2024-09-18 14h39.25.678062 +0200,
5,0,0.05,,,,,0,0,0,6,,,,,8.748972599976696,,,,,,,,,,,,,,,,,,,8.654221500037238,8.658542499993928,None,,,,,,,,133480,253664,Hombre,2024-09-18_14h38.09.260,tarea_iceberg,2023.2.3,59.950277266211366,2024-09-18 14h39.25.678062 +0200,
13,0.7,0.05,,,,,0,1,1,2,,,,,8.748972599976696,,,,,,,,,,,,,,,,,,,8.658762900042348,8.662626300007105,None,,,,,,,,133480,253664,Hombre,2024-09-18_14h38.09.260,tarea_iceberg,2023.2.3,59.950277266211366,2024-09-18 14h39.25.678062 +0200,
9,0,0.05,,,,,0,2,2,1,,,,,8.748972599976696,,,,,,,,,,,,,,,,,,,8.662855500006117,8.66704990004655,None,,,,,,,,133480,253664,Hombre,2024-09-18_14h38.09.260,tarea_iceberg,2023.2.3,59.950277266211366,2024-09-18 14h39.25.678062 +0200,
8,0.3,0.05,,,,,0,3,3,7,,,,,8.748972599976696,,,,,,,,,,,,,,,,,,,8.667241199989803,8.671412200084887,None,,,,,,,,133480,253664,Hombre,2024-09-18_14h38.09.260,tarea_iceberg,2023.2.3,59.950277266211366,2024-09-18 14h39.25.678062 +0200,
15,-0.2,0.05,,,,,0,4,4,5,,,,,8.748972599976696,,,,,,,,,,,,,,,,,,,8.67160280002281,8.675676500075497,None,,,,,,,,133480,253664,Hombre,2024-09-18_14h38.09.260,tarea_iceberg,2023.2.3,59.950277266211366,2024-09-18 14h39.25.678062 +0200,
14,0,0.05,,,,,0,5,5,3,,,,,8.748972599976696,,,,,,,,,,,,,,,,,,,8.675855300039984,8.679917000001296,None,,,,,,,,133480,253664,Hombre,2024-09-18_14h38.09.260,tarea_iceberg,2023.2.3,59.950277266211366,2024-09-18 14h39.25.678062 +0200,
11,0.7,0.05,,,,,0,6,6,4,,,,,8.748972599976696,,,,,,,,,,,,,,,,,,,8.680149000021629,8.684076400008053,None,,,,,,,,133480,253664,Hombre,2024-09-18_14h38.09.260,tarea_iceberg,2023.2.3,59.950277266211366,2024-09-18 14h39.25.678062 +0200,
8,-0.6,0.05,,,,,0,7,7,0,,,,,8.748972599976696,,,,,,,,,,,,,,,,,,,8.684253000072204,8.688184299971908,None,,,,,,,,133480,253664,Hombre,2024-09-18_14h38.09.260,tarea_iceberg,2023.2.3,59.950277266211366,2024-09-18 14h39.25.678062 +0200,
13,0.7,0.05,,,,,,,,,0,0,0,2,8.748972599976696,,,,,,,,,,,,,,,,,,,,,,8.726252300082706,21.72915320005268,21.72915320005268,23.404812399996445,space,1.6618812000378966,None,133480,253664,Hombre,2024-09-18_14h38.09.260,tarea_iceberg,2023.2.3,59.950277266211366,2024-09-18 14h39.25.678062 +0200,
15,-0.2,0.05,,,,,,,,,0,1,1,5,23.421095099998638,,,,,,,,,,,,,,,,,,,,,,23.405465500080027,38.41445590008516,38.41445590008516,39.404072800069116,space,0.9774301999714226,None,133480,253664,Hombre,2024-09-18_14h38.09.260,tarea_iceberg,2023.2.3,59.950277266211366,2024-09-18 14h39.25.678062 +0200,
8,-0.6,0.05,,,,,,,,,0,2,2,0,39.429882399970666,,,,,,,,,,,,,,,,,,,,,,39.40443990007043,47.40546749997884,47.40546749997884,49.36508340004366,space,1.954641000018455,None,133480,253664,Hombre,2024-09-18_14h38.09.260,tarea_iceberg,2023.2.3,59.950277266211366,2024-09-18 14h39.25.678062 +0200,
,,,,,,,,,,,,,,,49.38107450003736,,,,,,,,,,,,,,,,,,,,,,49.36552200000733,,,,,,,,,,,,,,,
