timepresentation,posx,posy,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,thisRow.t,notes,control.started,movie.started,image.started,key_resp.started,control.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instructions2.started,text.started,text.stopped,instructions2.stopped,music.started,movie_2.started,image_2.started,key_resp_2.started,music.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions3.started,text_2.started,text_2.stopped,instructions3.stopped,music_words.started,image_3.started,key_resp_3.started,music_words.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,instructions4.started,text_3.started,text_3.stopped,instructions4.stopped,music_video.started,image_4.started,Key_resp_4.started,music_video.stopped,Key_resp_4.keys,Key_resp_4.rt,Key_resp_4.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
2,-0.8,0.15,0,0,0,0,,,,,,,,,,,,,0.04585599999882106,,0.009170499999527237,0.04585599999882106,2.013104799998473,2.013104799998473,2.3618002999992314,space,0.34528900000077556,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191107,001,2024-08-29_13h52.45.233,tarea_iceberg,2023.2.3,60.13460530074507,2024-08-29 13h52.54.385365 +0200,
2,-0.7,0.15,0,1,1,1,,,,,,,,,,,,,2.5518832999987353,,2.4929974999995466,2.5518832999987353,4.4927056999986235,4.4927056999986235,4.826529199999641,space,0.3194225999995979,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191107,001,2024-08-29_13h52.45.233,tarea_iceberg,2023.2.3,60.13460530074507,2024-08-29 13h52.54.385365 +0200,
2,-0.7,0.15,,,,,0,0,0,1,,,,,,,,,5.979031099999702,,,,,,,,,,4.955848199999309,4.959858199999871,5.979031099999702,5.955488599998716,5.96009999999842,5.979031099999702,7.9572565999988,7.9572565999988,8.4583834999994,space,0.4840950000016164,None,,,,,,,,,,,,,,,,,,,,,,,191107,001,2024-08-29_13h52.45.233,tarea_iceberg,2023.2.3,60.13460530074507,2024-08-29 13h52.54.385365 +0200,
2,-0.8,0.15,,,,,0,1,1,0,,,,,,,,,8.648233399999299,,,,,,,,,,,,,,8.592650899998262,8.648233399999299,10.605472399998689,10.605472399998689,11.656052599999384,space,1.0354594000000361,None,,,,,,,,,,,,,,,,,,,,,,,191107,001,2024-08-29_13h52.45.233,tarea_iceberg,2023.2.3,60.13460530074507,2024-08-29 13h52.54.385365 +0200,
8,0.5,0.1,,,,,,,,,0,0,0,4,,,,,12.82114509999883,,,,,,,,,,,,,,,,,,,,,,11.803975999999238,11.807012399998712,12.82114509999883,12.801496599999155,12.805775299999368,20.8141171999996,20.8141171999996,21.21204299999954,space,0.39080920000014885,None,,,,,,,,,,,,191107,001,2024-08-29_13h52.45.233,tarea_iceberg,2023.2.3,60.13460530074507,2024-08-29 13h52.54.385365 +0200,
6,-0.7,0.15,,,,,,,,,0,1,1,1,,,,,21.23778819999825,,,,,,,,,,,,,,,,,,,,,,,,,,21.21279929999946,27.218036299998857,27.218036299998857,27.764691299998958,space,0.5308358000002045,None,,,,,,,,,,,,191107,001,2024-08-29_13h52.45.233,tarea_iceberg,2023.2.3,60.13460530074507,2024-08-29 13h52.54.385365 +0200,
13,-0.8,0.15,,,,,,,,,0,2,2,0,,,,,27.801040399999692,,,,,,,,,,,,,,,,,,,,,,,,,,27.765265099998942,40.78251849999833,40.78251849999833,41.140419099998326,space,0.3532788000011351,None,,,,,,,,,,,,191107,001,2024-08-29_13h52.45.233,tarea_iceberg,2023.2.3,60.13460530074507,2024-08-29 13h52.54.385365 +0200,
12,0.8,0.1,,,,,,,,,0,3,3,7,,,,,41.17891789999885,,,,,,,,,,,,,,,,,,,,,,,,,,41.140708099999756,53.1494307999983,53.1494307999983,53.54527959999905,space,0.3818384000005608,None,,,,,,,,,,,,191107,001,2024-08-29_13h52.45.233,tarea_iceberg,2023.2.3,60.13460530074507,2024-08-29 13h52.54.385365 +0200,
5,-0.6,0.15,,,,,,,,,0,4,4,2,,,,,53.55994849999843,,,,,,,,,,,,,,,,,,,,,,,,,,53.545814499999324,58.58626419999928,58.58626419999928,58.98114199999873,space,0.3843218000001798,None,,,,,,,,,,,,191107,001,2024-08-29_13h52.45.233,tarea_iceberg,2023.2.3,60.13460530074507,2024-08-29 13h52.54.385365 +0200,
14,0.6,0.1,,,,,,,,,0,5,5,5,,,,,58.99492899999859,,,,,,,,,,,,,,,,,,,,,,,,,,58.98159019999912,72.98104169999897,72.98104169999897,73.36866659999941,space,0.38423540000076173,None,,,,,,,,,,,,191107,001,2024-08-29_13h52.45.233,tarea_iceberg,2023.2.3,60.13460530074507,2024-08-29 13h52.54.385365 +0200,
10,-0.5,0.15,,,,,,,,,0,6,6,3,,,,,73.3827698999994,,,,,,,,,,,,,,,,,,,,,,,,,,73.36893309999869,83.38601149999886,83.38601149999886,84.0112152999991,space,0.6063874000010401,None,,,,,,,,,,,,191107,001,2024-08-29_13h52.45.233,tarea_iceberg,2023.2.3,60.13460530074507,2024-08-29 13h52.54.385365 +0200,
7,0.7,0.1,,,,,,,,,0,7,7,6,,,,,84.04467869999826,,,,,,,,,,,,,,,,,,,,,,,,,,84.01174959999844,91.05709619999834,91.05709619999834,91.53740889999972,space,0.44109170000047015,None,,,,,,,,,,,,191107,001,2024-08-29_13h52.45.233,tarea_iceberg,2023.2.3,60.13460530074507,2024-08-29 13h52.54.385365 +0200,
7,-0.6,0.15,,,,,,,,,,,,,0,0,0,2,92.8256722999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.53782579999825,91.54592049999883,92.8256722999995,92.53503009999986,92.54007079999974,99.53085109999847,99.53085109999847,99.98913999999968,space,0.44576499999857333,None,191107,001,2024-08-29_13h52.45.233,tarea_iceberg,2023.2.3,60.13460530074507,2024-08-29 13h52.54.385365 +0200,
14,-0.5,0.15,,,,,,,,,,,,,0,1,1,3,100.01030059999903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.9896590999997,114.0122838999996,114.0122838999996,114.44306469999901,space,0.3978465000000142,None,191107,001,2024-08-29_13h52.45.233,tarea_iceberg,2023.2.3,60.13460530074507,2024-08-29 13h52.54.385365 +0200,
12,-0.7,0.15,,,,,,,,,,,,,0,2,2,1,114.47707309999896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.44370419999905,126.43532019999839,126.43532019999839,126.84353159999955,space,0.3979837000006228,None,191107,001,2024-08-29_13h52.45.233,tarea_iceberg,2023.2.3,60.13460530074507,2024-08-29 13h52.54.385365 +0200,
,,,,,,,,,,,,,,,,,,,126.91507359999923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.84419059999891,,,,,,,,,,,,,,
