timepresentation,posx,posy,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,thisRow.t,notes,portada.started,image_5.started,text_6.started,portada.stopped,instructions.started,text_5.started,key_resp_5.started,instructions.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Ronda_1.started,text_7.started,Ronda_1.stopped,control.started,control.stopped,key_resp.keys,music.started,music.stopped,key_resp_2.keys,music_words.started,image_3.started,key_resp_3.started,music_words.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,music_video.started,music_video.stopped,Key_resp_4.keys,Ronda_2.started,text_8.started,Ronda_2.stopped,control2.started,control2.stopped,key_resp_6.keys,music2.started,image_7.started,key_resp_7.started,music2.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,music_words2.started,music_words2.stopped,key_resp_8.keys,music_video2.started,music_video2.stopped,Key_resp.keys,final.started,text_4.started,final.stopped,participant,Edad,Sexo,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002747799997450784,0.019499999994877726,0.019499999994877726,3.017432499997085,3.017450100000133,3.032317899996997,6.00234079999791,8.189004100000602,space,2.175210799992783,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208415,527727,Hombre,2024-09-10_10h09.59.672,tarea_iceberg,2023.2.3,59.89609225935905,2024-09-10 10h10.20.382724 +0200,
10,0.8,0.1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.326737799987313,,,,,,,,,,,,,8.18903519999003,8.204341099990415,10.189705899989349,10.240531899995403,10.247071599995252,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208415,527727,Hombre,2024-09-10_10h09.59.672,tarea_iceberg,2023.2.3,59.89609225935905,2024-09-10 10h10.20.382724 +0200,
13,0.9,0.1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.326737799987313,,,,,,,,,,,,,,,,10.247350499994354,10.25279669999145,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208415,527727,Hombre,2024-09-10_10h09.59.672,tarea_iceberg,2023.2.3,59.89609225935905,2024-09-10 10h10.20.382724 +0200,
10,0.8,0.1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,10.326737799987313,,,,,,,,,,,,,,,,,,,10.262672299999394,10.26774869998917,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208415,527727,Hombre,2024-09-10_10h09.59.672,tarea_iceberg,2023.2.3,59.89609225935905,2024-09-10 10h10.20.382724 +0200,
13,0.9,0.1,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,10.326737799987313,,,,,,,,,,,,,,,,,,,10.268033899992588,10.27326489999541,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208415,527727,Hombre,2024-09-10_10h09.59.672,tarea_iceberg,2023.2.3,59.89609225935905,2024-09-10 10h10.20.382724 +0200,
10,0.8,0.1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,10.326737799987313,,,,,,,,,,,,,,,,,,,,,,10.306534599993029,20.299499299988383,20.299499299988383,20.788375999996788,space,0.47050060000037774,None,,,,,,,,,,,,,,,,,,,,,,,,,,208415,527727,Hombre,2024-09-10_10h09.59.672,tarea_iceberg,2023.2.3,59.89609225935905,2024-09-10 10h10.20.382724 +0200,
13,0.9,0.1,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,20.807835799991153,,,,,,,,,,,,,,,,,,,,,,20.789100099995267,33.80222099999082,33.80222099999082,34.24926849998883,space,0.44620089999807533,None,,,,,,,,,,,,,,,,,,,,,,,,,,208415,527727,Hombre,2024-09-10_10h09.59.672,tarea_iceberg,2023.2.3,59.89609225935905,2024-09-10 10h10.20.382724 +0200,
3,-0.6,0.15,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,34.38319480000064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.290076899997075,34.29781789999106,None,,,,,,,,,,,,,,,,,,,,,,,208415,527727,Hombre,2024-09-10_10h09.59.672,tarea_iceberg,2023.2.3,59.89609225935905,2024-09-10 10h10.20.382724 +0200,
9,-0.6,0.15,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,34.38319480000064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.29816979999305,34.30428449998726,None,,,,,,,,,,,,,,,,,,,,,,,208415,527727,Hombre,2024-09-10_10h09.59.672,tarea_iceberg,2023.2.3,59.89609225935905,2024-09-10 10h10.20.382724 +0200,
11,-0.7,0.15,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,36.9550440999883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.36946589998843,34.38319480000064,36.3824992999871,36.39231669998844,36.39897349999228,None,,,,,,,,,,,,,,,,,208415,527727,Hombre,2024-09-10_10h09.59.672,tarea_iceberg,2023.2.3,59.89609225935905,2024-09-10 10h10.20.382724 +0200,
9,0.9,0.1,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,36.9550440999883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.39929349999875,36.40398879999702,None,,,,,,,,,,,,,,,,,208415,527727,Hombre,2024-09-10_10h09.59.672,tarea_iceberg,2023.2.3,59.89609225935905,2024-09-10 10h10.20.382724 +0200,
9,0.9,0.1,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,36.9550440999883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.413575099999434,45.4121940999903,45.4121940999903,46.5620862999931,space,1.1330975000018952,None,,,,,,,,,,208415,527727,Hombre,2024-09-10_10h09.59.672,tarea_iceberg,2023.2.3,59.89609225935905,2024-09-10 10h10.20.382724 +0200,
11,-0.7,0.15,,,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,46.57916369999293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.56256679999933,57.569796299998416,57.569796299998416,57.956774499994935,space,0.38277550000930205,None,,,,,,,,,,208415,527727,Hombre,2024-09-10_10h09.59.672,tarea_iceberg,2023.2.3,59.89609225935905,2024-09-10 10h10.20.382724 +0200,
9,0.9,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,58.009891199995764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.967202799991355,57.97411369999463,None,,,,,,,208415,527727,Hombre,2024-09-10_10h09.59.672,tarea_iceberg,2023.2.3,59.89609225935905,2024-09-10 10h10.20.382724 +0200,
11,-0.7,0.15,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,58.009891199995764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.97442909999518,57.979607799992664,None,,,,,,,208415,527727,Hombre,2024-09-10_10h09.59.672,tarea_iceberg,2023.2.3,59.89609225935905,2024-09-10 10h10.20.382724 +0200,
15,0.9,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,58.009891199995764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.9892189999955,57.995713199998136,None,,,,208415,527727,Hombre,2024-09-10_10h09.59.672,tarea_iceberg,2023.2.3,59.89609225935905,2024-09-10 10h10.20.382724 +0200,
5,0.6,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,58.009891199995764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.99602799999411,58.001974300001166,None,,,,208415,527727,Hombre,2024-09-10_10h09.59.672,tarea_iceberg,2023.2.3,59.89609225935905,2024-09-10 10h10.20.382724 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.00210800000059,58.009891199995764,60.00576609998825,,,,,,,,,
