routineName,timepresentation,posx,posy,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,thisRow.t,notes,portada.started,image_5.started,text_6.started,portada.stopped,instructions.started,text_5.started,key_resp_5.started,instructions.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,random_routines.started,random_routines.stopped,executedRoutine,nueva_ronda.started,text_7.started,text_7.stopped,nueva_ronda.stopped,control.started,control.stopped,key_resp.keys,music.started,music.stopped,key_resp_2.keys,music_words.started,music_words.stopped,key_resp_3.keys,music_video.started,image_4.started,Key_resp_4.started,music_video.stopped,Key_resp_4.keys,Key_resp_4.rt,Key_resp_4.duration,image_3.started,key_resp_3.started,key_resp_3.rt,key_resp_3.duration,participant,Edad,Sexo,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.002181500007282011,0.014211300003807992,0.014211300003807992,3.0100173000100767,3.0100576000113506,3.026127200006158,6.007496700010961,7.158647900010692,space,1.1349016000021948,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,231049,353617,Hombre,2024-08-30_16h40.27.119,tarea_iceberg,2023.2.3,60.07781277938015,2024-08-30 16h40.36.564814 +0200,
music_video,3,-0.8,0.15,0,0,0,0,0,0,0,1,,,,,,,,,,,,,21.600820900013787,,,,,,,,,,,,,7.1657443000003695,7.165784300013911,music_video,7.165794900007313,7.1733871000033105,21.600820900013787,9.15681840000616,9.167771700012963,9.773857800013502,None,,,,,,,,,,,,,,,,,,231049,353617,Hombre,2024-08-30_16h40.27.119,tarea_iceberg,2023.2.3,60.07781277938015,2024-08-30 16h40.36.564814 +0200,
music_video,3,-0.5,0.15,0,0,0,0,0,1,1,0,,,,,,,,,,,,,21.600820900013787,,,,,,,,,,,,,,,,,,,,9.774182100009057,10.373118300005444,None,,,,,,,,,,,,,,,,,,231049,353617,Hombre,2024-08-30_16h40.27.119,tarea_iceberg,2023.2.3,60.07781277938015,2024-08-30 16h40.36.564814 +0200,
music_video,3,-0.5,0.15,0,0,0,0,,,,,0,0,0,0,,,,,,,,,21.600820900013787,,,,,,,,,,,,,,,,,,,,,,,10.412248000007821,12.519141900003888,None,,,,,,,,,,,,,,,231049,353617,Hombre,2024-08-30_16h40.27.119,tarea_iceberg,2023.2.3,60.07781277938015,2024-08-30 16h40.36.564814 +0200,
music_video,3,-0.8,0.15,0,0,0,0,,,,,0,1,1,1,,,,,,,,,21.600820900013787,,,,,,,,,,,,,,,,,,,,,,,12.519678000011481,14.73669200000586,None,,,,,,,,,,,,,,,231049,353617,Hombre,2024-08-30_16h40.27.119,tarea_iceberg,2023.2.3,60.07781277938015,2024-08-30 16h40.36.564814 +0200,
music_video,3,-0.5,0.15,0,0,0,0,,,,,,,,,0,0,0,0,,,,,21.600820900013787,,,,,,,,,,,,,,,,,,,,,,,,,,14.876169000010123,18.135243900003843,None,,,,,,,,,,,,231049,353617,Hombre,2024-08-30_16h40.27.119,tarea_iceberg,2023.2.3,60.07781277938015,2024-08-30 16h40.36.564814 +0200,
music_video,3,-0.8,0.15,0,0,0,0,,,,,,,,,0,1,1,1,,,,,21.600820900013787,,,,,,,,,,,,,,,,,,,,,,,,,,18.135532300002524,21.36177590000443,None,,,,,,,,,,,,231049,353617,Hombre,2024-08-30_16h40.27.119,tarea_iceberg,2023.2.3,60.07781277938015,2024-08-30 16h40.36.564814 +0200,
music_video,9,0.7,0.1,0,0,0,0,,,,,,,,,,,,,0,0,0,1,21.600820900013787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.454255800010287,30.39828860000125,30.39828860000125,30.909573100012494,space,0.4943781000038143,None,,,,,231049,353617,Hombre,2024-08-30_16h40.27.119,tarea_iceberg,2023.2.3,60.07781277938015,2024-08-30 16h40.36.564814 +0200,
music_video,10,0.8,0.1,0,0,0,0,,,,,,,,,,,,,0,1,1,0,30.92780830000993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.910222300008172,40.93062510000891,40.93062510000891,41.53022410000267,space,0.5758887999982107,None,,,,,231049,353617,Hombre,2024-08-30_16h40.27.119,tarea_iceberg,2023.2.3,60.07781277938015,2024-08-30 16h40.36.564814 +0200,
music_video,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231049,353617,Hombre,2024-08-30_16h40.27.119,tarea_iceberg,2023.2.3,60.07781277938015,2024-08-30 16h40.36.564814 +0200,
music_words,8,0.7,0.1,0,1,1,1,0,0,0,0,,,,,,,,,,,,,54.89512440000544,,,,,,,,,,,,,41.58629240001028,41.58635680000589,music_words,41.586368400006904,41.59349130000919,54.89512440000544,43.58449370000744,43.595790100007434,44.2191923000064,None,,,,,,,,,,,,,,,,,,231049,353617,Hombre,2024-08-30_16h40.27.119,tarea_iceberg,2023.2.3,60.07781277938015,2024-08-30 16h40.36.564814 +0200,
music_words,14,0.9,0.1,0,1,1,1,0,1,1,1,,,,,,,,,,,,,54.89512440000544,,,,,,,,,,,,,,,,,,,,44.21953360000043,44.832783100006054,None,,,,,,,,,,,,,,,,,,231049,353617,Hombre,2024-08-30_16h40.27.119,tarea_iceberg,2023.2.3,60.07781277938015,2024-08-30 16h40.36.564814 +0200,
music_words,8,0.7,0.1,0,1,1,1,,,,,0,0,0,0,,,,,,,,,54.89512440000544,,,,,,,,,,,,,,,,,,,,,,,44.872018300011405,47.180529200006276,None,,,,,,,,,,,,,,,231049,353617,Hombre,2024-08-30_16h40.27.119,tarea_iceberg,2023.2.3,60.07781277938015,2024-08-30 16h40.36.564814 +0200,
music_words,14,0.9,0.1,0,1,1,1,,,,,0,1,1,1,,,,,,,,,54.89512440000544,,,,,,,,,,,,,,,,,,,,,,,47.18101630000456,50.06509950000327,None,,,,,,,,,,,,,,,231049,353617,Hombre,2024-08-30_16h40.27.119,tarea_iceberg,2023.2.3,60.07781277938015,2024-08-30 16h40.36.564814 +0200,
music_words,14,0.9,0.1,0,1,1,1,,,,,,,,,0,0,0,1,,,,,54.89512440000544,,,,,,,,,,,,,,,,,,,,,,,,,,50.101377600003616,64.57547310000518,space,,,,,,,,64.09066790000361,64.09066790000361,0.4827632999949856,None,231049,353617,Hombre,2024-08-30_16h40.27.119,tarea_iceberg,2023.2.3,60.07781277938015,2024-08-30 16h40.36.564814 +0200,
music_words,8,0.7,0.1,0,1,1,1,,,,,,,,,0,1,1,0,,,,,68.90428539999994,,,,,,,,,,,,,,,,,,,,,,,,,,64.57590000001073,73.00305210000079,space,,,,,,,,72.58518300000287,72.58518300000287,0.3966263999900548,None,231049,353617,Hombre,2024-08-30_16h40.27.119,tarea_iceberg,2023.2.3,60.07781277938015,2024-08-30 16h40.36.564814 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.15142740000738,,,,,,,,,,,,,,,,,,,
