timepresentation,posx,posy,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,thisRow.t,notes,portada.started,image_5.started,text_6.started,portada.stopped,instructions.started,text_5.started,key_resp_5.started,instructions.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Ronda_1.started,text_7.started,Ronda_1.stopped,control.started,image.started,key_resp.started,control.stopped,key_resp.keys,key_resp.rt,key_resp.duration,music.started,music.stopped,key_resp_2.keys,music_words.started,music_words.stopped,key_resp_3.keys,music_video.started,music_video.stopped,Key_resp_4.keys,Ronda_2.started,text_8.started,text_8.stopped,Ronda_2.stopped,control2.started,control2.stopped,key_resp_6.keys,music2.started,music2.stopped,key_resp_7.keys,music_words2.started,music_words2.stopped,key_resp_8.keys,music_video2.started,image_9.started,Key_resp.started,music_video2.stopped,Key_resp.keys,Key_resp.rt,Key_resp.duration,final.started,text_4.started,final.stopped,participant,Edad,Sexo,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0018898999987868592,0.012712600000668317,0.012712600000668317,3.0116160999896238,3.01163359999191,3.0279386999900453,6.009319399992819,6.810108399993624,space,0.7849162999918917,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237691,525203,Hombre,2024-08-30_17h58.58.198,tarea_iceberg,2023.2.3,60.0829023869646,2024-08-30 17h59.12.257105 +0200,
3,0.8,0.1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.84597219999705,,,,,,,,,,,,,6.810149400000228,6.825160099993809,8.824501600000076,8.833075899994583,11.825154699996347,11.825154699996347,12.382410599995637,space,0.5382681000046432,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237691,525203,Hombre,2024-08-30_17h58.58.198,tarea_iceberg,2023.2.3,60.0829023869646,2024-08-30 17h59.12.257105 +0200,
12,0.9,0.1,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.396257200001855,,,,,,,,,,,,,,,,12.383078499988187,24.383847499993863,24.383847499993863,24.823998499996378,space,0.4219735000078799,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237691,525203,Hombre,2024-08-30_17h58.58.198,tarea_iceberg,2023.2.3,60.0829023869646,2024-08-30 17h59.12.257105 +0200,
12,0.9,0.1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,24.9934276999993,,,,,,,,,,,,,,,,,,,,,,,24.832569899997907,24.838296499990975,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237691,525203,Hombre,2024-08-30_17h58.58.198,tarea_iceberg,2023.2.3,60.0829023869646,2024-08-30 17h59.12.257105 +0200,
3,0.8,0.1,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,24.9934276999993,,,,,,,,,,,,,,,,,,,,,,,24.838506299987785,24.843368099987856,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237691,525203,Hombre,2024-08-30_17h58.58.198,tarea_iceberg,2023.2.3,60.0829023869646,2024-08-30 17h59.12.257105 +0200,
12,0.9,0.1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,24.9934276999993,,,,,,,,,,,,,,,,,,,,,,,,,,24.88110769999912,24.886571399998502,None,,,,,,,,,,,,,,,,,,,,,,,,,,,237691,525203,Hombre,2024-08-30_17h58.58.198,tarea_iceberg,2023.2.3,60.0829023869646,2024-08-30 17h59.12.257105 +0200,
3,0.8,0.1,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,24.9934276999993,,,,,,,,,,,,,,,,,,,,,,,,,,24.88682980000158,24.89153290000104,None,,,,,,,,,,,,,,,,,,,,,,,,,,,237691,525203,Hombre,2024-08-30_17h58.58.198,tarea_iceberg,2023.2.3,60.0829023869646,2024-08-30 17h59.12.257105 +0200,
15,-0.5,0.15,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,24.9934276999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.92014119999658,24.925842600001488,None,,,,,,,,,,,,,,,,,,,,,,,,237691,525203,Hombre,2024-08-30_17h58.58.198,tarea_iceberg,2023.2.3,60.0829023869646,2024-08-30 17h59.12.257105 +0200,
6,0.5,0.1,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,24.9934276999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.926088699998218,24.930235099993297,None,,,,,,,,,,,,,,,,,,,,,,,,237691,525203,Hombre,2024-08-30_17h58.58.198,tarea_iceberg,2023.2.3,60.0829023869646,2024-08-30 17h59.12.257105 +0200,
7,0.9,0.1,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,27.480022899995674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.984156199992867,24.9934276999993,27.480022899995674,26.98017299998901,26.989467399995192,26.99444070000027,None,,,,,,,,,,,,,,,,,237691,525203,Hombre,2024-08-30_17h58.58.198,tarea_iceberg,2023.2.3,60.0829023869646,2024-08-30 17h59.12.257105 +0200,
12,0.7,0.1,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,27.480022899995674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.994697000001906,26.99851829999534,None,,,,,,,,,,,,,,,,,237691,525203,Hombre,2024-08-30_17h58.58.198,tarea_iceberg,2023.2.3,60.0829023869646,2024-08-30 17h59.12.257105 +0200,
12,0.7,0.1,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,27.480022899995674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.005543999999645,27.009325699997135,None,,,,,,,,,,,,,,237691,525203,Hombre,2024-08-30_17h58.58.198,tarea_iceberg,2023.2.3,60.0829023869646,2024-08-30 17h59.12.257105 +0200,
7,0.9,0.1,,,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,27.480022899995674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.009545799999614,27.01339249999728,None,,,,,,,,,,,,,,237691,525203,Hombre,2024-08-30_17h58.58.198,tarea_iceberg,2023.2.3,60.0829023869646,2024-08-30 17h59.12.257105 +0200,
7,0.9,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,27.480022899995674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.021572199999355,27.025800999996136,None,,,,,,,,,,,237691,525203,Hombre,2024-08-30_17h58.58.198,tarea_iceberg,2023.2.3,60.0829023869646,2024-08-30 17h59.12.257105 +0200,
