timepresentation,posx,posy,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,trials_9.thisRepN,trials_9.thisTrialN,trials_9.thisN,trials_9.thisIndex,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,trials_11.thisRepN,trials_11.thisTrialN,trials_11.thisN,trials_11.thisIndex,trials_12.thisRepN,trials_12.thisTrialN,trials_12.thisN,trials_12.thisIndex,trials_13.thisRepN,trials_13.thisTrialN,trials_13.thisN,trials_13.thisIndex,trials_14.thisRepN,trials_14.thisTrialN,trials_14.thisN,trials_14.thisIndex,trials_15.thisRepN,trials_15.thisTrialN,trials_15.thisN,trials_15.thisIndex,trials_16.thisRepN,trials_16.thisTrialN,trials_16.thisN,trials_16.thisIndex,thisRow.t,notes,portada.started,image_5.started,text_6.started,portada.stopped,instructions.started,text_5.started,key_resp_5.started,instructions.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Ronda_1.started,text_7.started,Ronda_1.stopped,control.started,control.stopped,key_resp.keys,music.started,music.stopped,key_resp_2.keys,music_words.started,music_words.stopped,key_resp_3.keys,music_video.started,image_4.started,Key_resp_4.started,music_video.stopped,Key_resp_4.keys,Key_resp_4.rt,Key_resp_4.duration,Ronda_2.started,text_8.started,text_8.stopped,Ronda_2.stopped,control2.started,control2.stopped,key_resp_6.keys,music2.started,image_7.started,key_resp_7.started,music2.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,music_words2.started,music_words2.stopped,key_resp_8.keys,music_video2.started,music_video2.stopped,Key_resp.keys,Ronda_3.started,text_9.started,text_9.stopped,Ronda_3.stopped,control3.started,control3.stopped,key_resp_9.keys,music3.started,music3.stopped,key_resp_10.keys,music_words3.started,music_words3.stopped,key_resp_11.keys,music_video3.started,image_13.started,Key_resp_2.started,music_video3.stopped,Key_resp_2.keys,Key_resp_2.rt,Key_resp_2.duration,Ronda_4.started,text_10.started,text_10.stopped,Ronda_4.stopped,control4.started,image_14.started,key_resp_12.started,control4.stopped,key_resp_12.keys,key_resp_12.rt,key_resp_12.duration,music4.started,music4.stopped,key_resp_13.keys,music_words4.started,music_words4.stopped,key_resp_14.keys,music_video4.started,music_video4.stopped,Key_resp_3.keys,final.started,text_4.started,final.stopped,participant,Edad,Sexo,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004534900072030723,0.03195380000397563,0.03195380000397563,3.0027199001051486,3.002734100096859,3.019059600075707,6.006003100075759,6.023551200050861,space,0.005479500046931207,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262110,690788,Hombre,2024-09-18_14h21.38.721,tarea_iceberg,2023.2.3,60.07160533934257,2024-09-18 14h22.04.199818 +0200,
3,-0.2,0.05,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.260967600042932,,,,,,,,,,,,,6.023572700098157,6.038657400058582,8.02457350003533,8.07871300005354,8.084665700094774,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262110,690788,Hombre,2024-09-18_14h21.38.721,tarea_iceberg,2023.2.3,60.07160533934257,2024-09-18 14h22.04.199818 +0200,
4,-0.2,0.05,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.260967600042932,,,,,,,,,,,,,,,,8.08490030001849,8.090211100061424,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262110,690788,Hombre,2024-09-18_14h21.38.721,tarea_iceberg,2023.2.3,60.07160533934257,2024-09-18 14h22.04.199818 +0200,
10,-0.4,0.05,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.260967600042932,,,,,,,,,,,,,,,,8.090408300049603,8.095228500082158,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262110,690788,Hombre,2024-09-18_14h21.38.721,tarea_iceberg,2023.2.3,60.07160533934257,2024-09-18 14h22.04.199818 +0200,
3,-0.2,0.05,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.260967600042932,,,,,,,,,,,,,,,,,,,8.109002600074746,8.11409640009515,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262110,690788,Hombre,2024-09-18_14h21.38.721,tarea_iceberg,2023.2.3,60.07160533934257,2024-09-18 14h22.04.199818 +0200,
10,-0.4,0.05,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.260967600042932,,,,,,,,,,,,,,,,,,,8.114323600078933,8.119169200072065,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262110,690788,Hombre,2024-09-18_14h21.38.721,tarea_iceberg,2023.2.3,60.07160533934257,2024-09-18 14h22.04.199818 +0200,
4,-0.2,0.05,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.260967600042932,,,,,,,,,,,,,,,,,,,8.119349600048736,8.124247400090098,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262110,690788,Hombre,2024-09-18_14h21.38.721,tarea_iceberg,2023.2.3,60.07160533934257,2024-09-18 14h22.04.199818 +0200,
4,-0.2,0.05,,,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.260967600042932,,,,,,,,,,,,,,,,,,,,,,8.161915200063959,8.168967400095426,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262110,690788,Hombre,2024-09-18_14h21.38.721,tarea_iceberg,2023.2.3,60.07160533934257,2024-09-18 14h22.04.199818 +0200,
3,-0.2,0.05,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.260967600042932,,,,,,,,,,,,,,,,,,,,,,8.169553400017321,8.177679400076158,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262110,690788,Hombre,2024-09-18_14h21.38.721,tarea_iceberg,2023.2.3,60.07160533934257,2024-09-18 14h22.04.199818 +0200,
10,-0.4,0.05,,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.260967600042932,,,,,,,,,,,,,,,,,,,,,,8.178054300020449,8.185657300055027,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262110,690788,Hombre,2024-09-18_14h21.38.721,tarea_iceberg,2023.2.3,60.07160533934257,2024-09-18 14h22.04.199818 +0200,
10,-0.4,0.05,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.260967600042932,,,,,,,,,,,,,,,,,,,,,,,,,8.231260900036432,18.219558700104244,18.219558700104244,19.010313000064343,space,0.7675640999805182,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262110,690788,Hombre,2024-09-18_14h21.38.721,tarea_iceberg,2023.2.3,60.07160533934257,2024-09-18 14h22.04.199818 +0200,
4,-0.2,0.05,,,,,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0258063999936,,,,,,,,,,,,,,,,,,,,,,,,,19.01099920005072,23.023159000091255,23.023159000091255,24.760804600082338,space,1.7310643000528216,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262110,690788,Hombre,2024-09-18_14h21.38.721,tarea_iceberg,2023.2.3,60.07160533934257,2024-09-18 14h22.04.199818 +0200,
3,-0.2,0.05,,,,,,,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.78414900007192,,,,,,,,,,,,,,,,,,,,,,,,,24.76106430008076,27.761249200091697,27.761249200091697,29.313647000002675,space,1.5441449999343604,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262110,690788,Hombre,2024-09-18_14h21.38.721,tarea_iceberg,2023.2.3,60.07160533934257,2024-09-18 14h22.04.199818 +0200,
4,0.1,0.05,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.942604900104925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.36903760000132,29.379689500085078,31.942604900104925,31.364803100004792,31.378585900063626,31.38451470003929,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262110,690788,Hombre,2024-09-18_14h21.38.721,tarea_iceberg,2023.2.3,60.07160533934257,2024-09-18 14h22.04.199818 +0200,
11,-0.4,0.05,,,,,,,,,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.942604900104925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.38474510004744,31.38897490000818,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262110,690788,Hombre,2024-09-18_14h21.38.721,tarea_iceberg,2023.2.3,60.07160533934257,2024-09-18 14h22.04.199818 +0200,
15,-0.6,0.05,,,,,,,,,,,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.942604900104925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.389164800057188,31.393071300000884,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262110,690788,Hombre,2024-09-18_14h21.38.721,tarea_iceberg,2023.2.3,60.07160533934257,2024-09-18 14h22.04.199818 +0200,
4,0.1,0.05,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.942604900104925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.405559400096536,35.40148860006593,35.40148860006593,36.18809130007867,space,0.7845989000052214,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262110,690788,Hombre,2024-09-18_14h21.38.721,tarea_iceberg,2023.2.3,60.07160533934257,2024-09-18 14h22.04.199818 +0200,
11,-0.4,0.05,,,,,,,,,,,,,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.21845710009802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.18844920000993,47.19620310002938,47.19620310002938,47.716109000029974,space,0.5018962998874485,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262110,690788,Hombre,2024-09-18_14h21.38.721,tarea_iceberg,2023.2.3,60.07160533934257,2024-09-18 14h22.04.199818 +0200,
15,-0.6,0.05,,,,,,,,,,,,,,,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.731744899996556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.716399600030854,62.72864520002622,62.72864520002622,63.17185300006531,space,0.4259717999957502,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262110,690788,Hombre,2024-09-18_14h21.38.721,tarea_iceberg,2023.2.3,60.07160533934257,2024-09-18 14h22.04.199818 +0200,
