timepresentation,posx,posy,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,thisRow.t,notes,portada.started,image_5.started,text_6.started,portada.stopped,instructions.started,text_5.started,key_resp_5.started,instructions.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Ronda_1.started,text_7.started,Ronda_1.stopped,control.started,control.stopped,key_resp.keys,music.started,music.stopped,key_resp_2.keys,music_words.started,music_words.stopped,key_resp_3.keys,music_video.started,image_4.started,Key_resp_4.started,music_video.stopped,Key_resp_4.keys,Key_resp_4.rt,Key_resp_4.duration,Ronda_2.started,text_8.started,Ronda_2.stopped,control2.started,control2.stopped,key_resp_6.keys,music2.started,music2.stopped,key_resp_7.keys,music_words2.started,participant,Edad,Sexo,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0026129000034416094,0.02599969999573659,0.02599969999573659,3.0157509999989998,3.0157696999958716,3.03168060000462,5.9994234000041615,12.256941200001165,space,6.24636519998603,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275328,893979,Hombre,2024-09-10_10h43.00.961,tarea_iceberg,2023.2.3,60.13062777467406,2024-09-10 10h44.02.514163 +0200,
7,0.6,0.1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,14.38327209999261,,,,,,,,,,,,,12.256964899992454,12.272744000001694,14.25804600000265,14.277859800000442,14.284412900000461,None,,,,,,,,,,,,,,,,,,,,,,,,275328,893979,Hombre,2024-09-10_10h43.00.961,tarea_iceberg,2023.2.3,60.13062777467406,2024-09-10 10h44.02.514163 +0200,
14,0.8,0.1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,14.38327209999261,,,,,,,,,,,,,,,,14.284656100004213,14.2899594999908,None,,,,,,,,,,,,,,,,,,,,,,,,275328,893979,Hombre,2024-09-10_10h43.00.961,tarea_iceberg,2023.2.3,60.13062777467406,2024-09-10 10h44.02.514163 +0200,
7,0.6,0.1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,14.38327209999261,,,,,,,,,,,,,,,,,,,14.297825699992245,14.302791099995375,None,,,,,,,,,,,,,,,,,,,,,275328,893979,Hombre,2024-09-10_10h43.00.961,tarea_iceberg,2023.2.3,60.13062777467406,2024-09-10 10h44.02.514163 +0200,
14,0.8,0.1,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,14.38327209999261,,,,,,,,,,,,,,,,,,,14.303023999993457,14.307757399990805,None,,,,,,,,,,,,,,,,,,,,,275328,893979,Hombre,2024-09-10_10h43.00.961,tarea_iceberg,2023.2.3,60.13062777467406,2024-09-10 10h44.02.514163 +0200,
7,0.6,0.1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,14.38327209999261,,,,,,,,,,,,,,,,,,,,,,14.321295999994618,14.32852979999734,None,,,,,,,,,,,,,,,,,,275328,893979,Hombre,2024-09-10_10h43.00.961,tarea_iceberg,2023.2.3,60.13062777467406,2024-09-10 10h44.02.514163 +0200,
14,0.8,0.1,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,14.38327209999261,,,,,,,,,,,,,,,,,,,,,,14.328788600003463,14.333315700001549,None,,,,,,,,,,,,,,,,,,275328,893979,Hombre,2024-09-10_10h43.00.961,tarea_iceberg,2023.2.3,60.13062777467406,2024-09-10 10h44.02.514163 +0200,
14,0.9,0.1,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,14.38327209999261,,,,,,,,,,,,,,,,,,,,,,,,,14.36740319999808,28.372185000000172,28.372185000000172,29.87910429999465,space,1.5059187000006204,None,,,,,,,,,,,275328,893979,Hombre,2024-09-10_10h43.00.961,tarea_iceberg,2023.2.3,60.13062777467406,2024-09-10 10h44.02.514163 +0200,
7,0.9,0.1,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,29.8948240000027,,,,,,,,,,,,,,,,,,,,,,,,,29.87948829999368,36.88329289999092,36.88329289999092,37.28634690000035,space,0.3940989999973681,None,,,,,,,,,,,275328,893979,Hombre,2024-09-10_10h43.00.961,tarea_iceberg,2023.2.3,60.13062777467406,2024-09-10 10h44.02.514163 +0200,
13,-0.5,0.15,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,39.84272610000335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.32915839999623,37.33865340000193,39.33329789999698,39.34075049999228,39.34619029999885,None,,,,,275328,893979,Hombre,2024-09-10_10h43.00.961,tarea_iceberg,2023.2.3,60.13062777467406,2024-09-10 10h44.02.514163 +0200,
