timepresentation,posx,posy,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,trials_9.thisRepN,trials_9.thisTrialN,trials_9.thisN,trials_9.thisIndex,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,trials_11.thisRepN,trials_11.thisTrialN,trials_11.thisN,trials_11.thisIndex,trials_12.thisRepN,trials_12.thisTrialN,trials_12.thisN,trials_12.thisIndex,trials_13.thisRepN,trials_13.thisTrialN,trials_13.thisN,trials_13.thisIndex,trials_14.thisRepN,trials_14.thisTrialN,trials_14.thisN,trials_14.thisIndex,trials_15.thisRepN,trials_15.thisTrialN,trials_15.thisN,trials_15.thisIndex,trials_16.thisRepN,trials_16.thisTrialN,trials_16.thisN,trials_16.thisIndex,thisRow.t,notes,portada.started,image_5.started,text_6.started,portada.stopped,instructions.started,text_5.started,key_resp_5.started,instructions.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Ronda_1.started,text_7.started,Ronda_1.stopped,control.started,image.started,key_resp.started,control.stopped,key_resp.keys,key_resp.rt,key_resp.duration,music.started,music.stopped,key_resp_2.keys,music_words.started,music_words.stopped,key_resp_3.keys,music_video.started,music_video.stopped,Key_resp_4.keys,Ronda_2.started,text_8.started,Ronda_2.stopped,control2.started,control2.stopped,key_resp_6.keys,music2.started,image_7.started,key_resp_7.started,music2.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,music_words2.started,music_words2.stopped,key_resp_8.keys,music_video2.started,music_video2.stopped,Key_resp.keys,Ronda_3.started,text_9.started,Ronda_3.stopped,control3.started,control3.stopped,key_resp_9.keys,music3.started,music3.stopped,key_resp_10.keys,music_words3.started,image_12.started,key_resp_11.started,music_words3.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,music_video3.started,music_video3.stopped,Key_resp_2.keys,Ronda_4.started,text_10.started,Ronda_4.stopped,control4.started,control4.stopped,key_resp_12.keys,music4.started,music4.stopped,key_resp_13.keys,music_words4.started,music_words4.stopped,key_resp_14.keys,music_video4.started,image_17.started,Key_resp_3.started,music_video4.stopped,Key_resp_3.keys,Key_resp_3.rt,Key_resp_3.duration,final.started,text_4.started,text_4.stopped,final.stopped,participant,Edad,Sexo,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006722999969497323,0.02861869998741895,0.02861869998741895,3.0163495999295264,3.0163603000110015,3.033186199958436,6.0027526000048965,6.137452999944799,space,0.11810409999452531,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277114,457303,Hombre,2024-09-18_14h27.41.415,tarea_iceberg,2023.2.3,59.916548251821126,2024-09-18 14h28.08.050583 +0200,
14,-0.1,0.05,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.20549469999969,,,,,,,,,,,,,6.137474199989811,6.152691099909134,8.138162099989131,8.190765899955295,22.151709700003266,22.151709700003266,22.55920029990375,space,0.3925411000382155,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277114,457303,Hombre,2024-09-18_14h27.41.415,tarea_iceberg,2023.2.3,59.916548251821126,2024-09-18 14h28.08.050583 +0200,
14,-0.6,0.05,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.575226399931125,,,,,,,,,,,,,,,,22.559694799943827,36.56629149999935,36.56629149999935,37.002693399903364,space,0.434189600055106,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277114,457303,Hombre,2024-09-18_14h27.41.415,tarea_iceberg,2023.2.3,59.916548251821126,2024-09-18 14h28.08.050583 +0200,
14,-0.7,0.05,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.02676239993889,,,,,,,,,,,,,,,,37.00296409998555,51.01385129999835,51.01385129999835,51.3998614999,space,0.3780423999996856,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277114,457303,Hombre,2024-09-18_14h27.41.415,tarea_iceberg,2023.2.3,59.916548251821126,2024-09-18 14h28.08.050583 +0200,
5,-0.2,0.05,0,3,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.43024419993162,,,,,,,,,,,,,,,,51.40012999996543,56.40292999998201,56.40292999998201,56.86183499998879,space,0.4370082000968978,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277114,457303,Hombre,2024-09-18_14h27.41.415,tarea_iceberg,2023.2.3,59.916548251821126,2024-09-18 14h28.08.050583 +0200,
15,-0.6,0.05,0,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.87840129993856,,,,,,,,,,,,,,,,56.86229620000813,71.86925849993713,71.86925849993713,72.27066139993258,space,0.39441940002143383,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277114,457303,Hombre,2024-09-18_14h27.41.415,tarea_iceberg,2023.2.3,59.916548251821126,2024-09-18 14h28.08.050583 +0200,
13,-0.2,0.05,0,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.2943096999079,,,,,,,,,,,,,,,,72.27091590000782,85.28122599993367,85.28122599993367,85.72297439991962,space,0.4298346000723541,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277114,457303,Hombre,2024-09-18_14h27.41.415,tarea_iceberg,2023.2.3,59.916548251821126,2024-09-18 14h28.08.050583 +0200,
4,0.1,0.05,0,6,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.73959619994275,,,,,,,,,,,,,,,,85.72328159993049,89.73712730000261,89.73712730000261,90.20416339999065,space,0.45451940002385527,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277114,457303,Hombre,2024-09-18_14h27.41.415,tarea_iceberg,2023.2.3,59.916548251821126,2024-09-18 14h28.08.050583 +0200,
4,-0.7,0.05,0,7,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.22700219997205,,,,,,,,,,,,,,,,90.20444130001124,94.20709039992653,94.20709039992653,94.62666969990823,space,0.4168735999846831,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277114,457303,Hombre,2024-09-18_14h27.41.415,tarea_iceberg,2023.2.3,59.916548251821126,2024-09-18 14h28.08.050583 +0200,
4,-0.7,0.05,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.86540799995419,,,,,,,,,,,,,,,,,,,,,,,94.64087639993522,94.64578739996068,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277114,457303,Hombre,2024-09-18_14h27.41.415,tarea_iceberg,2023.2.3,59.916548251821126,2024-09-18 14h28.08.050583 +0200,
