timepresentation,posx,posy,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,thisRow.t,notes,portada.started,image_5.started,text_6.started,portada.stopped,instructions.started,text_5.started,key_resp_5.started,instructions.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,random_routines.started,random_routines.stopped,nueva_ronda.started,text_7.started,text_7.stopped,nueva_ronda.stopped,control.started,control.stopped,key_resp.keys,music.started,image_2.started,key_resp_2.started,music.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,music_words.started,music_words.stopped,key_resp_3.keys,music_video.started,music_video.stopped,Key_resp_4.keys,final.started,text_4.started,final.stopped,participant,Edad,Sexo,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,0.0020459999941522256,0.01264689999516122,0.01264689999516122,3.0066687999933492,3.0066866999986814,3.0225971000036225,6.004222999996273,7.305079099998693,space,1.2987867000047117,None,,,,,,,,,,,,,,,,,,,,,,,,,,280017,762957,Hombre,2024-08-30_17h40.38.459,tarea_iceberg,2023.2.3,60.046716346278046,2024-08-30 17h40.50.160852 +0200,
6,-0.7,0.15,0,0,0,1,,,,,,,,,,,,,9.34680169999774,,,,,,,,,,,,,7.30512180000369,7.30514339999354,7.305154999994556,7.319247499995981,9.34680169999774,9.30337480000162,9.315320599998813,9.321247400002903,None,,,,,,,,,,,,,,,,,280017,762957,Hombre,2024-08-30_17h40.38.459,tarea_iceberg,2023.2.3,60.046716346278046,2024-08-30 17h40.50.160852 +0200,
13,0.8,0.1,0,1,1,0,,,,,,,,,,,,,9.34680169999774,,,,,,,,,,,,,,,,,,,9.321496599994134,9.326581400004216,None,,,,,,,,,,,,,,,,,280017,762957,Hombre,2024-08-30_17h40.38.459,tarea_iceberg,2023.2.3,60.046716346278046,2024-08-30 17h40.50.160852 +0200,
13,0.8,0.1,,,,,0,0,0,0,,,,,,,,,9.34680169999774,,,,,,,,,,,,,,,,,,,,,,9.334147500005201,22.32982699999411,22.32982699999411,22.704706499993335,space,0.350814099991112,None,,,,,,,,,,280017,762957,Hombre,2024-08-30_17h40.38.459,tarea_iceberg,2023.2.3,60.046716346278046,2024-08-30 17h40.50.160852 +0200,
6,-0.7,0.15,,,,,0,1,1,1,,,,,,,,,22.719321800002945,,,,,,,,,,,,,,,,,,,,,,22.705326199997216,28.70925270000589,28.70925270000589,29.14430970000103,space,0.42287019999639597,None,,,,,,,,,,280017,762957,Hombre,2024-08-30_17h40.38.459,tarea_iceberg,2023.2.3,60.046716346278046,2024-08-30 17h40.50.160852 +0200,
6,-0.7,0.15,,,,,,,,,0,0,0,1,,,,,29.27379849999852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.173882400005823,29.179546500003198,None,,,,,,,280017,762957,Hombre,2024-08-30_17h40.38.459,tarea_iceberg,2023.2.3,60.046716346278046,2024-08-30 17h40.50.160852 +0200,
13,0.8,0.1,,,,,,,,,0,1,1,0,,,,,29.27379849999852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.179814699993585,29.184508999998798,None,,,,,,,280017,762957,Hombre,2024-08-30_17h40.38.459,tarea_iceberg,2023.2.3,60.046716346278046,2024-08-30 17h40.50.160852 +0200,
12,0.7,0.1,,,,,,,,,,,,,0,0,0,1,29.27379849999852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.214279899999383,29.22034280000662,None,,,,280017,762957,Hombre,2024-08-30_17h40.38.459,tarea_iceberg,2023.2.3,60.046716346278046,2024-08-30 17h40.50.160852 +0200,
6,0.8,0.1,,,,,,,,,,,,,0,1,1,0,29.27379849999852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.220587999996496,29.225364300000365,None,,,,280017,762957,Hombre,2024-08-30_17h40.38.459,tarea_iceberg,2023.2.3,60.046716346278046,2024-08-30 17h40.50.160852 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.26676860000589,29.27379849999852,31.271914099997957,,,,,,,,,
