routineName,timepresentation,posx,posy,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,thisRow.t,notes,portada.started,image_5.started,text_6.started,portada.stopped,instructions.started,text_5.started,key_resp_5.started,instructions.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,random_routines.started,random_routines.stopped,executedRoutine,nueva_ronda.started,text_7.started,nueva_ronda.stopped,control.started,control.stopped,key_resp.keys,music.started,image_2.started,key_resp_2.started,music.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,music_words.started,music_words.stopped,key_resp_3.keys,music_video.started,music_video.stopped,Key_resp_4.keys,image.started,key_resp.started,key_resp.rt,key_resp.duration,participant,Edad,Sexo,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.0020905999990645796,0.014704500004881993,0.014704500004881993,3.010275600012392,3.010293900006218,3.0263624000072014,6.007540999999037,6.39245500000834,space,0.38343089999398217,None,,,,,,,,,,,,,,,,,,,,,,,,,,,307365,747588,Hombre,2024-08-30_12h59.36.678,tarea_iceberg,2023.2.3,60.10709882724875,2024-08-30 12h59.48.361669 +0200,
music,6,0.8,0.1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,8.443291300005512,,,,,,,,,,,,,6.398775599998771,6.39880880000419,music,6.3988171000091825,6.407586100001936,8.406237000002875,8.414349500002572,8.419689900008962,None,,,,,,,,,,,,,,,,,,307365,747588,Hombre,2024-08-30_12h59.36.678,tarea_iceberg,2023.2.3,60.10709882724875,2024-08-30 12h59.48.361669 +0200,
music,14,-0.7,0.15,0,0,0,0,0,1,1,0,,,,,,,,,,,,,8.443291300005512,,,,,,,,,,,,,,,,,,,8.419923000008566,8.424100200005341,None,,,,,,,,,,,,,,,,,,307365,747588,Hombre,2024-08-30_12h59.36.678,tarea_iceberg,2023.2.3,60.10709882724875,2024-08-30 12h59.48.361669 +0200,
music,6,0.8,0.1,0,0,0,0,,,,,0,0,0,1,,,,,,,,,8.443291300005512,,,,,,,,,,,,,,,,,,,,,,8.431278700008988,14.42202540001017,14.42202540001017,14.86227310000686,space,0.407119600000442,None,,,,,,,,,,,307365,747588,Hombre,2024-08-30_12h59.36.678,tarea_iceberg,2023.2.3,60.10709882724875,2024-08-30 12h59.48.361669 +0200,
music,14,-0.7,0.15,0,0,0,0,,,,,0,1,1,0,,,,,,,,,14.896782499999972,,,,,,,,,,,,,,,,,,,,,,14.862894700010656,28.879676900003687,28.879676900003687,29.368724600004498,space,0.45824150000407826,None,,,,,,,,,,,307365,747588,Hombre,2024-08-30_12h59.36.678,tarea_iceberg,2023.2.3,60.10709882724875,2024-08-30 12h59.48.361669 +0200,
music,14,-0.7,0.15,0,0,0,0,,,,,,,,,0,0,0,0,,,,,29.530592700000852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.39830190000066,29.407937900003162,None,,,,,,,,307365,747588,Hombre,2024-08-30_12h59.36.678,tarea_iceberg,2023.2.3,60.10709882724875,2024-08-30 12h59.48.361669 +0200,
music,6,0.8,0.1,0,0,0,0,,,,,,,,,0,1,1,1,,,,,29.530592700000852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.408204100007424,29.414208800008055,None,,,,,,,,307365,747588,Hombre,2024-08-30_12h59.36.678,tarea_iceberg,2023.2.3,60.10709882724875,2024-08-30 12h59.48.361669 +0200,
music,9,0.5,0.1,0,0,0,0,,,,,,,,,,,,,0,0,0,1,29.530592700000852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.447322899999563,29.454650100000435,None,,,,,307365,747588,Hombre,2024-08-30_12h59.36.678,tarea_iceberg,2023.2.3,60.10709882724875,2024-08-30 12h59.48.361669 +0200,
music,10,-0.6,0.15,0,0,0,0,,,,,,,,,,,,,0,1,1,0,29.530592700000852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.45495060000394,29.460930900007952,None,,,,,307365,747588,Hombre,2024-08-30_12h59.36.678,tarea_iceberg,2023.2.3,60.10709882724875,2024-08-30 12h59.48.361669 +0200,
music,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307365,747588,Hombre,2024-08-30_12h59.36.678,tarea_iceberg,2023.2.3,60.10709882724875,2024-08-30 12h59.48.361669 +0200,
