routineName,timepresentation,posx,posy,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,thisRow.t,notes,portada.started,image_5.started,text_6.started,portada.stopped,instructions.started,text_5.started,key_resp_5.started,instructions.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,random_routines.started,random_routines.stopped,executedRoutine,control.started,control.stopped,key_resp.keys,instructions2.started,text.started,text.stopped,instructions2.stopped,music.started,image_2.started,key_resp_2.started,music.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions3.started,text_2.started,instructions3.stopped,music_words.started,music_words.stopped,key_resp_3.keys,instructions4.started,text_3.started,instructions4.stopped,music_video.started,music_video.stopped,Key_resp_4.keys,final.started,text_4.started,text_4.stopped,final.stopped,participant,Edad,Sexo,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.002133199988747947,0.01337299999431707,0.01337299999431707,3.0015278999926522,3.0015375999937532,3.0175392999954056,6.015862899992499,6.2831243999971775,space,0.25397820000944193,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315753,696693,Hombre,2024-08-30_12h22.22.821,tarea_iceberg,2023.2.3,60.23178395066987,2024-08-30 12h22.33.553568 +0200,
control,,,,0,0,0,0,,,,,,,,,,,,,,,,,6.3094573999987915,,,,,,,,,,,,,6.287855499991565,6.287865899997996,control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315753,696693,Hombre,2024-08-30_12h22.22.821,tarea_iceberg,2023.2.3,60.23178395066987,2024-08-30 12h22.33.553568 +0200,
music_video,,,,0,1,1,3,,,,,,,,,,,,,,,,,6.3094573999987915,,,,,,,,,,,,,6.287944699986838,6.287951099991915,music_video,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315753,696693,Hombre,2024-08-30_12h22.22.821,tarea_iceberg,2023.2.3,60.23178395066987,2024-08-30 12h22.33.553568 +0200,
music_words,,,,0,2,2,2,,,,,,,,,,,,,,,,,6.3094573999987915,,,,,,,,,,,,,6.288010199990822,6.288025499990908,music_words,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315753,696693,Hombre,2024-08-30_12h22.22.821,tarea_iceberg,2023.2.3,60.23178395066987,2024-08-30 12h22.33.553568 +0200,
music,,,,0,3,3,1,,,,,,,,,,,,,,,,,6.3094573999987915,,,,,,,,,,,,,6.28808119999303,6.288086000000476,music,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315753,696693,Hombre,2024-08-30_12h22.22.821,tarea_iceberg,2023.2.3,60.23178395066987,2024-08-30 12h22.33.553568 +0200,
,15,0.7,0.1,,,,,0,0,0,1,,,,,,,,,,,,,6.3094573999987915,,,,,,,,,,,,,,,,6.294857699991553,6.300247699997271,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,315753,696693,Hombre,2024-08-30_12h22.22.821,tarea_iceberg,2023.2.3,60.23178395066987,2024-08-30 12h22.33.553568 +0200,
,4,0.6,0.1,,,,,0,1,1,0,,,,,,,,,,,,,6.3094573999987915,,,,,,,,,,,,,,,,6.300470399990445,6.304908399994019,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,315753,696693,Hombre,2024-08-30_12h22.22.821,tarea_iceberg,2023.2.3,60.23178395066987,2024-08-30 12h22.33.553568 +0200,
,15,0.7,0.1,,,,,,,,,0,0,0,1,,,,,,,,,7.559270899990224,,,,,,,,,,,,,,,,,,,6.305071099995985,6.3094573999987915,7.559270899990224,7.299044100000174,7.307909799987101,22.29750570000033,22.29750570000033,23.583265099994605,space,1.2767520000052173,None,,,,,,,,,,,,,,,,,315753,696693,Hombre,2024-08-30_12h22.22.821,tarea_iceberg,2023.2.3,60.23178395066987,2024-08-30 12h22.33.553568 +0200,
,4,0.6,0.1,,,,,,,,,0,1,1,0,,,,,,,,,23.59551329999522,,,,,,,,,,,,,,,,,,,,,,,23.58361459999287,27.58808799998951,27.58808799998951,28.46177889998944,space,0.84594030000153,None,,,,,,,,,,,,,,,,,315753,696693,Hombre,2024-08-30_12h22.22.821,tarea_iceberg,2023.2.3,60.23178395066987,2024-08-30 12h22.33.553568 +0200,
,15,0.7,0.1,,,,,,,,,,,,,0,0,0,1,,,,,29.537383899994893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.48415199998999,28.490140399997472,29.48431869999331,29.493077499995707,29.498583999986295,None,,,,,,,,,,,315753,696693,Hombre,2024-08-30_12h22.22.821,tarea_iceberg,2023.2.3,60.23178395066987,2024-08-30 12h22.33.553568 +0200,
