routineName,timepresentation,posx,posy,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,thisRow.t,notes,portada.started,image_5.started,text_6.started,portada.stopped,instructions.started,text_5.started,key_resp_5.started,instructions.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,random_routines.started,random_routines.stopped,executedRoutine,nueva_ronda.started,text_7.started,nueva_ronda.stopped,control.started,control.stopped,key_resp.keys,music.started,music.stopped,key_resp_2.keys,music_words.started,image_3.started,key_resp_3.started,music_words.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,music_video.started,music_video.stopped,Key_resp_4.keys,text_7.stopped,participant,Edad,Sexo,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.0022287000028882176,0.014037599990842864,0.014037599990842864,3.003838899996481,3.003849300002912,3.0201253999985056,6.0018970999954036,6.719539300000179,space,0.7114969999965979,None,,,,,,,,,,,,,,,,,,,,,,,,339595,291719,Hombre,2024-08-30_13h34.36.220,tarea_iceberg,2023.2.3,60.23232813462052,2024-08-30 13h34.47.970378 +0200,
music_words,7,0.6,0.1,0,0,0,1,0,0,0,1,,,,,,,,,,,,,8.818503000002238,,,,,,,,,,,,,6.725461199996062,6.72549669998989,music_words,6.7255079000024125,6.73424759999034,8.733342799998354,8.741628999996465,8.746821499997168,None,,,,,,,,,,,,,,,339595,291719,Hombre,2024-08-30_13h34.36.220,tarea_iceberg,2023.2.3,60.23232813462052,2024-08-30 13h34.47.970378 +0200,
music_words,14,0.8,0.1,0,0,0,1,0,1,1,0,,,,,,,,,,,,,8.818503000002238,,,,,,,,,,,,,,,,,,,8.74707079998916,8.751142499997513,None,,,,,,,,,,,,,,,339595,291719,Hombre,2024-08-30_13h34.36.220,tarea_iceberg,2023.2.3,60.23232813462052,2024-08-30 13h34.47.970378 +0200,
music_words,14,0.8,0.1,0,0,0,1,,,,,0,0,0,0,,,,,,,,,8.818503000002238,,,,,,,,,,,,,,,,,,,,,,8.758384499989916,8.763317099990672,None,,,,,,,,,,,,339595,291719,Hombre,2024-08-30_13h34.36.220,tarea_iceberg,2023.2.3,60.23232813462052,2024-08-30 13h34.47.970378 +0200,
music_words,7,0.6,0.1,0,0,0,1,,,,,0,1,1,1,,,,,,,,,8.818503000002238,,,,,,,,,,,,,,,,,,,,,,8.763566399997217,8.768485900000087,None,,,,,,,,,,,,339595,291719,Hombre,2024-08-30_13h34.36.220,tarea_iceberg,2023.2.3,60.23232813462052,2024-08-30 13h34.47.970378 +0200,
music_words,14,0.8,0.1,0,0,0,1,,,,,,,,,0,0,0,0,,,,,8.818503000002238,,,,,,,,,,,,,,,,,,,,,,,,,8.8029389000003,22.793421299997135,22.793421299997135,23.498238799991668,space,0.7005077999929199,None,,,,,339595,291719,Hombre,2024-08-30_13h34.36.220,tarea_iceberg,2023.2.3,60.23232813462052,2024-08-30 13h34.47.970378 +0200,
music_words,7,0.6,0.1,0,0,0,1,,,,,,,,,0,1,1,1,,,,,23.517394700000295,,,,,,,,,,,,,,,,,,,,,,,,,23.498870600000373,30.503830100002233,30.503830100002233,30.97273409999616,space,0.45240549999289215,None,,,,,339595,291719,Hombre,2024-08-30_13h34.36.220,tarea_iceberg,2023.2.3,60.23232813462052,2024-08-30 13h34.47.970378 +0200,
music_words,13,-0.8,0.15,0,0,0,1,,,,,,,,,,,,,0,0,0,1,31.064631200002623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0013498999906,31.006791499996325,None,,339595,291719,Hombre,2024-08-30_13h34.36.220,tarea_iceberg,2023.2.3,60.23232813462052,2024-08-30 13h34.47.970378 +0200,
music_words,13,0.9,0.1,0,0,0,1,,,,,,,,,,,,,0,1,1,0,31.064631200002623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.00701059999119,31.011023300001398,None,,339595,291719,Hombre,2024-08-30_13h34.36.220,tarea_iceberg,2023.2.3,60.23232813462052,2024-08-30 13h34.47.970378 +0200,
music_words,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339595,291719,Hombre,2024-08-30_13h34.36.220,tarea_iceberg,2023.2.3,60.23232813462052,2024-08-30 13h34.47.970378 +0200,
music,3,0.7,0.1,0,1,1,3,0,0,0,0,,,,,,,,,,,,,31.064631200002623,,,,,,,,,,,,,31.054460500003188,31.054502400002093,music,31.0545082000026,31.064631200002623,33.05204660000163,33.060419100002036,33.0653336999967,None,,,,,,,,,,,,,,,339595,291719,Hombre,2024-08-30_13h34.36.220,tarea_iceberg,2023.2.3,60.23232813462052,2024-08-30 13h34.47.970378 +0200,
music,13,-0.6,0.15,0,1,1,3,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.06563079998887,33.070193499996094,None,,,,,,,,,,,,,,,339595,291719,Hombre,2024-08-30_13h34.36.220,tarea_iceberg,2023.2.3,60.23232813462052,2024-08-30 13h34.47.970378 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.07771869999124,,,,,,,,,,,,,,,,,,,,,,
